language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18674325,18133845,2.894241157310907,52240227,50999199,2.375617548522521
Portuguese,778727,666559,14.404020921324161,2857697,2418862,15.356246655961076
Russian,694591,573099,17.491156666297144,2216266,1887129,14.85097005503852
Spanish,628085,554136,11.773724893923593,2189704,1907560,12.885029209427392
unknown,379152,360804,4.83922015444993,1557459,1477989,5.102542025183327
Italian,303118,259371,14.432333282747972,1500982,1243817,17.133116852833677
German,427829,369182,13.708046906591186,1327923,1160789,12.5861213338424
French,441864,398378,9.841489689135118,1247465,1119457,10.261450221048285
Korean,135542,117122,13.589883578521787,335789,293548,12.579625896023991
Chinese,103335,114537,-10.840470314994919,365979,368790,-0.7680768568688368
Polish,69831,66466,4.818776761037362,212265,201036,5.290085506324641
Japanese,56684,58340,-2.9214593183261592,203677,202691,0.48409982472247726
Ukrainian,63242,51910,17.91847190158439,154726,125708,18.75444333854685
Indonesian,57962,57046,1.5803457437631552,126435,120518,4.679875034602761
Arabic,44563,47906,-7.5017391109216165,111147,114105,-2.6613403870549814
Turkish,45369,37730,16.837488152703386,97964,81410,16.89804417949451
Vietnamese,65218,51141,21.584531877702474,76407,61553,19.440627167667884
Latin,13371,12685,5.130506319646997,104908,99064,5.5705951881648685
Dutch,29653,29737,-0.283276565608876,62726,62019,1.1271243184644326
Danish,25142,24642,1.9887041603691036,61745,59278,3.9954652198558587
Greek,27149,24829,8.54543445430771,59502,53730,9.700514268427952
Swedish,22497,20936,6.938702938169533,57308,51779,9.647867662455504
Czech,12184,12667,-3.964215364412344,54806,55905,-2.005254899098639
Tsonga,8000,7674,4.075,57462,55538,3.348299745919042
Hungarian,17364,17448,-0.4837595024187975,47536,46441,2.3035173342308988
Scots,6760,6476,4.201183431952662,56993,55454,2.7003316196725913
Serbian,7377,6284,14.81632099769554,53368,46325,13.197046919502323
Finnish,10298,9814,4.6999417362594675,50133,47750,4.753356072846229
Corsican,4152,3566,14.113680154142582,47858,39614,17.225960132057335
Romanian,7369,6936,5.875966888315918,40114,37168,7.344069402203719
Slovak,7447,7253,2.605075869477642,39106,34422,11.977701631463203
Persian,11495,12780,-11.178773379730318,33456,37500,-12.08751793400287
Bulgarian,16012,14896,6.969772670497127,25573,22764,10.984241191882063
Galician,7011,6524,6.946227357010412,34093,30596,10.257237556096559
Esperanto,5226,4597,12.035973976272484,34806,29799,14.385450784347526
Hawaiian,3665,3161,13.751705320600273,35432,31191,11.96940618649808
Hebrew,15548,17226,-10.79238487265243,17910,19840,-10.77610273590173
Norwegian,4182,4079,2.462936394069823,28042,25585,8.761857214178733
Occitan,1703,1487,12.68349970640047,25445,22141,12.984869325997249
Malay,3315,3115,6.033182503770739,23509,22176,5.670168871496023
Croatian,4249,4142,2.5182395857848907,20985,20162,3.921848939718847
