language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18674325,18014962,3.5308531901420803,52240227,51477501,1.4600357689869916
Portuguese,778727,664573,14.659052530604436,2857697,2493269,12.752506651334974
Russian,694591,563707,18.843319305893683,2216266,1966501,11.269630991947718
Spanish,628085,551999,12.113965466457566,2189704,1975952,9.76168468432263
unknown,379152,357327,5.756266616027345,1557459,1501631,3.58455664001428
Italian,303118,262929,13.258532980555428,1500982,1332675,11.213125806971702
German,427829,363499,15.036381357972461,1327923,1205497,9.219359857461615
French,441864,393904,10.854018431010447,1247465,1154802,7.428104195308085
Korean,135542,114385,15.609183869206593,335789,306600,8.692661165196
Chinese,103335,108876,-5.362171577877776,365979,409157,-11.797944690815592
Polish,69831,66365,4.963411665306239,212265,214341,-0.9780227545756484
Japanese,56684,57075,-0.6897890057158986,203677,222351,-9.168438262543145
Ukrainian,63242,51235,18.98580057556687,154726,128735,16.79808177035534
Indonesian,57962,55231,4.711707670542769,126435,124553,1.4885118835765414
Arabic,44563,45986,-3.193232053497296,111147,120779,-8.666000881715206
Turkish,45369,35447,21.869558509114153,97964,84239,14.01024866277408
Vietnamese,65218,48083,26.273421448066486,76407,61628,19.342468621984896
Latin,13371,12661,5.309999252112782,104908,100772,3.9425020017539176
Dutch,29653,29538,0.38781910767881833,62726,64075,-2.1506233459809327
Danish,25142,23540,6.3718081298226075,61745,59921,2.95408535104057
Greek,27149,22662,16.527312239861505,59502,57287,3.7225639474303387
Swedish,22497,20991,6.6942258967862385,57308,54102,5.5943323794234665
Czech,12184,12905,-5.917596848325673,54806,58519,-6.774805678210415
Tsonga,8000,7698,3.775,57462,56027,2.497302565173506
Hungarian,17364,17420,-0.322506334945865,47536,47785,-0.5238135307977112
Scots,6760,6408,5.207100591715976,56993,56006,1.7317916235327147
Serbian,7377,6254,15.222990375491392,53368,48115,9.84297706490781
Finnish,10298,9818,4.661099242571373,50133,48736,2.786587676779766
Corsican,4152,3601,13.270712909441233,47858,42394,11.417108947302436
Romanian,7369,6873,6.7308997150223915,40114,38125,4.958368649349354
Slovak,7447,7151,3.9747549348731033,39106,36063,7.781414616682862
Persian,11495,12225,-6.350587211831231,33456,38934,-16.37374461979914
Bulgarian,16012,14541,9.186859855108668,25573,23414,8.442497947053534
Galician,7011,6520,7.0032805591213805,34093,31641,7.192092218343942
Esperanto,5226,4603,11.921163413700727,34806,30896,11.233695339883928
Hawaiian,3665,3133,14.51568894952251,35432,32117,9.355949424249266
Hebrew,15548,15163,2.4762027270388476,17910,19204,-7.2250139586823
Norwegian,4182,4088,2.2477283596365374,28042,26590,5.1779473646672844
Occitan,1703,1455,14.56253669994128,25445,23053,9.400668107683238
Malay,3315,3139,5.30920060331825,23509,22984,2.2331872899740524
Croatian,4249,4202,1.1061426217933632,20985,21008,-0.10960209673576364
Catalan,5697,5441,4.493593119185536,18124,17421,3.878834694327963
Thai,4746,6124,-29.034976822587442,17400,22535,-29.511494252873565
Norwegian Nynorsk,3528,3354,4.931972789115647,15248,14542,4.630115424973767
Malagasy,2383,2196,7.847251363827109,15331,13963,8.923096993020676
Guarani,1287,1190,7.536907536907537,16423,16194,1.3943859221823054
Volapük,796,744,6.532663316582915,12778,12254,4.100798246987009
Slovenian,3215,3223,-0.24883359253499224,9613,9591,0.22885675647560594
Hindi,5838,4575,21.634121274409043,6930,6663,3.8528138528138527
Macedonian,699,548,21.602288984263232,11187,9979,10.798247966389559
Bosnian,3604,3622,-0.49944506104328523,8063,8053,0.12402331638348009
Uzbek,3375,2836,15.97037037037037,7882,7598,3.6031464095407255
Tagalog,1094,1049,4.113345521023766,9997,9567,4.3012903871161345
Afrikaans,1530,1486,2.8758169934640523,9404,9466,-0.6592939174819226
Kinyarwanda,1374,1330,3.2023289665211063,9541,9112,4.496384026831569
Seselwa Creole French,5161,4668,9.55241232319318,5619,5458,2.8652785193094856
Swahili,3255,3114,4.331797235023042,7284,7196,1.2081274025260846
Somali,1877,1749,6.819392647842301,8318,7976,4.111565280115412
Basque,719,673,6.397774687065368,8244,7576,8.102862688015527
Quechua,967,836,13.547052740434333,7323,6734,8.043151713778506
Latvian,1647,1661,-0.8500303582270795,6518,6422,1.4728444308069961
Luxembourgish,691,610,11.722141823444284,7028,6655,5.307342060330108
Manx,723,684,5.394190871369295,6945,6901,0.6335493160547156
Breton,805,755,6.211180124223603,6612,6197,6.276467029643073
Sanskrit,660,627,5.0,6680,6595,1.2724550898203593
Bislama,1667,1554,6.778644271145771,5548,5392,2.81182408074982
Interlingua,680,628,7.647058823529412,6418,5838,9.037083203490184
Ganda,2474,2251,9.013742926434924,4529,4436,2.053433429013027
Interlingue,574,514,10.452961672473867,6270,6050,3.508771929824561
Haitian Creole,498,469,5.823293172690763,6073,5715,5.894944837806685
Welsh,1682,1623,3.507728894173603,4745,4653,1.9388830347734458
Scottish Gaelic,1302,1167,10.368663594470046,4810,4453,7.422037422037422
Morisyen,300,273,9.0,5789,5468,5.54499913629297
Samoan,619,539,12.924071082390952,5434,5055,6.974604343025396
Waray,793,782,1.3871374527112232,5195,5067,2.46390760346487
Tatar,181,159,12.154696132596685,5619,5233,6.869549741946965
Fijian,267,251,5.992509363295881,5442,5189,4.649026093348033
Klingon,480,452,5.833333333333333,5169,4725,8.589669181659895
Estonian,984,966,1.829268292682927,4587,4351,5.144974929147591
Romansh,639,603,5.633802816901408,4614,4250,7.889033376679671
Tongan,241,207,14.107883817427386,4817,4491,6.767697737180818
Xhosa,220,200,9.090909090909092,4764,4674,1.8891687657430731
Wolof,701,659,5.991440798858773,4280,4226,1.2616822429906542
Western Frisian,719,669,6.954102920723226,4249,4050,4.683454930571899
Bangla,872,1251,-43.46330275229358,3959,6077,-53.49835817125537
Irish,713,669,6.171107994389902,3769,3724,1.1939506500397983
Faroese,421,411,2.375296912114014,3868,3793,1.9389865563598758
Nyanja,368,350,4.891304347826087,3786,3650,3.5921817221341787
Kazakh,499,428,14.228456913827655,3637,3204,11.905416552103382
Lingala,88,85,3.409090909090909,3900,3707,4.948717948717949
Southern Sotho,382,350,8.37696335078534,3340,3327,0.38922155688622756
Afar,1350,1278,5.333333333333333,2370,2237,5.6118143459915615
Aymara,317,299,5.678233438485805,3134,2806,10.465858328015315
Oromo,847,785,7.319952774498229,2545,2451,3.6935166994106092
zzp,488,467,4.30327868852459,2886,2800,2.9799029799029797
Kalaallisut,284,276,2.816901408450704,3086,3021,2.1062864549578744
Māori,798,758,5.012531328320802,2543,2412,5.151395988989383
Hausa,323,290,10.21671826625387,2892,2737,5.359612724757953
