language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18544646,18128335,2.2449120894515864,53980699,52637148,2.488947021601184
Portuguese,795108,666481,16.1772991845133,2985179,2445761,18.069871186953947
Russian,707346,571754,19.16911949738883,2269316,1883275,17.011337336889177
Spanish,631357,553932,12.263267850043636,2226568,1906857,14.358914706400164
unknown,376556,360489,4.266828838207331,1674732,1504235,10.18055426181622
German,436710,368664,15.581507178676926,1481232,1266410,14.502927292956134
Italian,314295,258924,17.617524936763232,1585093,1242385,21.62068724043321
French,447682,395044,11.757899580505805,1281221,1114320,13.026714360754312
Chinese,123789,111661,9.797316401295753,402144,364171,9.442637463197263
Korean,122069,117049,4.112428216828187,311460,293372,5.807487317793617
Polish,75424,66385,11.984249045396691,233597,200936,13.981772026181844
Japanese,58034,58142,-0.18609780473515525,212591,201025,5.440493717984299
Indonesian,64134,57089,10.984813047681417,133872,120489,9.996862674793833
Ukrainian,51417,51782,-0.7098819456599957,126890,125295,1.2569942469855782
Arabic,46193,48098,-4.124001472084515,114073,114402,-0.28841180647480125
Latin,13184,12679,3.8304004854368934,104476,99111,5.13515065661013
Turkish,34374,37692,-9.652644440565544,76232,81386,-6.760940287543289
Vietnamese,46162,51136,-10.775096399636064,57795,61550,-6.497101825417424
Dutch,31201,29742,4.676132175250793,65443,62014,5.239674220313861
Danish,24834,24636,0.7972940323749698,62083,59280,4.514923570059437
Swedish,22435,20933,6.694896367283262,57574,51763,10.093097578768194
Greek,22990,24764,-7.716398434101784,52652,53701,-1.9923269771328724
Hungarian,18228,17432,4.366908053543998,49811,46387,6.873983658228102
Tsonga,7911,7673,3.008469220073316,57082,55551,2.682106443362181
Scots,6746,6507,3.542840201600949,57037,55482,2.726300471623683
Czech,11308,12664,-11.991510435090202,51463,55848,-8.520684763810893
Finnish,10541,9796,7.067640641305379,51413,47649,7.321105556960302
Serbian,7565,6281,16.972901520158626,54096,46247,14.509390712806862
Hebrew,27352,17205,37.09783562445159,29873,19838,33.59220700967429
Corsican,4265,3561,16.506447831184055,50976,39554,22.406622724419336
Romanian,7350,6935,5.64625850340136,40757,37146,8.859827759648649
Slovak,7194,7253,-0.8201278843480678,39791,34405,13.53572415872936
Persian,10390,12802,-23.214629451395574,32226,37503,-16.374976726866507
Galician,7029,6521,7.227201593398776,35190,30583,13.091787439613526
Bulgarian,16134,14838,8.032725920416512,25938,22691,12.518312899992289
Esperanto,5257,4597,12.554688986113753,35459,29793,15.97901802081277
Hawaiian,3676,3161,14.009793253536452,36322,31174,14.173228346456693
Norwegian,4194,4078,2.7658559847401047,28359,25577,9.809936880708065
Malay,3483,3115,10.565604364053977,25043,22173,11.460288304116919
Occitan,1680,1487,11.488095238095237,26532,22137,16.56490275893261
Thai,5545,6757,-21.857529305680792,20006,22985,-14.890532840147955
Croatian,4219,4139,1.8961839298411947,20863,20155,3.3935675597948523
Catalan,5869,5440,7.309592775600613,18762,17080,8.964929112034964
Norwegian Nynorsk,3513,3328,5.2661542840876745,15571,13987,10.172757048359129
Malagasy,2434,2202,9.531635168447,16047,13467,16.07777154608338
Guarani,1317,1180,10.402429764616553,17027,15694,7.828742585305691
Volapük,815,759,6.871165644171779,13288,11936,10.174593618302227
Bangla,2300,1374,40.26086956521739,10668,6110,42.72590926134233
Slovenian,3219,3241,-0.6834420627524076,9657,9398,2.681992337164751
Macedonian,695,564,18.848920863309353,11260,9540,15.2753108348135
Hindi,5089,5812,-14.207113381803891,6583,7198,-9.342245176970986
Bosnian,3621,3711,-2.4855012427506216,8013,7821,2.3961063272182703
Tagalog,1109,1058,4.598737601442741,10490,9160,12.678741658722593
Uzbek,3466,3226,6.924408540103866,7932,7517,5.231971759959657
Afrikaans,1573,1505,4.322949777495232,9702,9255,4.607297464440322
Kinyarwanda,1370,1344,1.897810218978102,9786,8879,9.268342530145105
Seselwa Creole French,5175,4827,6.72463768115942,5559,5414,2.6083828026623492
Swahili,3176,3162,0.44080604534005036,7261,7081,2.47899738328054
Somali,1879,1770,5.800957956359766,8197,7875,3.928266438941076
Basque,733,673,8.185538881309686,8342,7366,11.69983217453848
Quechua,963,834,13.39563862928349,7534,6552,13.034244757101142
Latvian,1664,1681,-1.0216346153846154,6674,6335,5.079412646089302
Luxembourgish,698,614,12.034383954154729,7332,6478,11.647572285870158
Manx,716,727,-1.5363128491620113,7002,6835,2.3850328477577833
Sanskrit,668,631,5.538922155688622,6907,6370,7.77472129723469
Breton,795,763,4.0251572327044025,6733,6043,10.24803208079608
Bislama,1674,1563,6.630824372759856,5612,5338,4.8823948681397
Interlingue,548,526,4.014598540145985,6310,5937,5.911251980982567
Ganda,2255,2429,-7.716186252771618,4593,4424,3.679512301328108
Interlingua,653,619,5.206738131699847,6062,5623,7.2418343780930385
Haitian Creole,485,465,4.123711340206185,6125,5525,9.795918367346939
