language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18544646,18009252,2.887054301279194,53980699,53119032,1.5962501708249461
Portuguese,795108,664618,16.41160697666229,2985179,2524308,15.438638687998274
Russian,707346,562289,20.50721994610841,2269316,1962979,13.499089593516285
Spanish,631357,551649,12.624869923038787,2226568,1975346,11.282925111651654
unknown,376556,356853,5.232422269197675,1674732,1541260,7.96975277238388
German,436710,362990,16.880767557417965,1481232,1314156,11.279529472763214
Italian,314295,262449,16.4959671646065,1585093,1331398,16.005054593011263
French,447682,389894,12.908269709302585,1281221,1150265,10.221187445413399
Chinese,123789,104469,15.607202578581296,402144,408012,-1.4591788016232992
Korean,122069,114239,6.414404967682213,311460,306374,1.6329544724844283
Polish,75424,66336,12.049215103945693,233597,214338,8.244540811739876
Japanese,58034,56920,1.919564393286694,212591,221902,-4.379771486093015
Indonesian,64134,55318,13.746218854273865,133872,124551,6.962621011115095
Ukrainian,51417,51097,0.6223622537293113,126890,128392,-1.1837024194183938
Arabic,46193,46168,0.05412075422683091,114073,121006,-6.077687095105766
Latin,13184,12657,3.997269417475728,104476,100815,3.5041540640912747
Turkish,34374,35373,-2.9062663641124105,76232,84179,-10.424756007975652
Vietnamese,46162,48112,-4.224253715176985,57795,61625,-6.626870836577559
Dutch,31201,29530,5.355597577000737,65443,64068,2.101065048973916
Danish,24834,23544,5.194491423049046,62083,59941,3.4502198669523056
Swedish,22435,20975,6.507688878983731,57574,54085,6.06002709556397
Greek,22990,22545,1.9356241844280122,52652,57263,-8.757502089189394
Hungarian,18228,17421,4.427254772876893,49811,47775,4.087450563128626
Tsonga,7911,7694,2.7430160535962584,57082,56042,1.8219403664903122
Scots,6746,6441,4.521197746812926,57037,56036,1.7550011396111296
Czech,11308,12903,-14.105058365758754,51463,58476,-13.627266191244194
Finnish,10541,9808,6.953799449767574,51413,48662,5.350786765993036
Serbian,7565,6254,17.32980832782551,54096,48018,11.235581188997338
Hebrew,27352,15132,44.67680608365019,29873,19202,35.72121983061628
Corsican,4265,3598,15.638921453692848,50976,42371,16.88049278091651
Romanian,7350,6866,6.585034013605442,40757,38116,6.479868488848541
Slovak,7194,7151,0.5977203224909647,39791,36040,9.426754793797592
Persian,10390,12233,-17.738209817131857,32226,38939,-20.831006019983864
Galician,7029,6514,7.326789016929862,35190,31632,10.11082693947144
Bulgarian,16134,14472,10.30122722201562,25938,23361,9.935230164237797
Esperanto,5257,4603,12.440555449876355,35459,30888,12.890944471079274
Hawaiian,3676,3134,14.744287268770403,36322,32115,11.582511976212764
Norwegian,4194,4088,2.5274201239866474,28359,26588,6.244931062449311
Malay,3483,3133,10.048808498420902,25043,22982,8.229844667172463
Occitan,1680,1454,13.452380952380953,26532,23043,13.15015829941203
Thai,5545,6614,-19.278629395852118,20006,23867,-19.29921023692892
Croatian,4219,4202,0.40293908509125387,20863,21005,-0.6806307817667642
Catalan,5869,5432,7.445902197989436,18762,17380,7.365952457094126
Norwegian Nynorsk,3513,3353,4.554511813265016,15571,14542,6.608438764369661
Malagasy,2434,2195,9.81922760887428,16047,13961,12.999314513616252
Guarani,1317,1189,9.719058466211086,17027,16189,4.921595113643037
Volapük,815,734,9.938650306748466,13288,12236,7.9169175195665265
Bangla,2300,1323,42.47826086956522,10668,6333,40.6355455568054
Slovenian,3219,3222,-0.09319664492078285,9657,9593,0.6627316972144558
Macedonian,695,548,21.151079136690647,11260,9958,11.563055062166963
Hindi,5089,5691,-11.829436038514443,6583,7187,-9.175148108765
Bosnian,3621,3643,-0.6075669704501518,8013,8056,-0.5366279795332585
Tagalog,1109,1048,5.500450856627593,10490,9563,8.836987607244994
Uzbek,3466,2806,19.042123485285632,7932,7593,4.273827534039334
Afrikaans,1573,1486,5.5308328035600764,9702,9466,2.4324881467738613
Kinyarwanda,1370,1332,2.7737226277372264,9786,9104,6.969139587165338
Seselwa Creole French,5175,4672,9.719806763285025,5559,5456,1.8528512322360138
Swahili,3176,3114,1.9521410579345089,7261,7192,0.9502823302575403
