language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18544646,18357579,1.008738586867606,53980699,52629355,2.5033836631126247
Portuguese,795108,677105,14.841128500782284,2985179,2436423,18.38268324948018
Russian,707346,589873,16.607572531688877,2269316,1873990,17.420491460863097
Spanish,631357,563717,10.713431545068797,2226568,1897680,14.77107368829517
unknown,376556,365430,2.954673408470453,1674732,1496127,10.664691425254906
German,436710,377519,13.553845801561677,1481232,1260702,14.888282186720243
Italian,314295,262337,16.53160247538141,1585093,1229682,22.422091322086466
French,447682,402880,10.007550002010355,1281221,1110003,13.363658572564765
Chinese,123789,124089,-0.24234786612703876,402144,363873,9.516740272141323
Korean,122069,121246,0.6742088490935455,311460,293864,5.649521607911129
Polish,75424,66848,11.37038608400509,233597,197883,15.288723742171346
Japanese,58034,59447,-2.4347796119516145,212591,197332,7.177632166930867
Indonesian,64134,59252,7.61218698350329,133872,120393,10.06857296522051
Ukrainian,51417,52597,-2.2949608106268355,126890,124846,1.6108440381432736
Arabic,46193,49966,-8.16790422791332,114073,113790,0.2480867514661664
Latin,13184,12813,2.814016990291262,104476,98925,5.313181974807612
Turkish,34374,38690,-12.556001629138303,76232,80933,-6.166701647602057
Vietnamese,46162,53660,-16.242797105844634,57795,62210,-7.639069123626611
Dutch,31201,30186,3.2531008621518542,65443,61599,5.873813853276897
Danish,24834,25153,-1.2845292743818957,62083,59404,4.3151909540453905
Swedish,22435,21268,5.201693782036996,57574,51641,10.304998784173412
Greek,22990,26897,-16.99434536755111,52652,53613,-1.8251918255716781
Hungarian,18228,17525,3.856703971911345,49811,46133,7.383911184276565
Tsonga,7911,7708,2.5660472759448867,57082,55501,2.7696997302126767
Scots,6746,6580,2.4607174621998222,57037,55500,2.6947420095727335
Czech,11308,12706,-12.36292889989388,51463,55228,-7.315935720809125
Finnish,10541,9906,6.024096385542169,51413,47506,7.599245327057359
Serbian,7565,6456,14.659616655651025,54096,45979,15.004806270334221
Hebrew,27352,18826,31.171395144779176,29873,20465,31.493321728651292
Corsican,4265,3628,14.935521688159437,50976,39017,23.460059635907093
Romanian,7350,7046,4.136054421768708,40757,36967,9.299016119930318
Slovak,7194,7426,-3.2249096469279954,39791,34100,14.302229147294614
