language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,21425769,19102797,10.841953910732446,63911918,57169593,10.549401756335962
Portuguese,965729,808303,16.30126049854566,3652475,2974182,18.570777349605404
Russian,918171,806006,12.216134031678195,3000620,2558891,14.72125760676127
Spanish,765066,669074,12.546891379305837,2717080,2318025,14.686906532012307
unknown,460796,402109,12.736004652818167,1987890,1801340,9.384322070134665
German,506905,494536,2.4401021887730443,1751620,1677457,4.233966271223211
Italian,355346,326237,8.191734253375584,1792423,1603755,10.525863593582542
French,518258,492165,5.034751031339603,1485786,1389098,6.507532040280363
Korean,206441,153589,25.601503577293272,520706,394162,24.30238944817229
Chinese,171513,144855,15.542845148764233,500711,425489,15.023037241043237
Japanese,88649,75327,15.027806292231158,311097,262574,15.597386024294673
Polish,86690,89783,-3.567885569269812,268656,279870,-4.174111130963016
Arabic,94351,69585,26.248794395395915,228334,167260,26.747659130922244
Indonesian,82742,77070,6.855043387880399,173637,157393,9.355148960187057
Ukrainian,67303,68672,-2.034084661902144,167251,168293,-0.6230157069314982
Vietnamese,94951,81291,14.386367705448073,110486,93447,15.421863403508137
Turkish,54997,50472,8.227721512082477,117975,108513,8.020343293070566
Greek,53039,38980,26.506910009615567,110541,84563,23.5007825150849
Latin,15855,14147,10.772626931567329,124602,108126,13.22290171907353
Dutch,35989,36684,-1.931145627830726,74761,75448,-0.918928318240794
Danish,29787,28099,5.66690166851311,71595,68036,4.971017529157064
Persian,25947,18664,28.068755540139517,72507,51719,28.670335277973162
Swedish,25580,25838,-1.0086004691164974,64796,66021,-1.8905487993085992
Czech,14533,15506,-6.6951076859561,66602,68847,-3.3707696465571604
Serbian,9498,8487,10.644346178142767,70524,60155,14.702796211218876
Tsonga,8999,8213,8.734303811534614,65566,59654,9.016868498917121
Hungarian,19954,21304,-6.765560789816578,54516,56650,-3.914447134786118
Scots,7563,7003,7.404469126008197,64651,60809,5.942676834078359
Finnish,12006,11773,1.9406963185074129,59694,56063,6.082688377391363
Corsican,4726,4559,3.5336436732966567,56606,51853,8.396636398968306
Hebrew,29072,23949,17.621766648321408,31809,26815,15.699959131063535
Slovak,9090,8346,8.184818481848184,47835,42304,11.562663321835476
Romanian,8406,8141,3.152510111824887,46749,44734,4.3102526257246145
Galician,9041,7334,18.88065479482358,41931,36831,12.162838949703083
Bulgarian,18010,17876,0.7440310938367574,31546,28670,9.116845241869017
Esperanto,6235,5406,13.295910184442663,43088,36318,15.712031191979206
Hawaiian,4331,3804,12.168090510274764,42741,36068,15.612643597482512
Thai,10739,10202,5.0004655926995065,35050,32164,8.2339514978602
Norwegian,4786,4788,-0.041788549937317176,32619,31517,3.37839909255342
Malay,4121,3946,4.246542101431691,31177,28314,9.18305160855759
Occitan,2053,1880,8.426692644909888,32084,27315,14.864106719860366
Croatian,4759,4901,-2.9838201302794705,24278,24444,-0.6837466018617678
Catalan,6375,6188,2.933333333333333,20898,19968,4.450186620729256
Norwegian Nynorsk,4115,4113,0.04860267314702309,17700,16818,4.983050847457627
Guarani,1505,1421,5.5813953488372094,20026,17805,11.090582243083992
Malagasy,2781,2561,7.910823444804027,18705,16772,10.334135257952418
Hindi,10022,8463,15.555777289962084,10202,8764,14.095275436188983
Volapük,887,837,5.636978579481398,15583,13827,11.268690239363409
Macedonian,901,733,18.64594894561598,14854,12739,14.238588932274135
Slovenian,3548,3834,-8.0608793686584,10900,11135,-2.1559633027522938
Bosnian,4370,4251,2.723112128146453,9098,9022,0.8353484282259838
Kinyarwanda,1652,1569,5.0242130750605325,11599,10302,11.181998448142082
Tagalog,1251,1249,0.15987210231814547,11967,11390,4.821592713294894
Uzbek,3810,3826,-0.4199475065616798,9357,8372,10.526878272950732
Afrikaans,1753,1815,-3.5367940673131772,10943,10596,3.1709768801973865
Seselwa Creole French,5806,5574,3.995866345160179,6662,6095,8.510957670369258
Bangla,2140,1869,12.663551401869158,10227,9291,9.152244059841596
Somali,2094,1957,6.5425023877745945,9728,8514,12.479440789473685
Swahili,3665,3285,10.368349249658936,8123,7662,5.675243136772129
Basque,834,800,4.07673860911271,9828,8540,13.105413105413106
Quechua,1087,1029,5.335786568537259,8612,7781,9.649326521133302
Latvian,1946,1831,5.909558067831449,7674,7112,7.3234297628355485
Luxembourgish,834,796,4.556354916067146,8448,8001,5.291193181818182
Manx,809,819,-1.2360939431396787,8181,7696,5.928370614839261
Sanskrit,771,747,3.11284046692607,7951,7658,3.6850710602439944
Breton,875,832,4.914285714285715,7762,7129,8.1551146611698
Ganda,3425,3044,11.124087591240876,5096,4776,6.279434850863423
Interlingua,768,710,7.552083333333333,7613,6934,8.918954420070932
Interlingue,680,592,12.941176470588236,7603,6675,12.205708273050112
Bislama,1949,1719,11.800923550538737,6251,5838,6.606942889137738
Haitian Creole,558,523,6.272401433691757,7170,6177,13.849372384937238
Fijian,339,309,8.849557522123893,7179,6086,15.224961693829224
Welsh,1902,1922,-1.0515247108307044,5547,5251,5.3362177753740765
Samoan,748,667,10.828877005347593,6696,5845,12.709080047789724
Morisyen,343,336,2.0408163265306123,6865,6478,5.637290604515659
Scottish Gaelic,1560,1467,5.961538461538462,5637,4891,13.233989710839099
Tatar,209,204,2.3923444976076556,6786,6504,4.155614500442087
Waray,873,819,6.185567010309279,6019,5576,7.360026582488786
Klingon,566,535,5.477031802120141,6256,5439,13.059462915601022
Estonian,1121,1097,2.1409455842997325,5401,5082,5.906313645621181
Romansh,713,652,8.55539971949509,5427,4986,8.12603648424544
Tongan,282,266,5.673758865248227,5785,4975,14.00172860847018
Western Frisian,953,679,28.751311647429173,4938,4580,7.2498987444309435
Kazakh,643,543,15.552099533437014,5107,4320,15.410221264930488
Xhosa,248,233,6.048387096774194,5432,5052,6.995581737849779
Wolof,819,778,5.006105006105006,4786,4483,6.330965315503552
Irish,818,769,5.990220048899755,4517,4069,9.918087226034979
Faroese,489,416,14.928425357873211,4510,4056,10.066518847006652
Nyanja,456,446,2.192982456140351,4409,4104,6.917668405534135
Lingala,110,89,19.09090909090909,4712,4189,11.099320882852291
Southern Sotho,426,409,3.9906103286384975,3986,3681,7.65178123432012
Afar,1574,1685,-7.052096569250318,2748,2658,3.2751091703056767
Aymara,365,328,10.136986301369863,3878,3173,18.17947395564724
Kalaallisut,323,316,2.1671826625387,3853,3428,11.030365948611472
Oromo,1018,993,2.4557956777996073,2992,2795,6.584224598930481
Hausa,382,337,11.780104712041885,3506,3050,13.0062749572162
zzp,536,564,-5.223880597014926,3220,3020,6.211180124223603
Māori,885,885,0.0,2838,2769,2.431289640591966
Shona,192,177,7.8125,3501,3101,11.425307055127107
Tswana,254,257,-1.1811023622047243,3432,3263,4.924242424242424
Tajik,281,270,3.9145907473309607,3386,3091,8.712344949793266
Azerbaijani,141,137,2.8368794326241136,3384,3167,6.412529550827423
Icelandic,271,271,0.0,3070,3051,0.6188925081433225
Kyrgyz,545,515,5.504587155963303,2705,2352,13.049907578558226
Albanian,319,316,0.9404388714733543,2681,2549,4.923535994032077
Maltese,63,71,-12.698412698412698,2823,2395,15.161176053843429
Khasi,277,273,1.444043321299639,2573,2505,2.6428293820443063
Lithuanian,145,141,2.7586206896551726,2675,2486,7.065420560747664
Akan,252,263,-4.365079365079365,2415,2363,2.153209109730849
Nauru,298,307,-3.0201342281879193,2303,2135,7.2948328267477205
Javanese,239,253,-5.857740585774058,2304,2031,11.848958333333334
Belarusian,103,98,4.854368932038835,2278,1995,12.423178226514487
Uyghur,303,240,20.792079207920793,2057,1812,11.910549343704425
Yoruba,356,353,0.8426966292134831,1840,1734,5.760869565217392
Cebuano,174,169,2.8735632183908044,1924,1813,5.769230769230769
Sinhala,286,170,40.55944055944056,1687,865,48.72554831061055
Igbo,70,65,7.142857142857143,1780,1554,12.696629213483146
Turkmen,72,76,-5.555555555555555,1622,1381,14.858199753390876
Swati,279,252,9.67741935483871,1262,1240,1.7432646592709984
Hmong,137,124,9.489051094890511,1388,1254,9.654178674351584
Tigrinya,340,320,5.882352941176471,1146,1040,9.24956369982548
Marathi,1128,987,12.5,288,246,14.583333333333334
Mongolian,69,70,-1.4492753623188406,1297,1279,1.3878180416345411
Amharic,314,160,49.044585987261144,937,521,44.39701173959445
Bashkir,30,32,-6.666666666666667,1216,1067,12.25328947368421
Sundanese,50,51,-2.0,1083,1027,5.170821791320407
Rundi,46,47,-2.1739130434782608,876,779,11.073059360730594
Pashto,117,77,34.18803418803419,603,404,33.001658374792704
Venda,44,49,-11.363636363636363,622,533,14.308681672025724
Urdu,151,121,19.867549668874172,449,373,16.92650334075724
Lao,40,16,60.0,522,227,56.513409961685824
Armenian,130,125,3.8461538461538463,348,304,12.64367816091954
Zulu,33,33,0.0,333,351,-5.405405405405405
Tibetan,24,22,8.333333333333334,333,290,12.912912912912914
Sindhi,61,46,24.59016393442623,288,205,28.819444444444443
Cherokee,284,171,39.7887323943662,24,24,0.0
Zhuang,15,15,0.0,190,176,7.368421052631579
xx,53,37,30.18867924528302,148,124,16.216216216216218
Abkhazian,8,9,-12.5,185,197,-6.486486486486487
