language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,21425769,19346838,9.702946951402305,63911918,59132601,7.477974608741988
Portuguese,965729,836146,13.418153539968252,3652475,3182814,12.858705398394239
Russian,918171,809275,11.860100133853063,3000620,2694013,10.218121588205104
Spanish,765066,691920,9.560743778968089,2717080,2485882,8.50906119805085
unknown,460796,405261,12.051970937247718,1987890,1861504,6.357796457550468
German,506905,491468,3.0453438020930945,1751620,1732127,1.112855528025485
Italian,355346,339092,4.574133379860755,1792423,1736099,3.142338610919409
French,518258,504979,2.5622373412470236,1485786,1461457,1.6374498077112047
Korean,206441,151625,26.552864983215542,520706,400658,23.054852450327054
Chinese,171513,129714,24.3707474069021,500711,445992,10.928260014259722
Japanese,88649,70614,20.34427912328396,311097,263946,15.156366020887376
Polish,86690,90330,-4.198869535125159,268656,285577,-6.29838901792627
Arabic,94351,67875,28.061175822195842,228334,167989,26.428389990102218
Indonesian,82742,76444,7.611611998743081,173637,160381,7.634317570563877
Ukrainian,67303,69464,-3.210852413711127,167251,171214,-2.369492559087838
Vietnamese,94951,76458,19.47636149171678,110486,90171,18.38694495230165
Turkish,54997,50882,7.482226303252904,117975,111158,5.7783428692519605
Greek,53039,36996,30.247553686909633,110541,85521,22.634135750536
Latin,15855,14512,8.470514033427941,124602,113876,8.608208535978555
Dutch,35989,36709,-2.0006112978965795,74761,76947,-2.9239844303848264
Danish,29787,27997,6.009332930473025,71595,69662,2.6999092115371184
Persian,25947,18539,28.55050680232782,72507,53003,26.899471775138952
Swedish,25580,26444,-3.377638780297107,64796,67516,-4.197789987036237
Czech,14533,15702,-8.043762471616322,66602,70152,-5.330170265157203
Serbian,9498,8591,9.549378816592967,70524,63864,9.443593670239919
Tsonga,8999,8379,6.889654406045116,65566,61564,6.10377329713571
Hungarian,19954,21422,-7.356920918111657,54516,57336,-5.172793308386528
Scots,7563,7341,2.9353431178103926,64651,62580,3.203353389738751
Finnish,12006,11940,0.5497251374312844,59694,58032,2.7841994170268367
Corsican,4726,4673,1.1214557765552264,56606,55837,1.358513231812882
Hebrew,29072,22407,22.9258392955421,31809,25442,20.016347574585808
Slovak,9090,8460,6.930693069306931,47835,44157,7.688930699278771
Romanian,8406,8242,1.9509873899595527,46749,46584,0.35294872617596096
Galician,9041,7453,17.564428713637874,41931,38792,7.486108130023133
Bulgarian,18010,17967,0.23875624652970573,31546,29756,5.674253471121537
Esperanto,6235,5582,10.473135525260625,43088,39073,9.318139621240253
Hawaiian,4331,3759,13.207111521588548,42741,38253,10.500456236400646
Thai,10739,10158,5.410187168265201,35050,33016,5.803138373751783
Norwegian,4786,4835,-1.0238194734642707,32619,32533,0.2636500199270364
Malay,4121,3916,4.97452074739141,31177,29158,6.47592776726433
Occitan,2053,1920,6.478324403312226,32084,29542,7.92295225034285
Croatian,4759,4950,-4.013448203404076,24278,24534,-1.0544525908229674
Catalan,6375,6356,0.2980392156862745,20898,20621,1.325485692410757
Norwegian Nynorsk,4115,4175,-1.4580801944106927,17700,17588,0.632768361581921
Guarani,1505,1446,3.920265780730897,20026,18862,5.812443823030061
Malagasy,2781,2624,5.645451276519237,18705,17530,6.28174284950548
Hindi,10022,7977,20.405108760726403,10202,8629,15.418545383258184
Volapük,887,839,5.411499436302142,15583,14503,6.930629532182507
Macedonian,901,720,20.088790233074363,14854,13319,10.333916790090212
Slovenian,3548,3801,-7.130777903043969,10900,11161,-2.3944954128440368
Bosnian,4370,4315,1.2585812356979404,9098,9135,-0.4066827874258079
Kinyarwanda,1652,1563,5.387409200968523,11599,10870,6.2850245710837145
Tagalog,1251,1255,-0.31974420463629094,11967,11672,2.465112392412468
Uzbek,3810,3823,-0.34120734908136485,9357,8727,6.732927220262905
Afrikaans,1753,1802,-2.795208214489447,10943,10877,0.6031252855706845
Seselwa Creole French,5806,5416,6.717189114708922,6662,6404,3.8727108976283398
Bangla,2140,1853,13.411214953271028,10227,9253,9.523809523809524
Somali,2094,1980,5.444126074498567,9728,8915,8.357319078947368
Swahili,3665,3442,6.0845839017735335,8123,7943,2.2159300750954083
