language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,21425769,20002515,6.6427207350177255,63911918,58012577,9.230423971942134
Portuguese,965729,841066,12.908693846824523,3652475,2991210,18.104572926577184
Russian,918171,839827,8.53261538428027,3000620,2586277,13.80857956022422
Spanish,765066,691883,9.56557996303587,2717080,2323570,14.482827152678611
unknown,460796,418576,9.162405923662531,1987890,1823011,8.294171206656303
German,506905,511154,-0.8382241248360146,1751620,1694994,3.2327787990545893
Italian,355346,334234,5.941251625176588,1792423,1601421,10.656078392209874
French,518258,508997,1.7869478136372232,1485786,1405411,5.409594652258131
Korean,206441,156751,24.06983108975446,520706,396999,23.757552246373194
Chinese,171513,143917,16.08974246850093,500711,421193,15.88101719355077
Japanese,88649,74625,15.819693397556655,311097,255712,17.8031289276335
Polish,86690,90968,-4.934825239358634,268656,278503,-3.6652819963075456
Arabic,94351,70942,24.81054784792954,228334,167194,26.776564156017063
Indonesian,82742,78612,4.991419110004593,173637,158917,8.477455841784874
Ukrainian,67303,71665,-6.481137542160082,167251,171736,-2.6815983163030417
Vietnamese,94951,83353,12.214721277290392,110486,94828,14.171931285411727
Turkish,54997,51989,5.469389239413059,117975,109130,7.49735113371477
Greek,53039,41443,21.863157299345765,110541,85981,22.218000560877865
Latin,15855,14948,5.720592872910753,124602,110325,11.458082534790774
Dutch,35989,37457,-4.079024146266915,74761,76071,-1.7522505049424164
Danish,29787,28857,3.122167388458052,71595,68524,4.289405684754522
Persian,25947,18982,26.843180329132462,72507,52005,28.275890603665854
Swedish,25580,26416,-3.2681782642689603,64796,66391,-2.461571701956911
Czech,14533,15879,-9.261680313768665,66602,69681,-4.6229842947659225
Serbian,9498,8902,6.275005264266161,70524,61009,13.4918609267767
Tsonga,8999,8556,4.922769196577398,65566,60829,7.224781136564683
Hungarian,19954,21801,-9.256289465771275,54516,57311,-5.1269352116809745
Scots,7563,7445,1.5602274229802988,64651,61629,4.674328316654035
Finnish,12006,12092,-0.7163085124104615,59694,56596,5.189801320065668
Corsican,4726,4664,1.311891663140076,56606,51371,9.248136239974562
Hebrew,29072,24854,14.508805723720418,31809,27359,13.989751328240436
Slovak,9090,8703,4.257425742574258,47835,42244,11.688094491481133
Romanian,8406,8381,0.29740661432310256,46749,44779,4.21399388222208
Galician,9041,7643,15.46289127308926,41931,36867,12.076983615940474
Bulgarian,18010,18346,-1.8656302054414213,31546,28943,8.251442338172827
Esperanto,6235,5594,10.280673616680032,43088,36214,15.953397697734868
Hawaiian,4331,3965,8.450704225352112,42741,36300,15.069839264406541
Thai,10739,10154,5.44743458422572,35050,32307,7.825962910128388
Norwegian,4786,4873,-1.817801922273297,32619,31573,3.2067200098102333
Malay,4121,4072,1.1890317884008736,31177,28474,8.669852776084934
Occitan,2053,1969,4.09157330735509,32084,27262,15.029298092507169
Croatian,4759,5028,-5.652447993275898,24278,24517,-0.9844303484636296
Catalan,6375,6399,-0.3764705882352941,20898,20090,3.866398698440042
Norwegian Nynorsk,4115,4203,-2.138517618469016,17700,16905,4.491525423728813
Guarani,1505,1458,3.122923588039867,20026,17654,11.84460201737741
Malagasy,2781,2620,5.789284430061129,18705,16722,10.601443464314354
Hindi,10022,8483,15.356216324087008,10202,8997,11.811409527543619
Volapük,887,860,3.043968432919955,15583,13896,10.82590001925175
Macedonian,901,795,11.764705882352942,14854,12918,13.033526322875993
Slovenian,3548,3832,-8.004509582863585,10900,11188,-2.6422018348623855
Bosnian,4370,4349,0.4805491990846682,9098,9077,0.23081996043086392
Kinyarwanda,1652,1625,1.6343825665859564,11599,10460,9.819812052763169
Tagalog,1251,1263,-0.9592326139088729,11967,11430,4.487340185510153
Uzbek,3810,3890,-2.099737532808399,9357,8479,9.38334936411243
Afrikaans,1753,1853,-5.704506560182544,10943,10771,1.571781047244814
Seselwa Creole French,5806,5795,0.18945918015845678,6662,6309,5.298709096367457
Bangla,2140,1857,13.22429906542056,10227,9242,9.631367947589714
Somali,2094,2049,2.1489971346704873,9728,8816,9.375
Swahili,3665,3606,1.6098226466575716,8123,7753,4.554967376585005
Basque,834,836,-0.23980815347721823,9828,8585,12.647537647537648
Quechua,1087,1067,1.8399264029438822,8612,7763,9.858337203901533
Latvian,1946,1909,1.9013360739979446,7674,7174,6.515506906437321
Luxembourgish,834,819,1.7985611510791366,8448,8096,4.166666666666667
Manx,809,836,-3.3374536464771323,8181,7770,5.023835716905023
Sanskrit,771,774,-0.38910505836575876,7951,7734,2.7292164507609105
Breton,875,865,1.1428571428571428,7762,7147,7.923215666065447
Ganda,3425,3133,8.525547445255475,5096,4765,6.495290423861852
Interlingua,768,738,3.90625,7613,6996,8.10455799290687
Interlingue,680,632,7.0588235294117645,7603,6808,10.456398789951335
Bislama,1949,1810,7.131862493586454,6251,5845,6.4949608062709965
Haitian Creole,558,546,2.150537634408602,7170,6181,13.793584379358437
Fijian,339,315,7.079646017699115,7179,6109,14.904582810976459
Welsh,1902,1968,-3.470031545741325,5547,5261,5.155940147827654
Samoan,748,700,6.4171122994652405,6696,5840,12.783751493428912
Morisyen,343,331,3.498542274052478,6865,6482,5.579024034959942
Scottish Gaelic,1560,1505,3.5256410256410255,5637,4993,11.42451658683697
Tatar,209,214,-2.3923444976076556,6786,6491,4.34718538166814
Waray,873,840,3.7800687285223367,6019,5587,7.177271972088387
Klingon,566,555,1.9434628975265018,6256,5428,13.235294117647058
Estonian,1121,1129,-0.7136485280999108,5401,5071,6.109979633401222
Romansh,713,665,6.732117812061711,5427,4993,7.9970517781463055
Tongan,282,272,3.5460992907801416,5785,5029,13.068280034572169
Western Frisian,953,827,13.221406086044071,4938,4603,6.784123126771973
Kazakh,643,616,4.199066874027994,5107,4364,14.548658703739966
Xhosa,248,249,-0.4032258064516129,5432,5080,6.480117820324006
Wolof,819,822,-0.3663003663003663,4786,4574,4.42958629335562
Irish,818,797,2.567237163814181,4517,4090,9.453176887314589
