language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18571149,16462914,11.352205509739866,56174050,50503171,10.09519342116155
Russian,1019761,511055,49.884825954316746,3264091,1728223,47.05346756570206
Portuguese,659886,615468,6.731162655367745,2474135,2309779,6.642968148464009
Spanish,537667,510359,5.078980112225597,1900117,1800622,5.236256504204741
unknown,393262,318856,18.92021095351191,1775160,1390374,21.676130602311904
German,470515,333382,29.14529823703814,1644783,1173814,28.63411161229171
Italian,313207,235447,24.82703132433183,1609933,1156148,28.18657670847172
French,367488,353038,3.9321011842563567,1061478,1024327,3.4999312279670423
Korean,209850,101291,51.73171312842506,521813,263810,49.44357461389425
Chinese,103602,93325,9.919692670025675,365988,337918,7.669650371050417
Polish,83078,58280,29.849057512217435,261174,177112,32.186205365005705
Japanese,69296,49497,28.571634726391135,241321,178002,26.238495613726116
Ukrainian,79677,46111,42.12759014521129,193502,111415,42.421783754173084
Indonesian,45634,49541,-8.561598807906385,110488,109996,0.44529722684816453
Turkish,43659,32282,26.058773677821296,97512,72903,25.236893920748216
Arabic,33570,41301,-23.029490616621985,93121,101056,-8.521171379173333
Latin,13019,11590,10.976265458176512,103598,93418,9.8264445259561
Greek,35747,20804,41.802109267910595,76397,46741,38.818278204641544
Dutch,32486,26968,16.985778489195347,69351,57695,16.807255843462965
Vietnamese,42538,45441,-6.82448634162396,56022,57131,-1.9795794509299918
Danish,24080,21148,12.17607973421927,63077,55060,12.709862548948111
Serbian,10297,5662,45.01311061474216,75050,42824,42.93937375083278
Swedish,23779,19025,19.99243029563901,61391,47534,22.571712465996644
Czech,13646,11495,15.762860911622454,61332,50933,16.95525989695428
Hungarian,18050,15797,12.481994459833794,49371,41830,15.274148791800854
Tsonga,7896,7290,7.674772036474164,57281,53176,7.166425167158395
Scots,6699,6102,8.911777877295119,57741,52832,8.501757849708179
Finnish,9625,9024,6.244155844155844,47324,43929,7.173949792916913
Corsican,4187,3242,22.569859087652258,51353,36856,28.2300936654139
Bulgarian,19457,13334,31.469394048414454,33566,20798,38.03849133051302
Romanian,7582,6330,16.51279345819045,42687,34846,18.368589968842972
Hebrew,22631,14199,37.25862754628607,25598,17696,30.869599187436517
Persian,11469,10726,6.478332897375534,33532,33414,0.3519026601455326
Thai,10524,5152,51.04522995058913,33831,18106,46.481038101149835
Slovak,7391,6553,11.338113922337978,36423,32099,11.871619581033961
Galician,6093,5888,3.3645166584605284,30832,28699,6.918137000518941
Esperanto,4592,4368,4.878048780487805,30205,28460,5.77718920708492
Hawaiian,3150,2916,7.428571428571429,31548,29620,6.111322429314061
Norwegian,4228,3777,10.66698202459792,27529,24111,12.415997675178902
Croatian,4310,3829,11.160092807424594,21579,18230,15.519718244589647
Malay,3064,2796,8.7467362924282,21801,20499,5.972203109949085
Occitan,1548,1387,10.400516795865633,21961,20879,4.9269158963617325
Norwegian Nynorsk,3774,3104,17.75304716481187,16054,13043,18.7554503550517
Catalan,4472,5013,-12.097495527728086,14775,15919,-7.7428087986463625
Macedonian,847,502,40.731995277449826,16101,8940,44.47549841624744
Malagasy,2229,2088,6.325706594885599,14232,12821,9.914277684092186
Guarani,1165,1095,6.008583690987124,14920,14343,3.8672922252010724
Slovenian,3168,2985,5.776515151515151,9732,8943,8.10727496917386
Volapük,743,712,4.172274562584119,12040,11399,5.323920265780731
Uzbek,3876,2824,27.141382868937047,8080,6756,16.386138613861387
Afrikaans,1600,1392,13.0,9909,8595,13.260672116257947
Bosnian,3349,3334,0.4478948939982084,8085,7072,12.529375386518243
Tagalog,1089,973,10.651974288337925,10218,8793,13.945977686435702
Seselwa Creole French,5460,4563,16.428571428571427,5811,5356,7.829977628635347
Swahili,3057,2886,5.593719332679097,7472,6892,7.762312633832977
Somali,1901,1712,9.942135718043135,8162,7617,6.677284979171771
Kinyarwanda,1352,1243,8.062130177514794,8599,8139,5.349459239446447
Luxembourgish,778,536,31.105398457583547,7577,5876,22.449518279002245
