language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18571149,16299302,12.233206464500393,56174050,51294164,8.687082380565403
Russian,1019761,503487,50.626960630971375,3264091,1816660,44.34407619150324
Portuguese,659886,612497,7.181391937395247,2474135,2383957,3.644829405024382
Spanish,537667,505591,5.965774354758614,1900117,1863669,1.91819766888039
unknown,393262,314647,19.990489800692668,1775160,1440527,18.85086414745713
German,470515,328321,30.220928131940532,1644783,1221540,25.732452244460212
Italian,313207,237228,24.258397800815434,1609933,1233086,23.40762006866124
French,367488,348654,5.125065308254963,1061478,1061976,-0.0469157156342383
Korean,209850,97009,53.77221825113176,521813,278405,46.646595619503536
Chinese,103602,87705,15.344298372618288,365988,375095,-2.48833295080713
Polish,83078,57977,30.213775006620285,261174,191677,26.609463422852198
Japanese,69296,48233,30.395693835141998,241321,200009,17.119106915684917
Ukrainian,79677,45830,42.48026406616715,193502,116234,39.93137021839568
Indonesian,45634,48281,-5.800499627470746,110488,114775,-3.8800593729635797
Turkish,43659,30275,30.655763989097323,97512,77196,20.83435884814177
Arabic,33570,38842,-15.704498063747394,93121,108948,-16.996166278283095
Latin,13019,11582,11.037714110146709,103598,96034,7.301299252881329
Greek,35747,19329,45.92832965004056,76397,51553,32.51960155503488
Dutch,32486,26708,17.786123253093642,69351,59902,13.624893656904732
Vietnamese,42538,43273,-1.727866848464902,56022,57872,-3.302274106600978
Danish,24080,19922,17.267441860465116,63077,56166,10.956450053109691
Serbian,10297,5681,44.82859085170438,75050,44962,40.090606262491676
Swedish,23779,19034,19.954581773834054,61391,50369,17.953771725497223
Czech,13646,11793,13.579070789975084,61332,54423,11.264918802582665
Hungarian,18050,15753,12.725761772853186,49371,44090,10.696562759514695
Tsonga,7896,7317,7.332826747720365,57281,53929,5.851853145021909
Scots,6699,5988,10.613524406627855,57741,53480,7.3795050310870955
Finnish,9625,8984,6.65974025974026,47324,45274,4.331840081142761
Corsican,4187,3264,22.044423214712204,51353,39362,23.35014507428972
Bulgarian,19457,13130,32.51785989618132,33566,21624,35.57766787821009
Romanian,7582,6266,17.35689791611712,42687,35970,15.73546981516621
Hebrew,22631,12791,43.480182051168754,25598,17460,31.79154621454801
Persian,11469,10284,10.332199843055193,33532,35511,-5.901825122271263
Thai,10524,5076,51.767388825541616,33831,20173,40.371257131033666
Slovak,7391,6361,13.93586794750372,36423,33694,7.492518463608159
Galician,6093,5776,5.202691613326769,30832,29740,3.541774779449922
Esperanto,4592,4374,4.7473867595818815,30205,29519,2.2711471610660485
Hawaiian,3150,2910,7.619047619047619,31548,30480,3.3853176112590337
Norwegian,4228,3714,12.157048249763482,27529,25059,8.97235642413455
Croatian,4310,3882,9.930394431554525,21579,19428,9.968024468233004
Malay,3064,2817,8.06135770234987,21801,21328,2.1696252465483234
Occitan,1548,1349,12.855297157622738,21961,21856,0.478120304175584
Norwegian Nynorsk,3774,3160,16.269210386857445,16054,13604,15.26099414476143
Catalan,4472,5010,-12.0304114490161,14775,16230,-9.847715736040609
Macedonian,847,495,41.55844155844156,16101,9327,42.07192099869573
Malagasy,2229,2089,6.280843427545984,14232,13194,7.293423271500843
Guarani,1165,1086,6.781115879828326,14920,14620,2.0107238605898123
Slovenian,3168,2978,5.997474747474747,9732,9138,6.103575832305795
Volapük,743,694,6.594885598923284,12040,11712,2.7242524916943522
Uzbek,3876,2451,36.76470588235294,8080,7063,12.586633663366337
Afrikaans,1600,1345,15.9375,9909,8871,10.475325461701484
Bosnian,3349,3287,1.8512988951925948,8085,7383,8.682745825602968
Tagalog,1089,974,10.560146923783288,10218,9071,11.225288706204736
Seselwa Creole French,5460,4399,19.43223443223443,5811,5464,5.9714334882120115
Swahili,3057,2828,7.491004252535165,7472,6997,6.357066381156317
Somali,1901,1689,11.15202524986849,8162,7727,5.329576084293065
Kinyarwanda,1352,1234,8.727810650887575,8599,8439,1.8606814745900686
Luxembourgish,778,538,30.848329048843187,7577,6097,19.532796621354098
Latvian,1667,1580,5.218956208758248,6499,6173,5.016156331743345
Basque,595,632,-6.218487394957983,7409,7263,1.9705763260898908
Hindi,3027,3857,-27.41988767756855,4892,5936,-21.34096484055601
Manx,725,632,12.827586206896552,6775,6526,3.6752767527675276
Quechua,836,781,6.578947368421052,6656,6382,4.116586538461538
Sanskrit,632,568,10.126582278481013,6728,6262,6.92627824019025
Bislama,1696,1422,16.15566037735849,5586,5104,8.628714643752238
Breton,769,717,6.7620286085825745,6297,5884,6.558678735905987
Interlingua,637,576,9.576138147566718,6137,5374,12.43278474824833
Interlingue,544,463,14.889705882352942,6188,5700,7.886231415643181
Tatar,205,141,31.21951219512195,6359,4919,22.645069979556535
Ganda,1862,2024,-8.70032223415682,4513,4172,7.555949479282074
Kazakh,706,358,49.29178470254958,5638,3011,46.59453706988294
Welsh,1556,1385,10.989717223650386,4586,4443,3.11818578281727
Morisyen,273,260,4.761904761904762,5812,5230,10.013764624913971
Waray,788,745,5.456852791878172,5272,4940,6.29742033383915
Scottish Gaelic,1210,1082,10.578512396694215,4737,4225,10.808528604602069
Haitian Creole,427,387,9.36768149882904,5497,5084,7.513189012188467
Fijian,263,233,11.406844106463879,5425,4902,9.640552995391705
Estonian,957,882,7.836990595611285,4531,4081,9.931582432134187
Samoan,524,509,2.8625954198473282,4735,4767,-0.675818373812038
Romansh,637,540,15.2276295133438,4546,3947,13.176418829740431
Klingon,466,434,6.866952789699571,4699,4561,2.9367950627793147
Tongan,242,192,20.66115702479339,4833,4349,10.014483757500518
Wolof,701,613,12.553495007132668,4307,4112,4.52751335035988
Xhosa,217,186,14.285714285714286,4628,4453,3.7813310285220396
Western Frisian,690,600,13.043478260869565,4101,3941,3.9014874420872956
Tajik,280,198,29.285714285714285,4032,2049,49.18154761904762
Nyanja,368,329,10.597826086956522,3939,3450,12.414318354912414
Faroese,407,376,7.616707616707616,3849,3612,6.157443491816056
Irish,674,597,11.42433234421365,3500,3394,3.0285714285714285
Lingala,79,78,1.2658227848101267,3776,3588,4.978813559322034
Kalaallisut,300,260,13.333333333333334,3530,2877,18.4985835694051
Southern Sotho,372,325,12.634408602150538,3323,3087,7.102016250376166
Afar,1249,782,37.389911929543636,2370,2064,12.91139240506329
Māori,800,733,8.375,2657,2282,14.113662024840044
Bangla,539,1098,-103.71057513914657,2883,5311,-84.21782865071107
Kyrgyz,543,421,22.467771639042358,2831,1789,36.806782055810665
zzp,493,468,5.070993914807302,2831,2735,3.391027905333804
Aymara,291,266,8.59106529209622,2865,2670,6.806282722513089
Tswana,227,218,3.9647577092511015,2881,2814,2.3255813953488373
Oromo,798,703,11.904761904761905,2283,2271,0.5256241787122208
Azerbaijani,121,89,26.446280991735538,2815,2186,22.344582593250443
Icelandic,241,205,14.937759336099585,2554,2223,12.960062646828504
Hausa,282,272,3.5460992907801416,2504,2467,1.4776357827476039
Shona,150,147,2.0,2568,2576,-0.3115264797507788
Albanian,309,283,8.414239482200648,2373,2265,4.551201011378002
Khasi,239,227,5.02092050209205,2383,2232,6.336550566512799
Belarusian,104,71,31.73076923076923,2441,1544,36.747234739860716
Maltese,59,50,15.254237288135593,2479,2382,3.9128680919725696
Akan,236,223,5.508474576271187,2246,2133,5.0311665182546745
Lithuanian,124,108,12.903225806451612,2328,2145,7.860824742268041
Uyghur,246,237,3.658536585365854,2164,1490,31.146025878003698
Nauru,261,231,11.494252873563218,1871,1802,3.687867450561197
Javanese,191,175,8.37696335078534,1856,1704,8.189655172413794
Yoruba,335,275,17.91044776119403,1710,1407,17.719298245614034
Cebuano,158,148,6.329113924050633,1641,1611,1.8281535648994516
Turkmen,77,58,24.675324675324674,1659,1135,31.585292344786016
Sinhala,281,186,33.80782918149466,1385,1050,24.187725631768952
Mongolian,71,49,30.985915492957748,1486,796,46.433378196500676
Bashkir,37,20,45.945945945945944,1465,672,54.129692832764505
Swati,237,222,6.329113924050633,1155,1083,6.233766233766234
Tigrinya,308,281,8.766233766233766,1025,986,3.8048780487804876
Hmong,117,87,25.641025641025642,1210,975,19.421487603305785
Igbo,51,48,5.882352941176471,1184,1179,0.4222972972972973
Amharic,227,168,25.991189427312776,666,563,15.465465465465465
Sundanese,37,41,-10.81081081081081,732,775,-5.8743169398907105
Rundi,41,41,0.0,709,652,8.039492242595205
Marathi,453,676,-49.22737306843267,200,184,8.0
Venda,37,36,2.7027027027027026,551,440,20.14519056261343
Lao,28,28,0.0,387,390,-0.7751937984496124
Armenian,101,136,-34.65346534653465,297,299,-0.6734006734006734
Zulu,31,28,9.67741935483871,288,266,7.638888888888889
