language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18571149,16779871,9.645488278619702,56174050,50464344,10.164312525089432
Russian,1019761,530558,47.97231900415882,3264091,1721231,47.26767727983074
Portuguese,659886,629271,4.639437721060911,2474135,2303321,6.903988666746156
Spanish,537667,523622,2.6122116477299144,1900117,1793228,5.625390436483648
unknown,393262,327054,16.835595608017048,1775160,1385563,21.94714842605737
German,470515,345558,26.55749551023878,1644783,1165789,29.122017919689103
Italian,313207,240313,23.273426200563843,1609933,1146835,28.765047986469003
French,367488,363735,1.0212578369905956,1061478,1020646,3.846711848950237
Korean,209850,106170,49.40671908506076,521813,263564,49.49071793918511
Chinese,103602,109481,-5.674600876430957,365988,336805,7.97375870247112
Polish,83078,59534,28.339632634391776,261174,174258,33.278963449654256
Japanese,69296,52256,24.59016393442623,241321,175827,27.1397847680061
Ukrainian,79677,47194,40.768352222096716,193502,110834,42.722039048692004
Indonesian,45634,52243,-14.482622605951702,110488,109855,0.5729128955180653
Turkish,43659,34261,21.525916764012003,97512,72759,25.38456805316269
Arabic,33570,43479,-29.517426273458444,93121,100427,-7.845706124289903
Latin,13019,11734,9.870189722712958,103598,93121,10.113129597096469
Greek,35747,23742,33.58323775421714,76397,46563,39.051271646792415
Dutch,32486,27470,15.440497445053254,69351,57435,17.182160314919756
Vietnamese,42538,48168,-13.235224975316187,56022,57457,-2.561493698904002
Danish,24080,22259,7.562292358803987,63077,55356,12.240594828542893
Serbian,10297,5793,43.740895406429054,75050,42520,43.34443704197202
Swedish,23779,19390,18.457462466882543,61391,47345,22.87957518202994
Czech,13646,11534,15.477062875567931,61332,50184,18.1764820974369
Hungarian,18050,15955,11.606648199445983,49371,41301,16.345628000243057
Tsonga,7896,7334,7.117527862208713,57281,53145,7.22054433407238
Scots,6699,6181,7.7324973876698015,57741,52785,8.583155816490882
Finnish,9625,9105,5.402597402597403,47324,43511,8.057222550925534
Corsican,4187,3370,19.51277764509195,51353,36510,28.90386150760423
Bulgarian,19457,13608,30.0611605077864,33566,20783,38.083179407734015
Romanian,7582,6496,14.323397520443155,42687,34656,18.813690350692248
Hebrew,22631,16288,28.027926295788962,25598,18257,28.67802172044691
Persian,11469,11521,-0.45339611125643037,33532,33421,0.3310270786114756
Thai,10524,5413,48.56518434055492,33831,17884,47.13724099198959
Slovak,7391,6840,7.455012853470437,36423,31968,12.231282431430689
Galician,6093,6019,1.214508452322337,30832,28581,7.300856253243383
Esperanto,4592,4422,3.702090592334495,30205,28312,6.267174308889257
Hawaiian,3150,3029,3.8412698412698414,31548,29561,6.298339038924813
Norwegian,4228,3778,10.64333017975402,27529,23872,13.284173053870465
Croatian,4310,3799,11.85614849187935,21579,17815,17.442884285648084
Malay,3064,2874,6.201044386422977,21801,20425,6.31163708086785
Occitan,1548,1458,5.813953488372093,21961,20754,5.496106734665998
Norwegian Nynorsk,3774,3084,18.282988871224166,16054,12949,19.340974212034386
Catalan,4472,5053,-12.991949910554561,14775,15856,-7.316412859560067
Macedonian,847,526,37.89846517119244,16101,8873,44.89162163840755
Malagasy,2229,2128,4.531179901301032,14232,12806,10.019673974142776
Guarani,1165,1129,3.0901287553648067,14920,14330,3.954423592493298
Slovenian,3168,3010,4.987373737373737,9732,8904,8.508014796547473
Volapük,743,724,2.557200538358008,12040,11324,5.946843853820598
Uzbek,3876,3167,18.29205366357069,8080,6722,16.806930693069308
Afrikaans,1600,1434,10.375,9909,8596,13.250580280553033
Bosnian,3349,3395,-1.373544341594506,8085,6978,13.692022263450834
Tagalog,1089,998,8.356290174471992,10218,8525,16.568800156586416
