language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,19330067,16857982,12.788807198650682,57667388,51867734,10.057077667537152
Portuguese,715431,597546,16.477480008554284,2648620,2295410,13.335623834298616
Russian,621459,485408,21.892192405291418,2080849,1693160,18.63128944003145
Spanish,569825,494651,13.19247137278989,1966840,1785975,9.195714953936264
unknown,391478,317620,18.866449711094877,1666332,1457658,12.522954609285545
German,372619,322229,13.523196616382954,1282779,1154947,9.965239530737563
Italian,272113,229530,15.64901346131938,1344178,1162237,13.535484139749348
French,409205,361658,11.619359489742305,1158509,1059462,8.54952356865592
Chinese,115552,96225,16.725803101633897,389995,340749,12.62734137617149
Korean,136958,94091,31.299376451174812,345179,254256,26.340826064158016
Polish,62879,54147,13.886989296903577,190521,172710,9.348575747555387
Japanese,48274,47148,2.332518540000829,185413,174519,5.875531920631239
Ukrainian,52161,42548,18.429477962462375,130308,107137,17.7817171624152
Indonesian,50681,47279,6.712574732148142,114224,108144,5.322874352150161
Arabic,43101,38964,9.598385188278694,108165,98281,9.137891184764017
Latin,13482,11570,14.181872125797359,108007,93932,13.031562769079782
Turkish,35928,29723,17.270652415942997,77601,71435,7.9457738946663055
Vietnamese,47441,43391,8.536919542168167,59258,56280,5.025481791488069
Dutch,28292,25799,8.81167821292238,59309,56756,4.304574347906726
Danish,25488,20451,19.762241054613934,60069,55137,8.210557858462767
Greek,23609,18286,22.546486509382014,53058,44337,16.436729616645934
Swedish,19994,18275,8.597579273782134,49242,46687,5.188660086917672
Tsonga,8086,7245,10.400692555033391,58581,53669,8.38497123640771
Scots,6648,6018,9.47653429602888,57864,54791,5.310728605004839
Czech,11113,10979,1.2057950148474759,51096,49333,3.4503679348677
Hungarian,15434,14956,3.0970584423998964,42166,40996,2.7747474268367878
Serbian,6626,5376,18.865076969514035,50959,41778,18.01644459271179
Finnish,9250,8957,3.1675675675675676,47124,44542,5.479161361514302
Corsican,3648,3147,13.733552631578947,42115,37115,11.872254541137362
Romanian,6600,6026,8.696969696969697,36426,34268,5.924339757316202
Slovak,7297,6153,15.677675757160477,34945,31675,9.357561882958935
Persian,10035,10026,0.08968609865470852,31274,31203,0.22702564430517364
Galician,7499,5701,23.976530204027203,31921,28656,10.228376304000502
Bulgarian,14040,12814,8.732193732193732,23616,20364,13.770325203252032
Hawaiian,3250,2821,13.2,32968,29659,10.03700558116962
Esperanto,4603,4260,7.45166195959157,30525,28662,6.103194103194103
Hebrew,15241,13336,12.499179843842267,17260,17108,0.880648899188876
Norwegian,3707,3595,3.0213110331804693,24418,23583,3.4196084855434514
Malay,3005,2606,13.277870216306157,21854,20345,6.904914432140569
Occitan,1470,1307,11.08843537414966,22855,20798,9.000218770509735
Croatian,3802,3634,4.418726985796949,19446,17586,9.564949089787103
Catalan,5419,4982,8.064218490496401,17165,15885,7.457034663559569
Thai,4755,4487,5.636172450052576,17734,16809,5.215969324461486
Norwegian Nynorsk,3152,2987,5.2347715736040605,14078,13135,6.698394658332149
Malagasy,2229,2050,8.030506953790937,14143,12681,10.337269320511915
Guarani,1153,1056,8.412836079791848,15048,14204,5.608718766613504
Volapük,751,677,9.85352862849534,12406,11300,8.915041109140738
Slovenian,2850,2860,-0.3508771929824561,8797,8553,2.773672843014664
Uzbek,3132,2602,16.922094508301406,8034,7215,10.194174757281553
Bosnian,3445,3199,7.1407837445573294,7660,6949,9.281984334203655
