language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,19330067,16777929,13.202944407797448,57667388,52168970,9.53470963519277
Portuguese,715431,596371,16.641716671488936,2648620,2340896,11.618276687482538
Russian,621459,479901,22.7783329230086,2080849,1761366,15.353492733014265
Spanish,569825,492152,13.631027069714387,1966840,1827428,7.088121046958573
unknown,391478,314548,19.65116813716224,1666332,1497937,10.10572923042947
German,372619,318830,14.435388426247723,1282779,1193823,6.934631764317938
Italian,272113,231167,15.047425150580825,1344178,1213621,9.712776135303509
French,409205,358929,12.28626238682323,1158509,1083282,6.493432506782424
Chinese,115552,91002,21.245846026031572,389995,375536,3.7074834292747343
Korean,136958,88773,35.18231866703661,345179,264040,23.506354673951776
Polish,62879,53669,14.64717950349083,190521,184497,3.161856173335223
Japanese,48274,45743,5.24298794382069,185413,193672,-4.45438022145157
Ukrainian,52161,42080,19.326700024922836,130308,111078,14.757344138502624
Indonesian,50681,46132,8.975750281170459,114224,111621,2.2788555820142875
Arabic,43101,34947,18.918354562539154,108165,104203,3.6629223870937917
Latin,13482,11564,14.2263759086189,108007,95135,11.91774607201385
Turkish,35928,28448,20.819416610999777,77601,75047,3.291194701099213
Vietnamese,47441,42216,11.013680150081154,59258,56958,3.8813324783151644
Dutch,28292,25576,9.599886893821575,59309,58474,1.407880760087002
Danish,25488,19568,23.22661644695543,60069,55853,7.01859528209226
Greek,23609,17224,27.04477106188318,53058,49701,6.327038335406536
Swedish,19994,18395,7.99739921976593,49242,48767,0.9646236952195281
Tsonga,8086,7236,10.511996042542666,58581,53996,7.826769771769004
Scots,6648,5971,10.183513838748496,57864,55031,4.895962947601272
Czech,11113,11273,-1.4397552416089265,51096,52906,-3.542351651792704
Hungarian,15434,14702,4.742775690034987,42166,43137,-2.3028032063748043
Serbian,6626,5418,18.231210383338365,50959,43290,15.04935340175435
Finnish,9250,8814,4.713513513513513,47124,45593,3.248875307698837
Corsican,3648,3175,12.966008771929825,42115,38926,7.57212394633741
Romanian,6600,5953,9.803030303030303,36426,35310,3.0637456761653765
Slovak,7297,6013,17.596272440729066,34945,32914,5.811990270424953
Persian,10035,9360,6.726457399103139,31274,33041,-5.6500607533414335
Galician,7499,5718,23.749833311108148,31921,29369,7.994737006985996
Bulgarian,14040,12376,11.851851851851851,23616,20736,12.195121951219512
Hawaiian,3250,2824,13.107692307692307,32968,30244,8.262557631642805
Esperanto,4603,4247,7.734086465348685,30525,29251,4.173628173628174
Hebrew,15241,12212,19.8740240141723,17260,16968,1.6917728852838934
Norwegian,3707,3554,4.127326679255463,24418,24372,0.1883856171676632
Malay,3005,2616,12.945091514143094,21854,20941,4.177724901619841
Occitan,1470,1287,12.448979591836734,22855,21373,6.484357908553927
Croatian,3802,3667,3.550762756443977,19446,18959,2.504371078885118
Catalan,5419,4946,8.728547702528141,17165,16163,5.837459947567725
Thai,4755,4278,10.031545741324921,17734,18372,-3.597609112439382
Norwegian Nynorsk,3152,3071,2.5697969543147208,14078,13560,3.679499928967183
