language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,19330067,17347862,10.254516965719777,57667388,52215716,9.453648221417623
Portuguese,715431,630942,11.809524608243143,2648620,2318775,12.453466333411361
Russian,621459,527283,15.154016596428727,2080849,1725084,17.097107959299304
Spanish,569825,523165,8.18847891896635,1966840,1802458,8.357670171442518
unknown,391478,331916,15.21464807728659,1666332,1470021,11.781025629946493
German,372619,344381,7.578250169744431,1282779,1168607,8.900363975400284
Italian,272113,242333,10.94398283066226,1344178,1171251,12.864888429954961
French,409205,381745,6.710572940213341,1158509,1072090,7.459501825190827
Chinese,115552,109375,5.345645250623096,389995,342309,12.227336247900615
Korean,136958,103919,24.12345390557689,345179,260188,24.62229741670264
Polish,62879,58521,6.930771799805976,190521,175049,8.120889560730838
Japanese,48274,49937,-3.444918589717032,185413,172639,6.889484556099087
Ukrainian,52161,46195,11.437664155211749,130308,109947,15.625287779721889
Indonesian,50681,51413,-1.4443282492452794,114224,110421,3.3294228883597143
Arabic,43101,43224,-0.2853762093686921,108165,100222,7.343410530208478
Latin,13482,12072,10.45838896306186,108007,94815,12.214023165165221
Turkish,35928,33710,6.173458027165442,77601,73066,5.843996855710622
Vietnamese,47441,47463,-0.04637339010560486,59258,57514,2.9430625400789765
Dutch,28292,27251,3.679485366888166,59309,57367,3.2743765701664165
Danish,25488,22072,13.402385436283742,60069,55944,6.867102831743495
Greek,23609,22608,4.239908509466729,53058,45630,13.999773832409815
Swedish,19994,19262,3.6610983294988495,49242,47201,4.144835709353804
Tsonga,8086,7442,7.964382883997032,58581,54143,7.57583516839931
Scots,6648,6230,6.287605294825512,57864,55091,4.79227153325038
Czech,11113,11445,-2.9874921263385223,51096,49800,2.5364020666979803
Hungarian,15434,15642,-1.347673966567319,42166,41288,2.082246359626239
Serbian,6626,5741,13.356474494415938,50959,42407,16.782118958378305
Finnish,9250,9279,-0.31351351351351353,47124,44847,4.831932773109243
Corsican,3648,3411,6.496710526315789,42115,37348,11.31900747952036
Romanian,6600,6397,3.0757575757575757,36426,34738,4.6340525997913575
Slovak,7297,6709,8.058106070988078,34945,32006,8.410359135784805
Persian,10035,11337,-12.974588938714499,31274,32170,-2.8649996802455715
Galician,7499,6022,19.695959461261502,31921,28968,9.250963315685599
Bulgarian,14040,13396,4.586894586894587,23616,20721,12.258638211382113
Hawaiian,3250,3019,7.107692307692307,32968,29886,9.348459111866052
Esperanto,4603,4424,3.8887681946556594,30525,28789,5.687141687141687
Hebrew,15241,15946,-4.625680729610918,17260,17891,-3.6558516801853997
Norwegian,3707,3751,-1.1869436201780414,24418,23741,2.772544843967565
Malay,3005,2787,7.254575707154742,21854,20671,5.41319666880205
Occitan,1470,1440,2.0408163265306123,22855,20926,8.440166265587399
Croatian,3802,3766,0.9468700683850605,19446,17664,9.163838321505708
Catalan,5419,5187,4.281232699760103,17165,16120,6.087969705796679
