language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18595653,18298979,1.595394364478623,52456491,51343235,2.122246415605649
Russian,991759,597729,39.730418377851876,3103346,1950048,37.163049173376095
Portuguese,797304,684325,14.17012833248046,2955077,2464958,16.585659189252937
Spanish,632287,567886,10.185406310741799,2230553,1943929,12.849907623804501
unknown,408430,367326,10.063903239233161,1668518,1495644,10.360931077758826
Italian,315240,266810,15.362898109376983,1587723,1276945,19.573817347232485
German,438187,382630,12.678833466077268,1372793,1196291,12.857145979036897
French,448283,407466,9.10518578665709,1282908,1142676,10.930791607815992
Chinese,156871,117787,24.914738861867395,476999,374592,21.4690177547542
Korean,182217,123762,32.07988277712837,439822,306880,30.226318828980816
Japanese,79451,61468,22.63407634894463,279177,210705,24.526375740121857
Polish,76276,69901,8.357805862918873,236579,210174,11.161176604855038
Ukrainian,83792,54243,35.26470307427917,202293,131315,35.086730633289335
Arabic,75621,51131,32.38518400973275,182349,120436,33.95302414600574
Indonesian,65087,60824,6.549695023583818,135627,125554,7.426987251800895
Vietnamese,73237,54111,26.115214986960144,85803,63986,25.426849877043928
Greek,47714,26490,44.48170348325439,97385,56461,42.022898803717204
Turkish,43488,39596,8.949595290654893,93642,84645,9.607868264240405
Latin,13287,12866,3.168510574245503,104952,100052,4.668800975684122
Dutch,31291,30827,1.4828544949026876,65592,63787,2.751859982924747
Danish,24927,25173,-0.9868816945480804,62567,60365,3.5194271740693974
Serbian,10247,6493,36.635112715916854,71147,47660,33.01193304004385
Swedish,22534,21764,3.4170586669033463,58175,53968,7.231628706489042
Czech,14012,13151,6.144733085926349,62571,57836,7.567403429703856
Persian,19242,13846,28.04282299137304,53857,39737,26.217576173942106
Hungarian,18557,18107,2.4249609311849976,50333,48320,3.9993642342002267
Tsonga,7949,7755,2.440558560825261,57173,56021,2.014937120668847
Scots,6793,6567,3.3269542175769176,57567,55833,3.0121423732346657
Finnish,10585,10080,4.7709022201228155,51528,48769,5.354370439372768
Hebrew,27355,18178,33.547797477609215,30116,20650,31.431797051401247
Corsican,4278,3697,13.581112669471716,51042,40640,20.379295482151953
Bulgarian,20361,15332,24.699179804528264,33517,23485,29.931079750574334
Romanian,7619,7168,5.919411996324977,42896,38124,11.124580380455054
Slovak,7738,7447,3.7606616696820883,41735,35257,15.521744339283575
Galician,7039,6678,5.128569399062367,35271,31249,11.403135720563636
Thai,9927,7221,27.258990631610757,31631,24099,23.812083083051437
Esperanto,5273,4699,10.885643846007966,35483,30386,14.364625313530423
Hawaiian,3699,3238,12.462827791294945,36648,31662,13.605108055009824
Norwegian,4211,4189,0.5224412253621468,28444,26279,7.611447053860217
Malay,3496,3257,6.836384439359268,25114,23041,8.254360117862547
Occitan,1680,1539,8.392857142857142,26564,22545,15.129498569492545
Croatian,4347,4255,2.1164021164021163,21688,20819,4.00682405016599
Catalan,5898,5537,6.120718887758562,18815,17434,7.339888386925326
Guarani,1317,1217,7.593014426727411,17992,15992,11.116051578479324
Norwegian Nynorsk,3527,3446,2.2965693223702863,15597,14339,8.065653651343206
Hindi,9251,6115,33.89903794184413,9496,7396,22.114574557708508
Malagasy,2465,2238,9.208924949290061,16130,13750,14.755114693118413
Macedonian,882,582,34.01360544217687,15497,9811,36.69097244627992
Volapük,818,771,5.745721271393643,13302,12140,8.735528491956098
Slovenian,3343,3328,0.44869877355668564,9877,9589,2.9158651412372176
Bangla,2305,1502,34.837310195227765,10718,6425,40.05411457361448
Uzbek,4274,3327,22.157229761347683,8316,7619,8.381433381433382
Bosnian,3988,3832,3.9117352056168504,8240,8020,2.6699029126213594
Tagalog,1122,1080,3.7433155080213902,10646,9339,12.276911516062372
Afrikaans,1574,1551,1.4612452350698857,9713,9386,3.3666220529187685
Kinyarwanda,1381,1373,0.5792903692976105,9811,9034,7.9196819896035064
Seselwa Creole French,5276,4923,6.690674753601213,5562,5475,1.564185544768069
Swahili,3189,3201,-0.37629350893697083,7269,7146,1.692117210070161
Somali,1924,1787,7.120582120582121,8427,7955,5.601044262489617
Basque,741,694,6.342780026990553,8355,7467,10.628366247755835
Quechua,976,871,10.758196721311476,7534,6687,11.242367932041413
Latvian,1695,1717,-1.2979351032448379,6764,6485,4.124778237729155
Luxembourgish,739,622,15.832205683355886,7406,6622,10.58601134215501
Manx,724,734,-1.3812154696132597,7329,6932,5.4168372219948155
Ganda,3116,2493,19.993581514762518,4594,4457,2.982150631258163
Sanskrit,693,643,7.215007215007215,7000,6494,7.228571428571429
Breton,798,770,3.508771929824561,6783,6120,9.774436090225564
Bislama,1674,1571,6.152927120669056,5617,5356,4.6466085098807195
Interlingua,681,645,5.286343612334802,6469,5848,9.599628999845416
Interlingue,569,540,5.0966608084358525,6544,6016,8.06845965770171
Haitian Creole,486,469,3.4979423868312756,6133,5585,8.935268221098973
Welsh,1664,1643,1.2620192307692308,4947,4661,5.781281584798868
Fijian,305,263,13.770491803278688,6250,5211,16.624
Samoan,658,552,16.109422492401215,5744,4942,13.962395543175488
Tatar,201,172,14.427860696517413,6170,5191,15.86709886547812
Morisyen,306,276,9.803921568627452,5953,5418,8.9870653452041
Scottish Gaelic,1353,1230,9.090909090909092,4871,4451,8.622459453910901
Kazakh,719,455,36.717663421418635,5324,3193,40.02629601803155
Waray,792,783,1.1363636363636365,5212,5045,3.2041442824251725
Klingon,500,467,6.6,5360,4674,12.798507462686567
Estonian,1007,981,2.5819265143992056,4765,4297,9.821615949632738
Romansh,652,613,5.9815950920245395,4799,4136,13.815378203792458
Tongan,256,212,17.1875,4881,4443,8.973570989551321
Xhosa,220,206,6.363636363636363,4850,4639,4.350515463917525
Wolof,700,700,0.0,4276,4177,2.315247895229186
Western Frisian,736,710,3.532608695652174,4099,4007,2.2444498658209318
Irish,721,689,4.438280166435506,4077,3541,13.14692175619328
Nyanja,385,367,4.675324675324675,3941,3625,8.0182694747526
Faroese,423,418,1.1820330969267139,3883,3827,1.4421838784445016
Tajik,278,223,19.784172661870503,3993,2220,44.402704733283244
Lingala,93,84,9.67741935483871,3921,3610,7.931650089262943
Southern Sotho,393,384,2.2900763358778624,3504,3299,5.850456621004566
Afar,1392,1383,0.646551724137931,2422,2249,7.142857142857143
Kalaallisut,301,282,6.312292358803987,3342,3006,10.053859964093357
Oromo,846,844,0.2364066193853428,2610,2467,5.478927203065134
Aymara,306,307,-0.32679738562091504,3112,2777,10.764781491002571
Māori,795,781,1.7610062893081762,2537,2422,4.532912889239259
zzp,478,480,-0.41841004184100417,2840,2819,0.7394366197183099
Kyrgyz,544,451,17.095588235294116,2771,1898,31.50487188740527
Hausa,333,299,10.21021021021021,2970,2690,9.427609427609427
Tswana,236,238,-0.847457627118644,3002,2931,2.365089940039973
Shona,172,154,10.465116279069768,3007,2683,10.774858663119389
Icelandic,240,236,1.6666666666666667,2620,2420,7.633587786259542
Azerbaijani,119,104,12.605042016806722,2658,2479,6.73438675696012
Albanian,298,298,0.0,2436,2392,1.80623973727422
Khasi,253,250,1.1857707509881423,2349,2314,1.489995742869306
Lithuanian,135,126,6.666666666666667,2437,2305,5.416495691423882
Uyghur,307,255,16.938110749185668,2158,1533,28.96200185356812
Akan,234,233,0.42735042735042733,2225,2209,0.7191011235955056
Belarusian,103,80,22.33009708737864,2278,1645,27.787532923617206
Maltese,61,62,-1.639344262295082,2300,2267,1.434782608695652
Nauru,271,266,1.845018450184502,1940,1868,3.711340206185567
Javanese,215,215,0.0,1985,1791,9.773299748110832
Yoruba,327,289,11.62079510703364,1686,1461,13.345195729537366
Cebuano,161,160,0.6211180124223602,1780,1647,7.47191011235955
Sinhala,296,278,6.081081081081081,1481,1334,9.925725860904794
Turkmen,77,67,12.987012987012987,1584,1175,25.82070707070707
Mongolian,78,61,21.794871794871796,1513,916,39.45803040317251
Igbo,59,49,16.949152542372882,1484,1219,17.857142857142858
Swati,237,231,2.5316455696202533,1134,1120,1.2345679012345678
Hmong,119,94,21.008403361344538,1250,1009,19.28
Bashkir,37,24,35.13513513513514,1327,727,45.214770158251696
Tigrinya,316,306,3.1645569620253164,1040,1026,1.3461538461538463
Marathi,1039,858,17.420596727622716,243,225,7.407407407407407
Amharic,330,260,21.21212121212121,921,773,16.069489685124864
Sundanese,46,45,2.1739130434782608,875,822,6.057142857142857
Rundi,42,42,0.0,735,666,9.387755102040817
Venda,41,39,4.878048780487805,565,452,20.0
Armenian,224,189,15.625,367,330,10.08174386920981
Urdu,151,121,19.867549668874172,434,367,15.43778801843318
Pashto,81,54,33.333333333333336,446,263,41.03139013452915
Lao,28,28,0.0,427,428,-0.234192037470726
Tibetan,29,34,-17.24137931034483,295,324,-9.830508474576272
Zulu,30,28,6.666666666666667,276,275,0.36231884057971014
Sindhi,49,26,46.93877551020408,228,141,38.1578947368421
Cherokee,258,222,13.953488372093023,19,19,0.0
Abkhazian,8,6,25.0,177,177,0.0
Zhuang,16,15,6.25,169,141,16.568047337278106
xx,49,39,20.408163265306122,135,116,14.074074074074074
