language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18595653,18160331,2.3409879717587763,52456491,51866766,1.1242174014270225
Russian,991759,587177,40.79438653947179,3103346,2028597,34.63194242601373
Portuguese,797304,682730,14.370177498168829,2955077,2554797,13.545501521618556
Spanish,632287,566152,10.459648861988306,2230553,2022074,9.34651631232255
unknown,408430,364108,10.85179834977842,1668518,1520022,8.899874019938652
Italian,315240,271372,13.915746732648142,1587723,1374756,13.413359887083578
German,438187,376638,14.046286174624075,1372793,1245720,9.256530299906832
French,448283,402394,10.236613924685969,1282908,1178663,8.12568009553296
Chinese,156871,110090,29.821318153132193,476999,416429,12.698139828385385
Korean,182217,120778,33.71749068418424,439822,319578,27.339241784176327
Japanese,79451,60789,23.488691142968623,279177,231442,17.09847157896245
Polish,76276,69971,8.266033876973097,236579,224624,5.053280299603938
Ukrainian,83792,53343,36.33879129272484,202293,133143,34.18309086325281
Arabic,75621,49110,35.05772206133217,182349,126146,30.821666145687665
Indonesian,65087,58607,9.955905173076037,135627,128960,4.91568787925708
Vietnamese,73237,50470,31.086745770580443,85803,63871,25.560877824784683
Greek,47714,24093,49.505386259797966,97385,60969,37.39384915541408
Turkish,43488,37907,12.833425312729949,93642,87358,6.710664018282395
Latin,13287,12876,3.0932490404154436,104952,102026,2.7879411540513757
Dutch,31291,30551,2.3648972548017,65592,65592,0.0
Danish,24927,24459,1.8774822481646407,62567,61135,2.288746463790816
Serbian,10247,6492,36.644871669757,71147,49471,30.466498938816816
Swedish,22534,21841,3.0753528002130115,58175,56425,3.008165019338204
Czech,14012,13365,4.617470739366257,62571,60075,3.9890684182768377
Persian,19242,13190,31.45203201330423,53857,40945,23.97459940212043
Hungarian,18557,18129,2.3064072856603977,50333,49342,1.968887211173584
Tsonga,7949,7771,2.2392753805510126,57173,56576,1.0441991849299495
Scots,6793,6550,3.5772118357132343,57567,56528,1.8048534750812097
Finnish,10585,10068,4.884270193670289,51528,49688,3.5708740878745537
Hebrew,27355,16308,40.38384207640285,30116,19976,33.66981006773808
Corsican,4278,3713,13.207106124357177,51042,43917,13.959092512048901
Bulgarian,20361,15095,25.863169785373998,33517,24097,28.105140674881405
Romanian,7619,7097,6.851292820580128,42896,38925,9.25727340544573
Slovak,7738,7297,5.699147066425433,41735,36879,11.635318078351503
Galician,7039,6621,5.938343514703793,35271,32317,8.375152391483088
Thai,9927,7056,28.921124206708974,31631,24745,21.769782808004805
Esperanto,5273,4690,11.056324672861749,35483,31558,11.06163514922639
Hawaiian,3699,3212,13.165720464990539,36648,32748,10.641781270464964
Norwegian,4211,4191,0.4749465685110425,28444,27240,4.23287863872873
Malay,3496,3244,7.2082379862700225,25114,23768,5.3595604045552285
Occitan,1680,1493,11.130952380952381,26564,23661,10.928324047583196
Croatian,4347,4326,0.4830917874396135,21688,21624,0.2950940612320177
Catalan,5898,5518,6.442861987114276,18815,17654,6.170608557002391
Guarani,1317,1216,7.668944570994685,17992,16455,8.54268563806136
Norwegian Nynorsk,3527,3461,1.8712787071165295,15597,14881,4.590626402513304
Hindi,9251,5976,35.401578207761325,9496,7372,22.36731255265375
Malagasy,2465,2233,9.411764705882353,16130,14389,10.793552386856788
Macedonian,882,565,35.941043083900226,15497,10281,33.658127379492804
Volapük,818,760,7.090464547677262,13302,12411,6.698240866035182
Slovenian,3343,3293,1.4956625785222855,9877,9797,0.8099625392325605
Bangla,2305,1439,37.5704989154013,10718,6821,36.35939540959134
Uzbek,4274,2955,30.861020121665888,8316,7677,7.683982683982684
Bosnian,3988,3744,6.118355065195587,8240,8193,0.5703883495145631
Tagalog,1122,1079,3.8324420677361855,10646,9916,6.857035506293443
Afrikaans,1574,1519,3.49428208386277,9713,9640,0.7515700607433337
Kinyarwanda,1381,1362,1.3758146270818248,9811,9260,5.616145143206605
Seselwa Creole French,5276,4767,9.64746019711903,5562,5524,0.6832074793239842
Swahili,3189,3149,1.2543116964565695,7269,7226,0.5915531710001376
Somali,1924,1769,8.056133056133056,8427,8046,4.521181915272339
Basque,741,685,7.557354925775979,8355,7667,8.234590065828845
Quechua,976,842,13.729508196721312,7534,6835,9.277940005309265
Latvian,1695,1697,-0.11799410029498525,6764,6580,2.7202838557066826
Luxembourgish,739,625,15.426251691474967,7406,6834,7.723467458817176
Manx,724,717,0.9668508287292817,7329,7028,4.106972301814709
Ganda,3116,2460,21.05263157894737,4594,4495,2.154984762734001
Sanskrit,693,642,7.359307359307359,7000,6738,3.742857142857143
Breton,798,763,4.385964912280702,6783,6289,7.282913165266106
Bislama,1674,1576,5.854241338112306,5617,5429,3.3469823749332384
Interlingua,681,636,6.607929515418502,6469,5989,7.4200030916679545
Interlingue,569,525,7.73286467486819,6544,6161,5.852689486552567
Haitian Creole,486,479,1.440329218106996,6133,5790,5.592695255176912
Welsh,1664,1642,1.3221153846153846,4947,4750,3.982211441277542
Fijian,305,261,14.426229508196721,6250,5292,15.328
Samoan,658,562,14.589665653495441,5744,5164,10.097493036211699
Tatar,201,166,17.412935323383085,6170,5388,12.6742301458671
