language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18595653,18542520,0.2857280677371211,52456491,51329904,2.1476598577666968
Russian,991759,616313,37.85657604317178,3103346,1940084,37.484121976730925
Portuguese,797304,694092,12.945125071490924,2955077,2454176,16.950522778255863
Spanish,632287,577204,8.711708448853132,2230553,1933671,13.309793580336356
unknown,408430,372344,8.835296133976446,1668518,1493934,10.463417236134102
Italian,315240,270219,14.281499809668825,1587723,1262496,20.48386273928135
German,438187,391638,10.623090141880065,1372793,1190172,13.302879603844135
French,448283,413738,7.706069603353239,1282908,1138031,11.292859659461161
Chinese,156871,129987,17.137648131267092,476999,374365,21.51660695305441
Korean,182217,127138,30.22714675359599,439822,306508,30.310898499847667
Japanese,79451,62634,21.166505141533776,279177,207830,25.55618836795295
Polish,76276,70063,8.145419266872935,236579,207474,12.302444426597457
Ukrainian,83792,54970,34.39707848004583,202293,131133,35.17669914431048
Arabic,75621,52357,30.763941233255313,182349,119262,34.59684451244591
Indonesian,65087,62227,4.394118641203312,135627,125088,7.7705766550908
Vietnamese,73237,56376,23.022515941395742,85803,64449,24.887241704835496
Greek,47714,28496,40.27748669153708,97385,56546,41.93561636802382
Turkish,43488,40556,6.742089771891097,93642,84429,9.838533991157814
Latin,13287,13035,1.8965906525174983,104952,99878,4.834591051147191
Dutch,31291,31280,0.03515387811191716,65592,63448,3.2686913038175387
Danish,24927,25721,-3.185301079151121,62567,60437,3.4043505362251665
Serbian,10247,6682,34.79067044012882,71147,47301,33.5165221302374
Swedish,22534,21900,2.813526227034703,58175,53517,8.006875805758487
Czech,14012,13137,6.244647445047103,62571,57342,8.356906554154481
Persian,19242,14097,26.73838478328656,53857,39309,27.01227324210409
Hungarian,18557,18147,2.209408848412998,50333,47716,5.199372181272723
Tsonga,7949,7791,1.9876714052082023,57173,55918,2.195092088923093
Scots,6793,6640,2.252318563226851,57567,55903,2.890544930255181
Finnish,10585,10183,3.79782711384034,51528,48647,5.591134916938364
Hebrew,27355,19727,27.885212940961434,30116,21515,28.559569663966
Corsican,4278,3762,12.0617110799439,51042,40120,21.39806433917166
Bulgarian,20361,15506,23.84460488188203,33517,23349,30.336843989617208
Romanian,7619,7236,5.0269064181651135,42896,37969,11.48591943304737
Slovak,7738,7638,1.2923235978288963,41735,34994,16.151910866179467
Galician,7039,6809,3.267509589430317,35271,31083,11.873777324147316
