Token,Frequency
",",3251533
Ġthe,2565701
.,2369516
Ġand,1776168
Ġto,1550498
Ġa,1460209
Ġof,1252833
Ġ,1049012
Ġin,819727
Ġis,817679
_,657065
:,598599
1,586383
Ġthat,563553
Ġyou,550603
Ċ,541694
ĠNAME,502988
Ġfor,485176
.ĊĊ,454773
ĠI,423076
2,416767
Ġwith,405433
"Ġ""",397825
Ġas,359763
Ġcan,350838
.Ċ,337089
Ġor,332846
Ġon,328581
Ġit,322908
Ġare,321027
Ġde,316110
's,310499
Ġbe,301671
3,270027
ĠThe,249476
Ġ(,234432
Ġyour,233933
Ġhave,204936
Ġan,201961
Ġnot,199039
4,187721
Ġ=,187426
?,182826
ĠĠĠ,177334
-,177021
Ġby,173736
),170714
"""",162924
0,162614
5,160002
Ġwas,156468
Ġthis,153401
Ġfrom,152004
Ġher,151622
*,148546
Ġe,135448
Ġwill,133040
Ġ`,130497
Ġla,126828
Ġdo,124961
Ġtheir,124808
Ġme,124213
:Ċ,120563
Ġmy,117992
Ġhas,116260
Ġuse,116088
Ġmore,115549
Ġ-,115107
Ġbut,115095
Ġque,113748
Ġabout,112696
:ĊĊ,111580
ĊĊ,109568
Ġused,108612
Ġif,108563
Ġwhich,106374
NAME,106338
Ġother,104973
ĠIt,104843
Ġany,103927
Ġalso,102186
Ġthey,98516
ĠĠĠĠĠĠĠ,98439
't,97106
Ġat,96728
ĠThis,96211
Ġsuch,96171
6,95643
`,94504
The,92562
Ġhelp,89860
!,89276
Ġdata,88011
Ġhis,86319
Ġits,85566
Ġy,85204
Ġ',84804
Ġwould,81368
Ġlike,81190
Ġshe,81166
Ġmay,81084
Ġmodel,78385
Ġall,77505
Ġanswer,77462
I,76284
Ġen,76015
Ġwhat,75986
Ġo,75894
Ġinformation,75364
Ġhe,75088
Ġwe,74583
Ġusing,73579
'm,73324
Ġun,73271
Ġimportant,71491
Ġprovide,71372
)Ċ,71243
7,69735
Ġhow,69328
Ġnew,67426
Ġmake,67301
Ġtime,67263
Ġone,66373
ĉ,66318
8,66218
ĠA,65823
Ġlanguage,65500
10,64506
Ġthere,64443
ĠYou,64405
```Ċ,64024
Ġpara,63819
Ġ|,63341
Ġwho,62293
Ġcode,61798
/,60739
Ġsome,60577
Ġno,60305
Ġtext,59615
ĠĠ,59559
ĠAI,59222
Ġup,58707
""":",58611
Ġinto,58136
Ġthem,58032
Ġshould,57653
Ġexample,57232
Ġdi,57016
Ġcould,56603
Ġso,56377
Ġbeen,56225
