Token,Frequency
",",699608
Ġthe,582727
.,518537
Ġ,415163
Ġa,313847
Ġand,311367
Ġto,296665
Ġof,245758
:,231126
_,218552
Ġin,214296
1,178445
Ġis,173857
Ċ,169511
ĠNAME,167881
Ġyou,154195
"Ġ""",119603
?,116389
Ġfor,116111
2,114327
Ġwith,106229
Ġthat,92966
ĠI,88963
Ġare,87123
.Ċ,86881
Ġon,85362
Ġ(,79839
3,75436
Ġit,67063
Ġas,66939
0,62719
),61149
Ġbe,60338
Ġde,59526
-,59460
Ġan,59451
's,59202
Ġor,58552
Ġanswer,58423
Ġyour,55199
Ġme,54539
Ġnot,52057
Ġcan,49675
4,47720
Ġfrom,47633
Ġhave,46366
Ġthis,45839
.ĊĊ,44833
5,42802
Ġabout,42347
Ġby,41371
"""",41274
ĉ,40497
ĠThe,40025
Ġdo,39708
Ġwill,38579
Ġwhat,36282
ĠĠĠ,35509
Ġ=,35018
Ġ',34524
Ġwas,33444
Ġ-,32956
:Ċ,32893
Ġonly,32585
Ġher,32157
Ġat,32055
Ġif,31148
't,30987
NAME,30959
Ġmy,30728
ĊĊ,30014
ĠĊ,28878
Ġwords,27655
Ġmore,27321
Ġsay,26740
6,26527
/,25766
Ġhas,25302
ĠYou,25145
ĠĠĠĠĠĠĠ,25121
Ġfollowing,25018
Ġtext,24773
Ġshould,24648
Ġall,24171
Ġbut,23703
Ġhow,23573
Ġone,23449
Ġlike,23245
Ġmust,23162
Ġno,22870
""":",22824
Ġque,22254
Ġbased,22202
Ġwhen,22181
s,22040
âĢĻ,21910
Ġsame,21816
Ġany,21730
Ġla,21024
10,20866
Ġe,20768
""",",20711
Ġsystem,20652
7,20473
Ġwhich,20411
Ġi,20178
8,20111
ĠA,19919
Ġhis,19172
Ġwe,19084
Ġtheir,19072
Ġthey,18614
Ġuse,18473
Ġcode,18438
Ġhe,18383
Ġinstructions,18333
Ġthan,18278
Ġassistant,18209
Ġ[,18184
I,17920
You,17651
9,17250
Ġmodel,17088
Ġshe,17063
Ġwould,16998
ĠWhat,16802
Ġ|,16668
)Ċ,16467
Ġmake,16406
Ġso,16405
Ġup,16211
Ġun,16204
202,16159
Ġwho,15948
!,15905
"',",15824
?Ċ,15822
Ġbelow,15749
Ġen,15508
Ġtime,15216
Ġother,15185
Ġcompletion,14958
The,14956
200,14868
Ġwant,14763
Ġinto,14704
],14682
;,14601
',14575
Ġo,14560
Ġthere,14549
Ġsome,14403
Ġgive,14074
Ġthem,13946
Write,13944
a,13940
Ġname,13911
A,13803
Ġsomething,13744
Ġquestion,13646
Ġpython,13624
Ġwrite,13595
n,13417
(,13317
Ġdata,13249
Ġeach,13229
Ġnew,13187
Ġinformation,13185
Ġy,13174
Ġtwo,12821
Ġalso,12766
Ġout,12614
Ġusing,12530
Ġ.,12527
Ġfirst,12493
Ġknow,12425
Ġuser,12292
00,12258
Ġthen,12254
50,12246
Ġ:,12101
Ġneed,12054
"Ġ,",11960
Ġstory,11945
Ġover,11725
Ġjust,11623
ĠIt,11257
Ġget,11167
Ġlist,11134
Ġnow,11041
Ġsentences,11024
ĠĠĠĠĠĠĠĠĠĠĠ,10996
're,10949
Ġpara,10896
",Ċ",10822
ĠIf,10717
Ġwere,10706
ĠAI,10651
Ġdocument,10650
"),",10607
Ġbeen,10443
Ġits,10299
Ġmost,10277
Ġdon,10251
Ġam,10154
:ĊĊ,10146
Ġprovide,10125
Ġwhere,10111
ĠC,10088
Ġnumber,10023
What,9944
Ġbetween,9921
ĠÐ²,9906
Ġlanguage,9894
Ġpeople,9838
ĠHow,9808
'm,9802
B,9768
20,9721
ĠB,9709
100,9706
12,9668
Ġ?,9641
ĠThis,9603
Ġ$,9593
ĠĠ,9562
Ġ{Ċ,9545
Ġhelp,9508
i,9507
Ġsummary,9496
Ġcomplete,9491
Ġchemical,9490
Ġresponse,9483
Ġdoes,9421
Ġway,9414
Ġthing,9407
Ġ<,9394
%,9368
