token,frequency
",",2673416
Ġthe,2050047
.,1938135
Ġand,1510073
Ġto,1299359
Ġa,1173756
Ġof,1038036
Ġ,682390
Ġis,663005
Ġin,625414
_,507908
Ġthat,488030
1,466919
.ĊĊ,422463
Ġyou,412923
Ċ,403590
:,395662
ĠNAME,390594
Ġfor,380677
ĠI,347037
2,329084
Ġwith,313165
Ġcan,309743
Ġas,304824
"Ġ""",292666
Ġor,282630
Ġit,267513
's,264225
.Ċ,263325
Ġde,262490
Ġon,253405
Ġbe,248068
Ġare,239360
ĠThe,213664
3,206681
Ġyour,192176
Ġ=,179337
Ġ(,172521
Ġhave,169660
ĠĠĠ,153454
Ġnot,152086
*,152026
4,149615
Ġan,146998
Ġby,138544
Ġher,137533
Ġ`,133330
"""",130696
-,130585
5,126807
Ġwas,126519
),119949
Ġe,115989
Ġthis,114407
0,112740
ĠĠĠĠĠĠĠ,109759
Ġtheir,108481
Ġfrom,107613
Ġla,106834
:ĊĊ,103735
Ġused,101986
Ġuse,98521
`,97694
ĠIt,96208
Ġwill,96194
Ġque,95557
Ġbut,95200
:Ċ,94617
Ġmy,94398
Ġhas,92832
Ġalso,91862
Ġother,91764
Ġmore,91129
Ġdo,89009
Ġ-,88963
Ġsuch,88684
ĠThis,87102
Ġwhich,86730
ĊĊ,86562
Ġif,85242
NAME,85233
Ġany,84693
Ġy,84230
Ġthey,83707
Ġhelp,81663
The,80640
Ġmay,77407
Ġdata,76438
Ġits,75848
Ġhis,75558
!,75519
Ġme,75443
Ġshe,75044
6,73022
Ġabout,72163
Ġ|,70607
't,70584
?,68697
Ġimportant,68322
Ġwould,67770
Ġ',67292
'm,67149
Ġat,66751
ĠĠ,65326
Ġo,63975
Ġinformation,62892
Ġen,62875
```Ċ,62696
Ġusing,62474
)Ċ,62243
Ġmodel,61839
Ġprovide,61748
Ġhe,60482
I,60297
Ġnew,59945
Ġlike,59630
Ġun,58975
Ġself,58037
Ġwe,57901
/,57074
Ġlanguage,56068
Ġall,55412
Ġpara,55129
8,54816
Ġmake,53494
7,53430
ĉ,53324
Ġtime,52913
Ġincluding,51111
ĠA,51049
Ġthere,51032
Ġdi,49966
Ġcould,49291
Ġexample,49288
