Token,Frequency
",",703117
Ġthe,582788
.,521549
Ġ,415193
Ġa,315168
Ġand,311499
Ġto,297147
Ġof,245907
:,236798
_,227126
Ġin,214878
1,178448
Ġis,174066
Ċ,171700
ĠNAME,167870
Ġyou,154231
"Ġ""",120459
?,117622
Ġfor,116412
2,114328
Ġwith,106221
Ġthat,92966
ĠI,88964
.Ċ,87391
Ġare,87148
Ġon,85534
Ġ(,79768
3,75436
Ġas,67836
Ġit,67174
-,62979
0,62720
),62635
Ġbe,60741
Ġde,60495
Ġan,60242
's,59196
Ġor,58866
Ġanswer,58427
Ġme,55273
Ġyour,55200
Ġnot,52344
Ġcan,49971
"""",49354
4,47720
Ġfrom,47634
Ġhave,46365
ĉ,45840
Ġthis,45839
.ĊĊ,44790
5,42804
Ġabout,42345
Ġby,41379
Ġdo,40047
ĠThe,39965
Ġwill,38628
NAME,37397
Ġwhat,36290
ĠĠĠ,35517
Ġ',35349
Ġ=,34980
Ġwas,33489
Ġ-,33032
:Ċ,33015
Ġat,32944
Ġonly,32612
Ġher,32241
Ġif,31158
't,30967
Ġmy,30846
ĊĊ,29845
ĠĊ,29058
/,29056
Ġwords,27655
Ġmore,27309
Ġsay,26759
6,26528
s,26527
Ġhas,25374
ĠYou,25194
ĠĠĠĠĠĠĠ,25120
Ġfollowing,25018
Ġtext,24862
Ġshould,24648
Ġall,24358
""":",23923
Ġbut,23766
Ġhow,23591
Ġone,23449
Ġlike,23233
Ġmust,23219
Ġno,22944
Ġque,22310
Ġbased,22202
Ġwhen,22175
âĢĻ,21904
Ġsame,21816
Ġany,21759
a,21468
""",",21398
Ġla,21218
Ġe,21198
10,20866
Ġsystem,20708
ĠA,20682
7,20473
Ġwhich,20412
',20395
Ġi,20346
8,20111
I,19727
Ġ[,19332
Ġhis,19202
Ġwe,19134
Ġtheir,19072
Ġhe,18654
Ġthey,18614
Ġcode,18561
Ġuse,18472
You,18358
Ġinstructions,18333
Ġthan,18278
Ġassistant,18205
Ġun,17477
9,17251
Ġmodel,17110
Ġshe,17066
Ġwould,17012
Ġ|,16806
ĠWhat,16794
Ġso,16630
)Ċ,16621
"',",16567
Ġmake,16406
Ġup,16255
!,16197
o,16196
202,16159
],16095
Ġwho,15984
Ġen,15954
?Ċ,15942
n,15764
Ġbelow,15746
(,15559
The,15403
Ġtime,15313
Ġother,15190
Ġo,15182
i,14997
Ġcompletion,14958
200,14868
Ġwant,14783
Ġinto,14746
;,14621
Ġthere,14526
Ġsome,14403
A,14231
Ġgive,14063
Ġy,14032
Write,14031
Ġthem,13946
Ġname,13911
Ġsomething,13744
Ġquestion,13676
Ġpython,13614
Ġwrite,13596
Ġnew,13441
Ġeach,13291
Ġdata,13239
Ġinformation,13185
Ġtwo,12819
Ġalso,12766
Ġ.,12742
Ġout,12740
[,12704
Ġusing,12530
Ġfirst,12493
Ġknow,12425
Ġ:,12339
Ġuser,12282
00,12258
50,12246
Ġthen,12246
Ġneed,12054
"Ġ,",12049
Ġstory,11980
Ġover,11979
Ġjust,11888
ĠC,11607
",Ċ",11555
B,11522
e,11504
on,11438
Ġlist,11281
Ġget,11278
Ġam,11254
C,11254
ĠIt,11249
Ġnow,11046
ĠB,11037
Ġsentences,11025
ĠĠĠĠĠĠĠĠĠĠĠ,10996
're,10944
es,10907
Ġpara,10868
ar,10852
ing,10783
"),",10754
Ġwere,10748
ĠIf,10717
ĠÐ²,10686
Ġdocument,10686
c,10617
ĠAI,10552
Ġmost,10484
Ġbeen,10444
\n,10321
Ġits,10299
Ġdon,10294
:ĊĊ,10184
Ġprovide,10125
Ġwhere,10112
What,10024
Ġnumber,10023
Ġbetween,9921
Ġlanguage,9893
Ġpeople,9832
%,9810
ĠHow,9802
'm,9789
Ġd,9770
as,9754
Ġ?,9727
20,9721
100,9706
12,9668
Ġl,9652
ĠÐ¸,9616
ĠThis,9604
Ġhelp,9587
ĠĠ,9575
Ġ$,9554
Ġ{Ċ,9545
Ġ<,9533
y,9509
Ġsummary,9496
Ġcomplete,9491
Ġchemical,9490
p,9484
Ġresponse,9483
t,9481
Ġel,9469
Ġdoes,9421
Ġway,9414
Ġthing,9407
D,9349
ĠĊĊ,9280
no,9279
Ġcompany,9275
Ġhad,9247
Ġsend,9245
Ġour,9210
Ġsentence,9173
b,9161
Ġgood,9088
Ġallowed,9086
>,9070
Ġhim,9014
ass,8976
user,8920
m,8906
Ġvery,8895
Ġplease,8853
Ġself,8824
x,8804
d,8793
your,8762
Ġused,8700
ed,8677
Ġperson,8676
Ġexamples,8649
Ġoutput,8620
Ġc,8597
".""",8512
;Ċ,8472
.d,8423
Ġthese,8420
Ġcould,8419
Ġrepeat,8395
in,8383
).,8379
Ġ#,8367
=,8344
ĠIn,8304
Ġsuch,8302
"""Ċ",8296
If,8291
Ġarticle,8240
Ġbeing,8229
Ġ+,8223
Ġle,8219
Ġcontent,8190
ĠÐ½Ð°,8152
Ġexample,8143
11,8125
os,8121
"=""",8116
er,8112
|,8106
ĠHe,8100
ĠShe,8092
Ġinput,8076
Ġfact,8034
ĠâĢľ,8006
it,7998
Ġformat,7988
Ġum,7987
Ġthink,7987
Ġafter,7976
201,7971
Ġse,7896
Ġdi,7893
]Ċ,7859
Ġwork,7845
u,7840
M,7731
istant,7717
15,7703
Ġstep,7688
"Ġ""[",7638
f,7636
Please,7581
Ġgiven,7568
Ġper,7499
Ġem,7491
Ġrepeating,7476
Ġcharacter,7472
Ġb,7468
Ġx,7451
\,7450
Ġtell,7393
Ġwell,7332
Ġmany,7329
"]""",7280
Ġbest,7272
Ġyear,7250
ĠPlease,7231
Ġwithout,7197
Ġwhile,7181
is,7166
Ġmay,7103
ĠCan,7099
Ġquestions,7036
000,7028
en,7027
Ġalways,7009
Ġgo,6907
Ġdes,6901
Ġsaid,6899
Ġn,6896
ĠS,6883
No,6877
Ġtype,6877
Ġp,6835
Ġlong,6828
Ġet,6811
Ġtake,6793
h,6759
*,6736
Ġ/,6708
Ġuna,6692
13,6692
Ġund,6678
Ġreturn,6676
Ġprompt,6667
Ġrole,6661
Ġyears,6652
Ġt,6593
Ġes,6552
Ġm,6539
Ġcreate,6527
ĠD,6482
""".",6481
Ġgenerate,6474
Ġconsistent,6470
Ġman,6444
Ġf,6435
Ġindustry,6427
Ġdie,6412
30,6404
Ġback,6394
Ġ{,6389
Ġproper,6387
T,6382
Ġda,6357
Ġ*,6357
",""",6347
Ġdifferent,6345
ually,6331
Ġtask,6327
ĠDo,6325
Ġword,6313
ĠT,6298
Ġvalue,6288
Ġsee,6286
ĠĠĠĠĠ,6272
Ġcon,6268
Ġfind,6254
".,",6236
""",Ċ",6232
ĠNo,6217
Ġdescription,6217
Ġs,6182
re,6170
Ġold,6165
Ġworld,6134
Ġright,6133
Ġbecause,6127
H,6116
Ġhuman,6114
Yes,6098
Ġbefore,6085
Ġthrough,6072
Ġgoing,6035
Ġanything,6035
Ġwhy,6008
Ġset,5997
S,5994
Ġthree,5986
':,5955
Ġmuch,5932
F,5919
ĠWrite,5911
#,5893
Ġshort,5893
Ġday,5835
Ġdel,5832
g,5801
Ġnext,5795
+,5792
Ġg,5755
>Ċ,5728
Ġoutputs,5712
Ġend,5706
Ġv,5705
P,5692
Ġgame,5690
what,5686
Ġfunction,5648
Ġtoxic,5646
ĠWe,5600
Ġcontext,5593
Give,5582
16,5565
Ġspecific,5559
Ġcom,5553
Ġexplain,5549
Ġstart,5540
