token,frequency
",",2677137
Ġthe,2050039
.,1942418
Ġand,1510320
Ġto,1299923
Ġa,1176703
Ġof,1039197
Ġ,682217
Ġis,663110
Ġin,627111
_,526776
Ġthat,488030
1,466919
.ĊĊ,422233
Ġyou,412939
Ċ,404499
:,398266
ĠNAME,390594
Ġfor,381425
ĠI,347255
2,329084
Ġwith,313146
Ġcan,310338
Ġas,305625
"Ġ""",294328
Ġor,283553
Ġit,267672
Ġde,265591
's,264226
.Ċ,263677
Ġon,253433
Ġbe,249873
Ġare,239505
ĠThe,213529
3,206705
Ġyour,192176
Ġ=,179334
Ġ(,172906
Ġhave,169658
Ġnot,154292
ĠĠĠ,153335
*,153078
4,149615
Ġan,148533
"""",145140
-,143677
Ġby,138470
Ġher,137833
Ġ`,137776
5,126807
Ġwas,126630
),121733
Ġe,116637
Ġthis,114407
0,112740
ĠĠĠĠĠĠĠ,109807
Ġtheir,108481
Ġfrom,107620
Ġla,107226
uu,106538
:ĊĊ,103779
Ġused,101986
`,98537
Ġuse,98520
NAME,97086
Ġwill,96369
ĠIt,96126
Ġque,95677
Ġbut,95293
:Ċ,94936
Ġmy,94525
Ġhas,93215
Ġother,92048
Ġalso,91862
Ġmore,91129
Ġdo,89356
Ġ-,89030
Ġsuch,88684
ĠThis,87102
Ġwhich,86730
ĊĊ,85859
Ġy,85590
Ġif,85242
Ġany,84714
Ġthey,83707
Ġhelp,81720
The,80793
Ġmay,77419
Ġme,76923
Ġdata,76708
!,76652
Ġits,75848
Ġhis,75562
Ġshe,74941
6,73022
Ġabout,72163
Ġ|,70615
't,70571
?,70209
Ġat,69194
Ġimportant,68322
Ġwould,67770
Ġ',67625
'm,67125
ĠĠ,65339
Ġo,64699
Ġen,64300
I,63659
Ġnew,63272
Ġinformation,62893
ĉ,62840
```Ċ,62697
Ġusing,62473
)Ċ,62282
Ġun,62258
Ġmodel,61828
Ġprovide,61748
Ġhe,60971
/,60745
Ġlike,59630
Ġself,58141
Ġwe,57839
Ġall,56122
Ġlanguage,56068
Ġpara,55096
',55035
8,54816
Ġmake,53494
7,53430
Ġtime,53244
ĠA,52807
ar,52396
Ġincluding,51111
Ġthere,51030
Ġam,50786
Ġdi,50434
a,49550
Ġcould,49293
Ġexample,49288
(,49179
ĠAI,48800
o,47757
Ġspecific,47528
Ġsome,47251
Ġwho,47234
Ġhow,47117
Ġbeen,46781
In,46704
ĠShe,46575
Ġcode,46245
10,46204
Ġinto,45629
Ġso,45594
Ġhad,45472
Ġthem,45403
Ġcompany,45373
i,45369
Ġchemical,44985
ĠÐ¸,44976
Ġfunction,44914
Ġone,44614
#,43744
Ġup,43649
Ġwhat,43595
Ġneed,43342
s,42958
Ġ{Ċ,41644
Ġeach,41533
Ġproducts,41493
Ġhim,41005
Ġno,40556
ĠYou,40466
Ġway,40331
Ġknow,39825
9,39548
Ġquestions,39085
Ġout,39054
Ġel,38991
Ġi,38962
ĠĠĠĠĠĠĠĠĠĠĠ,38433
Ġtext,38425
Ġdifferent,38378
Ġse,37879
Ġfeel,36876
```,36785
ĠIf,36597
""":",36373
Ġcreate,36317
Ġ+,36315
Ġwere,36059
ĠIn,35962
Ġrange,35671
Ġund,35600
Ġnumber,35183
Ġover,35019
Ġprocess,34818
Ġthen,34734
Ġwhen,34625
Ġthese,34202
Ġuna,34196
>,33756
",Ċ",33601
Ġshould,33470
Ġwell,33455
ĠHe,33237
Ġwant,33234
Ġ<,33048
Ġthrough,33039
;Ċ,33039
ĠHowever,32967
Ġum,32521
""",",32471
Ġfile,32348
ĠHere,32187
Ġjust,32020
ĠAs,31927
"',",31820
es,31744
ĠThey,31716
Ġbest,31669
're,31604
Ġes,31566
Ġwhile,31484
as,31310
Ġbased,30960
Ġpeople,30823
Ġsystem,30572
Ġhere,30431
Ġbetween,30370
Ġproduction,30253
ĠÃ©,30203
Ġx,29853
Ġl,29783
Ġper,29530
os,29243
Ġwork,29157
Ġworld,29140
Ġ[,28840
Ġhigh,28800
ĠÐ²,28786
],28665
Ġthan,28550
Ġour,28505
if,28432
>Ċ,28097
Ġmany,28061
Ġbeing,27802
Ġ#,27789
Ġdes,27752
|,27611
\n,27599
Ġbody,27592
Ġem,27478
Ġet,27193
A,27010
Ġtwo,26884
[,26843
"(""",26755
Ġset,26527
Ġmost,26483
Ġget,26333
As,26325
e,26320
Ġtake,26192
Ġvalue,26053
x,26046
20,25815
Ġdon,25764
"""Ċ",25705
Ġfirst,25670
Ġvarious,25638
Ġindustry,25635
)ĊĊ,25534
Ġfind,25321
ĠPython,25178
ing,25143
ĠC,25119
\_,25119
Ġname,25106
Ġle,24943
are,24885
Ġalways,24878
Ġdie,24708
Ġwhere,24620
It,24600
Ġpossible,24480
Ġuma,24355
p,24331
Ġkey,24255
Ġmethod,23970
"=""",23926
):Ċ,23795
Ġboth,23763
Ġinclude,23660
Ġown,23598
Ġ|Ċ,23519
This,23484
Ġknown,23383
"),",23301
Ġlist,22964
Ġreturn,22931
Ġdel,22897
Ġlet,22650
Ġsee,22605
Ġunderstand,22546
Ġable,22479
Ġuser,22456
Ġcon,22438
Ġensure,22381
Ġdevelopment,22313
Ġd,22218
Ġda,22171
Ġonly,22092
ĠĊ,21993
Ġquestion,21811
Ġtype,21807
Ġgame,21798
Ġinput,21683
ĠĠĠĠĠ,21667
Ġperson,21599
Ġcomo,21569
Ġpersonal,21568
Ġlearning,21515
en,21447
Ġgood,21436
Ġwide,21421
er,21316
ĠB,21272
",""",21124
()Ċ,21095
Ġability,21054
Ġproduct,21032
'll,20901
Ġassist,20870
Ġlife,20821
Ġpotential,20817
".""",20728
Ġil,20712
Ġanswer,20702
Ġ*,20643
c,20613
=,20565
Ġsupport,20553
y,20489
Ġvariety,20429
12,20420
import,20408
Ġsorry,20387
ĠFor,19867
Ġcom,19758
Ġ$,19758
Ġday,19700
Ġcontrol,19675
Ġhuman,19636
</,19609
Ġexperience,19599
ed,19548
To,19476
Ġcontent,19448
Ġbefore,19428
Ġapplications,19385
ĠÐ½Ð°,19256
Ġsure,19249
Ġles,19194
Ġaround,19169
Ġder,19158
202,19153
".""ĊĊ",19043
in,19003
Ġlos,18905
Ġche,18894
Ġfollowing,18842
ado,18799
Ġaccess,18789
Ġdown,18788
Hello,18631
Ġservices,18497
Ġgenerate,18319
C,18312
Ġmade,18278
Ġlove,18264
D,18102
100,18072
(self,18044
Ġneeds,18021
n,17988
Ġcontext,17970
Ġquality,17965
Ġback,17925
Ġlarge,17903
Ġzu,17810
Here,17746
Ġoften,17705
Ġcome,17686
Ġest,17616
ĠHow,17556
Ġc,17482
Ġseveral,17457
Ġresearch,17413
Ġmaking,17405
ficulty,17401
Ġeven,17374
()`,17369
ĠÃł,17347
Ġclass,17345
Ġothers,17280
000,17186
B,17131
Ġtraining,17075
Ġsomething,17027
Ġcommand,17021
Ġtry,17003
Ġimprove,16928
Ġperformance,16898
Ġprogram,16790
""",Ċ",16750
Ġvalues,16720
Ġpower,16719
Ġsame,16658
b,16616
Ġcurrent,16609
âĢ¢,16559
Ġoutput,16556
Ġfactors,16548
ir,16507
Ġlong,16493
ĠWe,16475
Ġ/,16386
Ġpor,16255
Ġnote,16246
u,16212
><,16172
Ġstill,16139
Ġnever,16106
Ġsize,16104
Ġstrong,16079
Ġstart,16061
m,16048
L,15925
t,15915
Ġdoes,15889
Ġcustomer,15826
python,15814
Ġplease,15814
Ġ//,15783
Ġwithout,15743
Ġdef,15728
Ġteam,15652
h,15648
Ġsense,15618
You,15604
Ġhand,15591
).,15582
Ġenergy,15578
ate,15576
Ġcomplex,15551
Ġtasks,15542
?Ċ,15538
Ġopen,15531
Ġtogether,15525
Ġn,15499
Ġstring,15484
Ġinvolves,15429
Ġsoftware,15408
Ġcannot,15382
Ġou,15363
Ġb,15334
ada,15320
Ġservice,15247
Ġsocial,15229
Ġtoday,15138
11,15130
Ġus,15128
Ġnon,15125
Ġfocus,15074
f,15061
Ġresponse,15040
Ġpour,15031
Ġman,14999
ĠÑģ,14998
Ġt,14984
Ġobject,14973
Ġanything,14923
Ġmodels,14880
Ġsteps,14876
Ġdesigned,14869
ĠThese,14859
Ġform,14824
Ġser,14677
Ġfew,14671
Ġimage,14660
Ġsystems,14657
M,14639
Ġnatural,14627
Ġmight,14623
(',14617
Ġmust,14605
d,14592
Ġhelpful,14570
Ġknew,14565
Ġwater,14519
Ġfound,14514
ĠT,14497
Ġelse,14485
Ġappropriate,14466
Ġcustomers,14449
Ġyears,14444
Ġf,14397
z,14369
25,14355
);Ċ,14338
Ġsu,14318
Ġavailable,14309
div,14288
Ġconsider,14282
Ġfeatures,14259
Ġimpact,14254
is,14217
ĠD,14187
Ġbetter,14175
Ġnext,14173
Ġright,14151
Ġ``,14144
Ġallows,14092
an,14083
Ġfree,14017
Ã©,13986
(),13912
ia,13902
ĠWhat,13902
Ġenvironment,13887
S,13826
Ġknowledge,13803
Ġhealth,13801
15,13794
ĠM,13792
Ġresult,13748
Ġeyes,13721
ic,13705
Ġp,13704
Ġ}Ċ,13704
Ġbecause,13694
Ġs,13667
Ġnow,13653
Ġunderstanding,13643
Ġask,13624
':,13620
Ġchange,13614
Ġuses,13579
Ġdas,13526
Ġproviding,13499
Ġgroup,13469
Ġprovides,13420
Ġunique,13407
ĠLet,13397
Ġphysical,13365
Ġagainst,13363
Ġcorrect,13343
201,13289
.d,13209
Ġprovided,13206
Ġsmall,13184
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,13160
Ġfeeling,13150
Overall,13138
Ġgo,13137
IST,13112
;,13102
Ġtechnology,13086
Ġproject,13082
Ġhope,13074
Ġos,13025
Ġend,13010
Ġstate,12999
Ġmachine,12996
ĠTo,12984
Ġhappy,12979
Ġidea,12846
Ġsaid,12842
ĠAdditionally,12836
ĠS,12835
Ġresponses,12829
Ġsafety,12828
Ġfield,12808
ANT,12807
Ġprint,12804
Ġusers,12798
Ġmaterials,12755
+,12741
print,12717
or,12680
Ġbusiness,12666
Ġresources,12663
Ġpart,12633
ĠMy,12614
ĠÃ¨,12596
ĠÐ´Ð»Ñı,12589
it,12576
Ġchemicals,12574
ando,12573
Ġ\,12556
Ġsay,12543
ĠUse,12539
Ġtypically,12535
Ġrole,12516
Ġstory,12511
ĠASS,12489
Ġafter,12480
Ġtrained,12465
Ġweb,12445
Ġtk,12434
