Token,Frequency
",",3259186
Ġthe,2565611
.,2372692
Ġand,1776106
Ġto,1550501
Ġa,1460994
Ġof,1252825
Ġ,1051307
Ġin,819537
Ġis,817652
_,660933
:,604267
1,586428
Ġthat,563746
Ġyou,550679
Ċ,545950
ĠNAME,502976
Ġfor,485229
.ĊĊ,454853
ĠI,423100
2,416814
Ġwith,405424
"Ġ""",398349
Ġas,359678
Ġcan,351030
.Ċ,337908
Ġor,332941
Ġon,328588
Ġit,322981
Ġare,321017
Ġde,316118
's,310490
Ġbe,301639
3,270150
ĠThe,249344
Ġ(,234579
Ġyour,233924
Ġhave,204939
Ġan,201941
Ġnot,198948
4,187835
Ġ=,187502
?,183993
-,177729
ĠĠĠ,177433
),174256
Ġby,173729
0,162615
"""",162614
5,159998
Ġwas,156478
Ġthis,153395
Ġfrom,151999
Ġher,151592
*,149045
Ġe,135764
Ġwill,133037
Ġ`,130312
Ġla,127051
Ġdo,124809
Ġtheir,124807
Ġme,124214
:Ċ,120499
Ġmy,118030
Ġhas,116184
Ġuse,116088
Ġmore,115548
Ġ-,115366
Ġbut,115061
Ġque,113703
Ġabout,112696
:ĊĊ,111575
ĊĊ,110538
Ġused,108612
Ġif,108520
Ġwhich,106370
NAME,106360
Ġother,104975
ĠIt,104843
Ġany,103985
Ġalso,102186
ĠĠĠĠĠĠĠ,98664
Ġthey,98515
't,97102
Ġat,96794
ĠThis,96211
Ġsuch,96139
6,95868
`,94043
The,93069
Ġhelp,89860
!,89370
Ġdata,88012
Ġhis,86319
Ġy,85627
Ġits,85566
Ġ',85522
Ġwould,81368
Ġlike,81189
Ġshe,81155
Ġmay,81061
Ġmodel,78384
I,77617
Ġall,77547
Ġanswer,77462
Ġwhat,76588
Ġo,76002
Ġen,75980
Ġinformation,75364
Ġhe,75326
Ġwe,74560
Ġun,73788
Ġusing,73578
'm,73323
ĉ,72156
Ġimportant,71491
)Ċ,71382
Ġprovide,71372
7,69918
Ġhow,69328
Ġnew,67430
Ġtime,67333
Ġmake,67300
8,66771
ĠA,66390
Ġone,66370
Ġlanguage,65498
/,64946
Ġthere,64545
10,64498
ĠYou,64402
```Ċ,64020
Ġpara,63796
Ġ|,63436
Ġwho,62291
Ġcode,61800
Ġsome,60577
Ġno,60154
ĠĠ,59590
Ġtext,59544
ĠAI,59410
""":",59155
Ġup,58682
Ġinto,58136
Ġthem,58033
Ġshould,57648
Ġexample,57230
Ġdi,56996
Ġcould,56601
Ġso,56322
Ġbeen,56225
Ġam,56017
Ġwhen,54703
Ġcompany,54636
Ġchemical,54475
Ġneed,54431
9,54421
s,54290
Ġincluding,54241
Ġeach,53335
Ġonly,53145
ĠÐ¸,52910
Ġhad,52556
