Token,Frequency
",",706164
Ġthe,582744
.,522013
Ġ,416934
Ġa,314382
Ġand,311360
Ġto,296766
Ġof,245769
:,236148
_,221362
Ġin,214299
1,178483
Ġis,173894
Ċ,173164
ĠNAME,167881
Ġyou,154271
"Ġ""",120015
?,117293
Ġfor,116180
2,114353
Ġwith,106229
Ġthat,93163
ĠI,89021
.Ċ,87595
Ġare,87122
Ġon,85393
Ġ(,79936
3,75500
Ġit,67116
Ġas,66966
),63956
0,62719
Ġbe,60422
-,60303
Ġde,59675
Ġan,59599
's,59202
Ġor,58629
Ġanswer,58423
Ġyour,55199
Ġme,54565
Ġnot,52047
Ġcan,49813
4,47822
Ġfrom,47633
Ġhave,46366
Ġthis,45839
ĉ,45309
.ĊĊ,44914
5,42802
"""",42729
Ġabout,42347
Ġby,41370
ĠThe,40002
Ġdo,39723
Ġwill,38579
Ġwhat,36811
ĠĠĠ,35596
Ġ',35260
Ġ=,35114
Ġwas,33462
Ġ-,33103
:Ċ,32879
Ġonly,32612
Ġat,32193
Ġher,32169
Ġif,31143
NAME,31044
ĊĊ,30991
't,30986
Ġmy,30824
ĠĊ,28979
/,28895
Ġwords,27655
Ġmore,27321
Ġsay,26730
6,26664
ĠĠĠĠĠĠĠ,25343
Ġhas,25287
s,25190
ĠYou,25145
Ġfollowing,25018
Ġtext,24766
Ġshould,24648
Ġall,24194
Ġbut,23702
Ġhow,23573
Ġone,23449
""":",23321
Ġlike,23245
Ġmust,23165
Ġno,22832
âĢĻ,22684
Ġque,22243
Ġbased,22202
Ġwhen,22181
Ġsame,21816
Ġany,21763
Ġla,21106
Ġe,20967
""",",20920
10,20866
Ġsystem,20652
7,20592
8,20437
Ġwhich,20409
ĠA,20359
Ġi,20280
Ġhis,19172
Ġwe,19089
Ġtheir,19072
I,18764
Ġthey,18613
You,18568
Ġhe,18563
Ġuse,18473
Ġcode,18439
Ġ[,18355
Ġinstructions,18333
Ġthan,18278
Ġassistant,18205
9,17616
Ġmodel,17088
Ġshe,17063
Ġwould,16998
ĠWhat,16900
Ġ|,16697
Ġun,16630
)Ċ,16577
Ġso,16413
Ġmake,16406
"',",16389
Ġup,16201
202,16159
!,16037
Ġwho,15947
',15933
?Ċ,15835
a,15759
Ġbelow,15749
A,15600
Ġen,15521
The,15437
Ġtime,15250
Ġother,15185
n,15139
;,15086
],15073
Ġcompletion,14958
200,14868
Ġo,14781
Ġwant,14763
Ġinto,14704
Ġthere,14617
Ġsome,14403
(,14402
Ġgive,14062
Ġthem,13946
Write,13942
Ġname,13911
Ġsomething,13744
Ġquestion,13646
Ġpython,13624
Ġwrite,13595
Ġy,13526
Ġeach,13291
Ġdata,13249
Ġnew,13239
Ġinformation,13185
Ġtwo,12821
Ġalso,12766
Ġout,12664
Ġ.,12600
Ġusing,12529
Ġfirst,12520
Ġknow,12425
Ġ:,12367
Ġuser,12292
00,12258
Ġthen,12253
50,12246
Ġneed,12054
"Ġ,",12025
[,12000
Ġstory,11945
Ġjust,11751
Ġover,11744
i,11360
on,11346
ĠC,11280
ĠIt,11257
Ġget,11184
",Ċ",11153
Ġlist,11116
Ġnow,11105
Ġsentences,11024
ĠĠĠĠĠĠĠĠĠĠĠ,11023
B,10952
're,10949
Ġpara,10900
"),",10883
ĠAI,10803
ĠIf,10717
Ġwere,10703
Ġdocument,10650
C,10609
Ġbeen,10443
Ġam,10423
ĠB,10385
Ġits,10299
Ġmost,10277
Ġdon,10251
\n,10191
Ġwhere,10161
:ĊĊ,10144
Ġprovide,10125
What,10112
ĠÐ²,10076
Ġnumber,10023
Ġbetween,9921
Ġlanguage,9894
Ġpeople,9832
ĠHow,9808
'm,9801
20,9721
100,9706
Ġ?,9690
12,9668
Ġdoes,9607
ĠThis,9603
Ġ$,9599
%,9599
ĠĠ,9593
Ġ{Ċ,9545
Ġhelp,9508
Ġsummary,9496
e,9494
Ġcomplete,9491
Ġchemical,9490
Ġresponse,9483
Ġ<,9430
Ġway,9414
Ġthing,9407
