Token,Frequency
",",699673
Ġthe,582873
.,518388
Ġ,424269
Ġa,313903
Ġand,311367
Ġto,296714
Ġof,245872
:,231056
_,218665
Ġin,214364
1,178545
Ġis,173902
Ċ,169373
ĠNAME,167992
Ġyou,154195
"Ġ""",119603
?,116392
Ġfor,116144
2,114338
Ġwith,106253
Ġthat,92976
ĠI,88963
Ġare,87135
.Ċ,86887
Ġon,85380
Ġ(,79892
3,75444
Ġit,67067
Ġas,66957
0,62722
),61115
Ġbe,60344
Ġde,59526
Ġan,59461
's,59235
Ġor,58560
Ġanswer,58423
-,57684
Ġyour,55199
Ġme,54539
Ġnot,52066
Ġcan,49679
4,47731
Ġfrom,47640
Ġhave,46373
Ġthis,45842
.ĊĊ,44839
5,42821
Ġabout,42348
ĉ,42182
Ġby,41389
"""",41265
ĠThe,40043
Ġdo,39708
Ġwill,38579
Ġwhat,36284
ĠĠĠ,35980
Ġ=,35018
Ġ',34524
Ġwas,33451
Ġ-,32956
:Ċ,32917
Ġonly,32588
Ġher,32159
Ġat,32065
Ġif,31150
't,30990
NAME,30845
Ġmy,30728
ĊĊ,29929
ĠĊ,28895
Ġwords,27655
Ġmore,27330
Ġsay,26740
6,26539
/,25736
Ġhas,25306
ĠĠĠĠĠĠĠ,25152
ĠYou,25145
Ġfollowing,25020
Ġtext,24773
Ġshould,24648
Ġall,24174
Ġbut,23705
Ġhow,23574
Ġone,23451
Ġlike,23245
Ġmust,23163
Ġno,22862
""":",22824
Ġque,22254
Ġbased,22205
Ġwhen,22183
Ġsame,21816
Ġany,21730
Ġla,21024
10,20868
Ġe,20768
""",",20711
Ġsystem,20654
7,20481
Ġwhich,20422
Ġi,20179
8,20112
ĠA,19925
Ġhis,19172
Ġwe,19086
Ġtheir,19080
Ġthey,18619
Ġuse,18477
Ġcode,18438
Ġhe,18383
Ġinstructions,18333
Ġthan,18288
Ġassistant,18209
Ġ[,18199
I,17831
You,17626
9,17251
Ġmodel,17089
Ġshe,17050
Ġwould,17001
ĠWhat,16802
Ġ|,16668
)Ċ,16436
Ġmake,16406
Ġso,16405
Ġup,16214
Ġun,16202
202,16161
Ġwho,15953
!,15905
"',",15824
?Ċ,15822
Ġbelow,15754
Ġen,15508
Ġtime,15222
Ġother,15185
Ġcompletion,14959
200,14868
The,14831
Ġwant,14763
Ġinto,14707
],14657
;,14602
Ġo,14560
Ġthere,14552
Ġsome,14405
Ġgive,14074
Ġthem,13947
Write,13944
Ġname,13911
a,13800
A,13753
Ġsomething,13744
s,13710
Ġquestion,13647
Ġpython,13624
Ġwrite,13599
n,13396
(,13302
',13271
Ġdata,13256
Ġeach,13229
Ġinformation,13189
Ġnew,13183
Ġy,13174
Ġtwo,12823
Ġalso,12768
Ġout,12614
Ġusing,12533
Ġ.,12527
Ġfirst,12502
Ġknow,12425
Ġuser,12292
00,12258
Ġthen,12254
50,12250
Ġ:,12101
Ġneed,12057
"Ġ,",11960
Ġstory,11945
Ġover,11728
Ġjust,11624
ĠIt,11258
Ġget,11167
Ġlist,11134
ĠĠĠĠĠĠĠĠĠĠĠ,11133
Ġnow,11042
Ġsentences,11028
're,10951
Ġpara,10896
",Ċ",10822
Ġwere,10717
ĠIf,10717
ĠAI,10655
Ġdocument,10650
"),",10616
Ġbeen,10448
Ġits,10301
Ġmost,10283
Ġdon,10251
Ġam,10154
:ĊĊ,10146
Ġprovide,10125
Ġwhere,10112
ĠC,10088
Ġnumber,10026
What,9944
Ġbetween,9923
Ġlanguage,9897
ĠÐ²,9884
Ġpeople,9839
ĠHow,9808
'm,9802
B,9770
20,9722
ĠB,9706
100,9706
12,9672
Ġ?,9641
ĠThis,9607
Ġ$,9593
Ġ{Ċ,9545
Ġhelp,9508
Ġsummary,9496
Ġcomplete,9491
Ġchemical,9490
