token,frequency
",",2673930
Ġthe,2050045
.,1931044
Ġand,1509968
Ġto,1298911
Ġa,1172501
Ġof,1037888
Ġ,715543
Ġis,662614
Ġin,624963
_,506326
Ġthat,488030
1,466919
.ĊĊ,421798
Ġyou,412923
Ċ,401961
:,394721
ĠNAME,390596
Ġfor,380132
ĠI,346841
2,329084
Ġwith,313165
Ġcan,309388
Ġas,304778
"Ġ""",292426
Ġor,282486
Ġit,267456
's,264383
.Ċ,263288
Ġde,261489
Ġon,253200
Ġbe,247676
Ġare,239345
ĠThe,213489
3,206705
Ġyour,192176
Ġ=,179329
Ġ(,172539
Ġhave,169660
ĠĠĠ,151803
Ġnot,151754
4,149615
Ġan,146265
*,144788
Ġby,138181
Ġher,137371
Ġ`,128630
5,126807
Ġwas,126523
"""",125208
-,119175
),117888
Ġe,115372
Ġthis,114407
0,112740
ĠĠĠĠĠĠĠ,110209
Ġtheir,108481
Ġfrom,107580
Ġla,106634
:ĊĊ,103506
Ġused,101986
Ġuse,98527
Ġwill,96146
ĠIt,96114
Ġque,95569
Ġbut,95163
Ġmy,93996
:Ċ,93539
Ġhas,92786
`,92523
Ġalso,91862
Ġother,91753
Ġmore,91131
Ġ-,88980
Ġdo,88753
Ġsuch,88684
ĠThis,87059
Ġwhich,86730
ĊĊ,86085
NAME,85212
Ġif,85132
Ġany,84700
Ġy,83958
Ġthey,83707
Ġhelp,81669
The,80437
Ġmay,77418
Ġdata,76470
Ġits,75848
Ġhis,75503
Ġme,75338
Ġshe,74860
!,74654
6,73022
Ġabout,72163
't,70599
Ġ|,70334
?,68609
Ġimportant,68322
Ġwould,67770
Ġ',67200
'm,67160
Ġat,66619
Ġo,63460
Ġinformation,62893
```Ċ,62697
Ġen,62688
Ġusing,62474
)Ċ,61809
Ġprovide,61748
Ġmodel,61583
Ġhe,60268
I,59899
Ġnew,59864
Ġlike,59636
/,58397
Ġself,57876
Ġwe,57709
Ġun,57563
ĉ,56492
Ġlanguage,56073
Ġall,55409
Ġpara,55121
8,54816
ĠĠ,54422
Ġmake,53494
7,53430
Ġtime,52913
Ġincluding,51111
Ġthere,51036
ĠA,49601
Ġdi,49374
Ġcould,49293
Ġexample,49288
ĠAI,48960
Ġsome,47251
Ġwho,47227
Ġam,47194
Ġhow,46978
Ġbeen,46781
ĠShe,46622
10,46204
Ġspecific,46022
Ġcode,45701
In,45583
Ġhad,45476
Ġinto,45408
Ġthem,45403
Ġcompany,45374
Ġchemical,44985
Ġfunction,44926
Ġso,44896
Ġone,44614
ĠÐ¸,43642
Ġwhat,43595
Ġup,43504
Ġneed,43342
#,42724
Ġ{Ċ,41644
Ġeach,41532
Ġproducts,41493
Ġhim,41000
ĠYou,40365
Ġway,40331
Ġno,40220
(,39953
Ġknow,39825
9,39548
Ġquestions,39085
Ġi,38550
ĠĠĠĠĠĠĠĠĠĠĠ,38461
Ġel,38291
Ġout,38289
Ġdifferent,38260
Ġtext,37063
Ġfeel,36876
Ġse,36702
ĠIf,36597
```,36263
Ġcreate,36233
""":",36145
Ġ+,35949
Ġwere,35944
Ġrange,35678
Ġnumber,35183
Ġthen,34734
Ġund,34645
Ġwhen,34628
Ġuna,34222
Ġthese,34202
Ġprocess,33721
Ġshould,33470
Ġwell,33385
Ġover,33250
ĠIn,33213
Ġwant,33204
;Ċ,33053
Ġthrough,33040
Ġ<,33028
ĠHowever,32967
ĠHe,32962
",Ċ",32712
Ġfile,32226
ĠHere,32211
ĠThey,31716
ĠAs,31664
're,31618
Ġbest,31509
Ġwhile,31484
"',",31275
Ġjust,31100
""",",31031
Ġbased,30960
Ġpeople,30826
Ġum,30781
Ġhere,30513
Ġbetween,30370
Ġproduction,30253
Ġsystem,30243
Ġworld,29140
Ġwork,29027
Ġhigh,28795
Ġthan,28550
ĠÃ©,28536
Ġour,28504
>Ċ,28150
Ġx,28131
Ġmany,28061
Ġbeing,27802
Ġ[,27740
Ġ#,27727
\n,27469
',27463
Ġbody,27160
Ġes,27075
Ġtwo,26886
ĠÐ²,26839
s,26714
Ġet,26647
Ġper,26492
"(""",26308
|,26223
Ġget,26111
Ġtake,26107
Ġvalue,26053
Ġmost,25899
As,25896
20,25815
A,25789
Ġset,25692
Ġfirst,25670
Ġvarious,25641
Ġindustry,25635
Ġdon,25546
Ġfind,25253
ĠPython,25189
Ġem,25174
Ġname,25106
>,25001
a,24964
Ġalways,24878
ĠĠĠĠĠ,24742
Ġdie,24687
Ġwhere,24620
Ġpossible,24480
Ġuma,24357
It,24263
Ġkey,24172
Ġdes,24027
Ġl,23969
x,23967
)ĊĊ,23941
Ġmethod,23924
Ġboth,23763
):Ċ,23716
"=""",23673
Ġinclude,23660
Ġown,23598
Ġ|Ċ,23519
"""Ċ",23508
Ġknown,23383
This,23258
],22967
"),",22952
Ġreturn,22930
Ġsee,22605
Ġlist,22576
Ġunderstand,22546
Ġle,22542
i,22481
Ġable,22479
Ġuser,22474
Ġensure,22381
Ġdevelopment,22313
Ġdel,22255
Ġonly,22091
Ġlet,21925
ĠĊ,21888
Ġda,21881
Ġtype,21811
ĠC,21644
Ġgame,21628
Ġinput,21581
Ġcomo,21572
Ġlearning,21515
Ġquestion,21499
Ġwide,21426
Ġgood,21392
",""",21090
Ġability,21054
Ġproduct,20927
'll,20901
()Ċ,20874
Ġlife,20819
Ġpotential,20817
Ġanswer,20696
Ġ*,20659
Ġvariety,20429
12,20420
Ġsorry,20387
".""",20360
Ġil,20322
Ġsupport,20160
[,20133
Ġassist,20077
import,19870
Ġcon,19812
Ġ$,19712
Ġpersonal,19673
Ġday,19622
Ġexperience,19599
ĠFor,19542
Ġbefore,19436
Ġapplications,19385
Ġcontent,19292
Ġsure,19250
Ġaround,19169
202,19153
=,19117
Ġhuman,19093
".""ĊĊ",19065
To,19004
Ġles,18982
Ġlos,18904
Ġfollowing,18842
Ġperson,18808
Ġdown,18777
Ġcontrol,18694
Ġder,18659
</,18619
\_,18591
Ġservices,18497
Ġaccess,18339
Ġlove,18264
Ġmade,18201
Ġche,18154
p,18108
100,18072
(self,18044
Ġneeds,18021
Ġquality,17965
Hello,17946
Ġlarge,17903
Ġgenerate,17760
Ġoften,17705
Here,17617
Ġzu,17614
ĠHow,17575
Ġcontext,17501
Ġseveral,17457
Ġresearch,17413
Ġmaking,17406
ĠB,17391
Ġeven,17366
ĠÃł,17347
Ġothers,17280
000,17186
Ġtraining,17075
Ġd,17048
Ġsomething,17027
()`,16966
Ġback,16945
Ġimprove,16928
Ġtry,16927
Ġperformance,16898
Ġcome,16783
Ġclass,16727
Ġvalues,16720
Ġcommand,16679
Ġsame,16658
Ġpower,16578
Ġcurrent,16573
Ġfactors,16548
âĢ¢,16524
Ġoutput,16519
Ġ/,16427
ĠWe,16362
Ġlong,16270
Ġnote,16266
><,16202
Ġstill,16131
Ġpor,16121
Ġsize,16107
Ġnever,16100
Ġstrong,15980
Ġcom,15927
""",Ċ",15891
Ġdoes,15889
Ġcustomer,15826
python,15825
Ġplease,15814
Ġ//,15782
Ġstart,15763
Ġwithout,15743
Ġteam,15629
Ġsense,15594
Ġenergy,15578
Ġtasks,15542
Ġtogether,15525
You,15459
ĠÐ½Ð°,15452
Ġinvolves,15429
Ġsoftware,15408
Ġcannot,15382
Ġdef,15348
D,15289
Ġstring,15274
Ġservice,15247
?Ċ,15243
Ġou,15213
Ġhand,15193
Ġopen,15192
Ġtoday,15138
11,15130
Ġfocus,15074
Ġresponse,15040
Ġanything,14923
Ġsteps,14910
Ġmodels,14880
Ġdesigned,14869
ĠThese,14859
Ġnon,14820
Ġsocial,14714
Ġimage,14660
Ġsystems,14657
Ġfew,14643
Ġmight,14623
Ġpour,14591
Ġhelpful,14573
C,14571
Ġknew,14565
Ġfound,14514
Ġelse,14485
Ġappropriate,14466
Ġcomplex,14452
Ġcustomers,14449
Ġyears,14444
B,14436
Ġnatural,14398
Ġmust,14385
);Ċ,14372
25,14355
Ġwater,14331
Ġform,14311
Ġavailable,14309
Ġfeatures,14259
Ġnext,14173
Ġimpact,14172
div,14124
Ġright,14095
Ġobject,14092
Ġallows,14092
n,14078
Ġbetter,14076
Ġser,14036
Ġfree,13977
ĠWhat,13901
Ġenvironment,13887
Ġknowledge,13803
Ġhealth,13801
15,13794
Ġprogram,13770
(',13769
Ġ}Ċ,13704
Ġeyes,13697
Ġbecause,13694
Ġunderstanding,13643
Ġman,13636
':,13622
Ġask,13616
Ġnow,13581
Ġuses,13579
Ġresult,13533
Ġproviding,13499
Ġdas,13490
Ġ``,13484
Ġgroup,13445
).,13437
Ġprovides,13420
y,13419
Ġunique,13407
b,13402
ĠLet,13377
Ġagainst,13363
Ġphysical,13344
e,13322
201,13289
uuuuuuuuuuuuuuuu,13210
Ġprovided,13206
Ġsmall,13184
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,13162
Ġfeeling,13150
Ġos,13120
Overall,13088
Ġtechnology,13086
Ġhope,13082
Ġchange,13055
Ġproject,13035
Ġmachine,12996
;,12980
Ġhappy,12979
Ġstate,12978
Ġsaid,12842
Ġidea,12842
ĠAdditionally,12836
Ġresponses,12829
Ġsafety,12828
Ġfield,12820
Ġprint,12819
Ġusers,12798
Ġmaterials,12755
ĠTo,12719
Ġresources,12663
print,12638
Ġbusiness,12607
ĠÃ¨,12596
ĠÐ´Ð»Ñı,12589
Ġchemicals,12574
ĠUse,12539
Ġtypically,12535
Ġsay,12517
Ġtrained,12465
ĠASSISTANT,12431
Ġmeans,12421
Ġkeep,12409
Ġcouldn,12409
en,12397
Ġstory,12375
've,12367
Ġlooking,12354
d,12334
Ġgo,12326
Ġend,12313
