token,frequency
",",3368812
Ġthe,2632894
.,2454571
Ġand,1821472
Ġto,1596111
Ġa,1487616
Ġof,1283881
Ġ,1139026
Ġin,839776
Ġis,836878
_,724806
1,645464
:,624904
Ġthat,581006
Ċ,572055
Ġyou,567098
ĠNAME,558572
Ġfor,496888
.ĊĊ,467230
2,443422
ĠI,435843
Ġwith,419418
"Ġ""",412103
Ġas,371655
Ġcan,359447
.Ċ,349966
Ġor,341145
Ġon,338801
Ġit,334588
Ġare,326475
's,323618
Ġde,322093
Ġbe,308335
3,282109
ĠThe,253726
Ġ(,252196
Ġyour,247376
Ġhave,216033
Ġ=,214289
Ġan,206407
Ġnot,204200
4,197346
ĠĠĠ,187769
?,184405
-,182845
Ġby,179938
),179839
0,175462
"""",171590
Ġher,169688
5,169628
Ġthis,160249
Ġwas,159941
*,158073
Ġfrom,155242
Ġe,136559
Ġ`,136006
ĠĠĠĠĠĠĠ,135308
Ġwill,134757
Ġme,129966
Ġdo,128733
Ġla,127836
Ġtheir,127561
:Ċ,127478
Ġmy,125049
Ġ-,121888
Ġbut,118889
Ġmore,118446
Ġhas,118117
Ġque,117770
Ġuse,116982
Ġif,116400
NAME,115973
ĊĊ,115883
Ġabout,114511
:ĊĊ,113877
Ġused,110687
ĠIt,107482
Ġwhich,107152
Ġother,106949
Ġany,106387
Ġalso,104630
Ġthey,102326
Ġ',101720
't,101589
`,100347
6,99561
Ġat,98823
Ġy,97336
Ġsuch,96988
ĠThis,96710
The,95345
Ġhis,94723
Ġshe,92106
!,91204
Ġhelp,91159
ĉ,91147
Ġdata,89660
Ġ|,87284
Ġits,86149
Ġwould,84771
Ġmay,84509
Ġlike,82864
Ġwhat,79879
/,79601
Ġall,79499
Ġanswer,79109
Ġmodel,78959
Ġhe,78821
)Ċ,78743
Ġo,78487
Ġen,78321
I,77477
Ġwe,76977
'm,76962
Ġinformation,76069
Ġusing,75007
Ġun,74998
8,74928
7,73911
Ġnew,73108
Ġimportant,72343
Ġprovide,71873
ĠA,70734
Ġhow,70611
Ġmake,69900
Ġtime,68135
Ġone,68065
10,67072
Ġself,66772
Ġpara,66021
Ġlanguage,65964
Ġthere,65541
ĠYou,65522
```Ċ,64284
Ġcode,64208
Ġtext,64174
Ġno,63221
Ġwho,63158
