token,frequency
",",3377038
Ġthe,2632938
.,2435561
Ġand,1821753
Ġto,1596957
Ġa,1494790
Ġof,1284478
Ġ,1131151
Ġin,846216
Ġis,836914
_,709793
1,645464
:,631836
Ġthat,581006
Ċ,572674
Ġyou,567116
ĠNAME,558569
Ġfor,499228
.ĊĊ,467388
2,443422
ĠI,436932
Ġwith,419439
"Ġ""",412194
Ġas,373368
Ġcan,360076
.Ċ,350730
Ġor,341871
Ġon,339116
Ġit,334965
Ġare,326661
Ġde,326044
's,323618
Ġbe,310561
3,282149
ĠThe,253477
Ġ(,252660
Ġyour,247379
-,218673
Ġhave,216030
Ġ=,214143
Ġan,208722
Ġnot,206494
4,197346
ĠĠĠ,187656
?,185975
),183829
"""",181282
Ġby,179962
0,175462
Ġher,170557
5,169628
Ġthis,160249
Ġwas,159901
*,158148
Ġfrom,155250
Ġe,138380
ĠĠĠĠĠĠĠ,135282
Ġ`,135253
Ġwill,135201
Ġme,131161
Ġdo,129222
NAME,128732
Ġla,128214
:Ċ,127653
Ġtheir,127559
Ġmy,125538
Ġ-,121924
Ġbut,119069
Ġmore,118446
Ġhas,118120
Ġque,117992
Ġuse,116900
Ġif,116178
ĊĊ,115837
Ġabout,114511
:ĊĊ,113818
Ġused,110687
uu,107615
ĠIt,107412
Ġother,107242
Ġwhich,107153
Ġany,106412
Ġalso,104630
Ġthey,102326
Ġat,102036
't,101589
Ġ',101127
`,100286
6,99561
Ġy,97182
Ġsuch,96956
ĠThis,96710
The,95932
Ġhis,94669
ĉ,92988
Ġshe,92028
Ġhelp,91585
!,91150
Ġdata,89953
Ġ|,86976
Ġits,86137
Ġwould,84785
Ġmay,84648
/,83704
Ġlike,82864
Ġen,82515
I,82511
Ġun,81091
Ġall,80887
Ġo,80364
Ġwhat,79884
Ġmodel,79831
Ġanswer,79128
Ġhe,79042
)Ċ,78324
'm,76962
Ġwe,76911
Ġinformation,76083
Ġnew,76003
a,75777
Ġusing,75007
8,74928
7,73911
ĠA,73455
``,73093
Ġimportant,72792
Ġprovide,71873
',71862
ar,71359
Ġhow,70708
Ġmake,69881
i,68496
Ġtime,68216
Ġone,68061
10,67072
Ġself,66759
s,66109
Ġpara,65985
Ġlanguage,65964
ĠYou,65660
Ġthere,65588
`Ċ,65587
Ġcode,64440
Ġno,63754
Ġtext,63591
Ġso,63290
Ġwho,63218
Ġam,62269
ĠĠ,61686
Ġsome,61653
o,61149
Ġup,60271
Ġinto,60113
Ġthem,59348
""":",59331
ĠAI,59322
Ġdi,58999
Ġi,58607
Ġshould,58118
Ġcould,57712
Ġexample,57434
Ġbeen,57225
Ġwhen,56802
9,56799
Ġneed,55393
Ġincluding,55267
Ġeach,54824
Ġonly,54707
Ġhad,54707
Ġcompany,54647
ĠShe,54623
Ġchemical,54475
ĠÐ¸,53837
Ġbased,53165
Ġspecific,53083
Ġout,52477
Ġknow,52247
""",",51430
In,51414
Ġ{Ċ,51189
Ġsystem,50985
ĠĊ,50698
Ġfunction,50575
Ġhim,50019
Ġway,49710
ĠĠĠĠĠĠĠĠĠĠĠ,49592
as,49476
Ġel,48681
#,48616
Ġwant,48015
ing,47761
Ġover,47338
ĠIf,47304
os,47084
Ġthen,46981
Ġthan,46803
Ġwere,46658
"',",46515
Ġse,46437
Ġquestions,46119
Ġ[,45964
ĠIn,45877
A,45659
Ġnumber,45210
Ġdifferent,44875
",Ċ",44622
Ġproducts,44592
Ġ+,44346
es,44195
Ġfollowing,43862
Ġjust,43766
Ġcreate,42749
Ġthese,42624
're,42569
Ġl,42473
Ġes,42391
Ġund,42320
Ġ<,42295
],41601
ĠHe,41347
;Ċ,41132
ĠÐ²,41061
Ġuna,40894
Ġfeel,40864
Ġwell,40769
Ġpeople,40656
(,40543
Ġum,40341
Ġbetween,40293
Ġtwo,39705
e,39644
Ġprocess,39474
Ġsay,39211
Ġbest,39200
Ġthrough,39115
Ġname,39029
ĠC,38967
Ġwords,38682
Ġwhile,38667
Ġrange,38551
Ġsame,38466
```,38364
\n,38178
Ġfirst,38153
Ġmust,37822
Ġour,37714
Ġper,37667
Ġdes,37502
Ġwork,37389
Ġfile,37293
ĠAs,37191
ĠÃ©,37160
Ġget,36910
ĠThey,36878
en,36432
Ġmost,36228
Ġdon,36224
Ġx,36053
Ġbeing,36032
Ġ#,35997
[,35841
Ġhere,35689
20,35537
Ġquestion,35529
ĠHere,35483
Ġmany,35390
202,35314
Ġworld,35275
ĠHowever,35080
|,34764
Ġwhere,34730
x,34654
Ġuser,34503
Ġle,34397
Ġet,34349
Ġlist,34096
>,33978
You,33878
>Ċ,33704
