Token,Frequency
",",701084
Ġthe,582867
.,514410
Ġ,421520
Ġa,315772
Ġand,311495
Ġto,296970
Ġof,245994
:,234981
Ġin,215777
_,212598
1,178545
Ġis,173950
Ċ,170673
ĠNAME,167975
Ġyou,154193
"Ġ""",119622
?,117037
Ġfor,116586
2,114338
Ġwith,106252
Ġthat,92976
ĠI,89421
.Ċ,87319
Ġare,87158
Ġon,85614
Ġ(,79855
3,75444
Ġas,67300
Ġit,67217
-,66427
),62906
0,62722
Ġbe,60678
Ġde,60536
Ġan,60289
's,59235
Ġor,58713
Ġanswer,58426
Ġyour,55203
Ġme,54848
Ġnot,52335
Ġcan,49861
4,47731
Ġfrom,47640
Ġhave,46372
Ġthis,45842
.ĊĊ,44836
"""",44590
5,42821
Ġabout,42348
Ġby,41417
ĠThe,39978
Ġdo,39925
ĉ,38728
Ġwill,38697
Ġwhat,36289
ĠĠĠ,35956
NAME,35612
Ġ=,34917
Ġ',34416
Ġwas,33431
:Ċ,32956
Ġat,32954
Ġ-,32946
Ġonly,32615
Ġher,32397
Ġif,31119
't,30990
Ġmy,30907
ĊĊ,29438
ĠĊ,28854
Ġwords,27655
/,27347
Ġmore,27317
Ġsay,26742
6,26539
Ġhas,25303
ĠYou,25190
ĠĠĠĠĠĠĠ,25132
Ġfollowing,25020
Ġtext,24924
Ġshould,24648
Ġall,24447
Ġbut,23769
Ġhow,23591
Ġone,23448
Ġlike,23233
Ġmust,23220
""":",23035
Ġno,23006
Ġque,22318
Ġbased,22205
Ġwhen,22177
Ġsame,21808
Ġany,21719
a,21172
Ġe,21127
Ġla,21123
ĠA,20940
10,20868
""",",20725
Ġsystem,20684
7,20481
Ġwhich,20423
Ġi,20134
8,20112
I,19466
Ġhis,19169
Ġwe,19129
Ġtheir,19079
Ġthey,18619
Ġcode,18499
Ġuse,18437
Ġhe,18412
Ġinstructions,18333
You,18316
Ġthan,18268
',18257
Ġ[,18242
Ġassistant,18205
Ġun,17990
Ġmodel,17289
9,17251
Ġshe,17060
Ġwould,17015
Ġso,16863
ĠWhat,16791
s,16661
Ġ|,16656
)Ċ,16515
Ġmake,16401
Ġup,16326
Ġen,16187
202,16161
Ġwho,15984
?Ċ,15939
!,15804
Ġbelow,15754
"',",15664
n,15385
The,15280
Ġtime,15253
Ġother,15191
i,15145
Ġo,15134
A,15081
],15001
Ġcompletion,14959
200,14868
Ġwant,14782
Ġinto,14707
Ġthere,14551
Ġsome,14403
;,14154
Ġgive,14061
Write,13957
Ġthem,13945
Ġname,13918
Ġsomething,13744
Ġquestion,13686
Ġpython,13616
Ġwrite,13599
ing,13449
Ġnew,13358
o,13355
Ġeach,13291
Ġdata,13243
Ġy,13225
Ġinformation,13190
Ġout,12890
Ġtwo,12822
Ġalso,12768
G,12743
Ġ.,12657
Ġusing,12533
Ġfirst,12488
Ġknow,12425
00,12258
50,12250
Ġthen,12248
Ġuser,12226
ĠC,12160
Ġover,12141
Ġ:,12060
Ġneed,12052
Ġstory,11946
"Ġ,",11936
Ġjust,11878
e,11667
ar,11519
ĠIt,11255
Ġlist,11241
[,11227
",Ċ",11220
Ġget,11143
ĠĠĠĠĠĠĠĠĠĠĠ,11132
Ġam,11066
Ġnow,11045
on,11037
Ġsentences,11028
're,10951
es,10942
Ġpara,10889
as,10845
ĠÐ²,10800
C,10780
B,10722
ĠIf,10716
Ġwere,10715
Ġdocument,10686
"),",10603
PT,10599
ĠAI,10546
\n,10517
ĠB,10453
Ġbeen,10446
Ġdon,10358
Ġmost,10350
Ġits,10300
(,10213
:ĊĊ,10139
Ġprovide,10125
Ġwhere,10110
What,10044
Ġnumber,10026
Ġbetween,9923
Ġlanguage,9896
Ġpeople,9833
ĠHow,9806
'm,9802
20,9722
100,9706
Ġ?,9685
12,9672
Ġhelp,9627
ĠThis,9608
Ġel,9594
os,9564
Ġ{Ċ,9545
Ġ$,9512
Ġsummary,9496
Ġcomplete,9491
Ġchemical,9490
Ġresponse,9478
ĠÐ¸,9464
