token,frequency
",",3382339
Ġthe,2632922
.,2454335
Ġand,1821286
Ġto,1595703
Ġa,1487205
Ġof,1283781
Ġ,1144199
Ġin,839153
Ġis,836516
_,729331
1,645516
:,631579
Ġthat,581210
Ċ,575882
Ġyou,567198
ĠNAME,558588
Ġfor,496345
.ĊĊ,466720
2,443477
ĠI,435835
Ġwith,419418
"Ġ""",412587
Ġas,371663
Ġcan,359261
.Ċ,351000
Ġor,341144
Ġon,338599
Ġit,334602
Ġare,326480
's,323618
Ġde,321011
Ġbe,308004
3,282284
ĠThe,253414
Ġ(,252593
Ġyour,247375
Ġhave,216033
Ġ=,214427
Ġan,205713
Ġnot,203736
4,197468
ĠĠĠ,187872
?,186168
),182594
-,181583
Ġby,179568
0,175462
5,169628
Ġher,169503
"""",166056
Ġthis,160249
Ġwas,159993
Ġfrom,155220
*,151641
Ġe,136453
ĠĠĠĠĠĠĠ,135586
Ġwill,134725
Ġ`,131046
Ġme,130037
Ġdo,128306
Ġla,127881
Ġtheir,127561
:Ċ,126402
Ġmy,124765
Ġ-,122197
Ġbut,118834
Ġmore,118461
Ġhas,118017
Ġque,117776
Ġuse,117004
ĊĊ,116951
Ġif,116244
NAME,116216
Ġabout,114511
:ĊĊ,113649
Ġused,110687
ĠIt,107371
Ġwhich,107152
Ġother,106938
Ġany,106490
ĉ,106281
Ġalso,104630
Ġ',102494
Ġthey,102326
't,101589
6,99789
Ġat,98750
Ġy,97555
Ġsuch,96955
ĠThis,96666
The,95927
`,94758
Ġhis,94675
Ġshe,91944
Ġhelp,91177
!,90653
Ġdata,89726
/,88333
Ġ|,86853
Ġits,86149
Ġwould,84771
Ġmay,84501
Ġlike,82881
Ġwhat,80482
Ġall,79625
Ġanswer,79119
I,79033
Ġhe,78889
Ġmodel,78672
)Ċ,78435
Ġen,78232
Ġo,78130
'm,76962
Ġwe,76778
Ġinformation,76082
8,75789
Ġun,75274
Ġusing,75007
7,74094
Ġnew,73089
Ġimportant,72343
Ġprovide,71873
Ġhow,70552
ĠA,70107
Ġmake,69900
Ġtime,68211
Ġone,68065
10,67072
Ġself,66633
Ġpara,65992
Ġlanguage,65970
Ġthere,65691
ĠYou,65510
```Ċ,64303
Ġcode,64141
Ġwho,63180
Ġno,62952
ĠĠ,61871
Ġtext,61765
Ġsome,61656
Ġso,61261
Ġinto,60115
ĠAI,59798
Ġup,59693
""":",59525
Ġthem,59350
Ġi,58862
Ġshould,58118
Ġcould,57712
Ġam,57575
9,57448
Ġexample,57432
Ġbeen,57229
Ġdi,56996
Ġwhen,56811
Ġneed,55399
Ġincluding,55267
Ġeach,54824
Ġhad,54733
Ġonly,54707
ĠShe,54693
Ġcompany,54652
Ġchemical,54475
Ġbased,53165
ĠÐ¸,52910
(,52297
Ġknow,52250
""",",51958
Ġspecific,51412
Ġ{Ċ,51189
Ġout,50927
ĠĊ,50897
Ġsystem,50897
Ġfunction,50582
In,50260
Ġhim,50010
Ġway,49745
ĠĠĠĠĠĠĠĠĠĠĠ,49696
#,48929
Ġwant,47967
"',",47797
Ġel,47600
ĠIf,47314
Ġthen,46987
Ġthan,46838
Ġwere,46661
Ġ[,46144
Ġquestions,46121
Ġnumber,45209
Ġover,44902
Ġproducts,44592
Ġdifferent,44588
Ġse,44545
Ġ+,44007
",Ċ",43947
Ġfollowing,43862
s,43831
Ġjust,42898
Ġcreate,42666
Ġthese,42624
're,42569
Ġ<,42476
A,42097
',41735
;Ċ,41470
ĠHe,41056
ĠIn,40972
Ġund,40969
Ġuna,40932
Ġfeel,40867
Ġwell,40714
Ġpeople,40656
a,40590
Ġbetween,40293
Ġtwo,39709
Ġsay,39179
Ġthrough,39129
Ġname,39017
Ġbest,38793
Ġwords,38682
Ġwhile,38667
Ġrange,38566
Ġum,38546
Ġsame,38474
Ġfirst,38205
],38119
```,37895
\n,37770
Ġour,37713
Ġmust,37576
Ġprocess,37559
Ġget,37301
Ġfile,37180
ĠÐ²,37023
ĠThey,36878
Ġwork,36827
ĠAs,36550
Ġ#,36243
Ġmost,36186
Ġbeing,36032
Ġhere,35891
Ġdon,35798
20,35537
Ġx,35531
ĠHere,35515
Ġmany,35390
202,35314
Ġworld,35303
Ġquestion,35146
ĠHowever,35080
Ġwhere,34798
Ġuser,34766
You,34103
>Ċ,33919
"),",33904
Ġlist,33652
ĠÃ©,33587
Ġhigh,33507
i,33504
Ġper,33328
Ġet,33312
ĠC,33217
|,33210
x,33198
Ġtake,32866
Ġes,32849
Ġvalue,32341
Ġbody,32097
Ġindustry,32062
[,31894
Ġalways,31889
"=""",31812
Ġl,31731
Ġfind,31508
Ġset,31495
>,31476
Ġem,31469
Ġproduction,31417
Ġdie,31120
?Ċ,31096
ĠĠĠĠĠ,30973
ĠWhat,30818
Ġsomething,30771
"""Ċ",30743
Ġgood,30463
"(""",30293
12,30092
Ġle,29950
Ġdes,29870
Ġpossible,29794
Ġinput,29628
Ġreturn,29606
n,29435
Ġuma,29370
Ġ$,29245
Ġsee,28893
Ġboth,28855
".""",28693
Ġtype,28693
Ġinclude,28682
Ġkey,28498
Ġda,28286
As,28203
ĠPython,28069
;,28002
100,27778
=,27761
Ġvarious,27709
ĠB,27698
",""",27511
Ġcontent,27484
Ġdel,27465
ĠHow,27383
)ĊĊ,27337
):Ċ,27316
Ġown,27270
Ġ*,27212
Ġgame,27152
Ġperson,26774
Ġlet,26570
Ġcomo,26439
200,26318
Ġunderstand,26285
It,26258
Ġmethod,26245
This,26227
p,26170
Ġcon,26158
Ġable,26038
Ġlife,25905
Ġknown,25808
Ġproduct,25608
B,25571
Ġbefore,25523
Ġdoes,25497
Ġday,25436
Ġd,25414
Ġhuman,25097
Ġoutput,25092
ĠFor,24998
Ġdevelopment,24832
'll,24756
