token,frequency
",",2675771
Ġthe,2050029
.,1932387
Ġand,1509926
Ġto,1298882
Ġa,1172765
Ġof,1037894
Ġ,716659
Ġis,662575
Ġin,624783
_,507843
Ġthat,488035
1,466933
.ĊĊ,421800
Ġyou,412927
Ċ,402830
:,395438
ĠNAME,390596
Ġfor,380131
ĠI,346814
2,329113
Ġwith,313165
Ġcan,309444
Ġas,304679
"Ġ""",292572
Ġor,282506
Ġit,267482
's,264383
.Ċ,263430
Ġde,261334
Ġon,253187
Ġbe,247576
Ġare,239345
ĠThe,213394
3,206776
Ġyour,192176
Ġ=,179313
Ġ(,172601
Ġhave,169660
ĠĠĠ,151816
Ġnot,151680
4,149635
Ġan,146100
*,144855
Ġby,138180
Ġher,137332
Ġ`,128450
5,126807
Ġwas,126523
"""",123357
-,123012
),118648
Ġe,115486
Ġthis,114407
0,112740
ĠĠĠĠĠĠĠ,110213
Ġtheir,108481
Ġfrom,107580
Ġla,106775
:ĊĊ,103505
Ġused,101986
Ġuse,98527
Ġwill,96146
ĠIt,96113
Ġque,95533
Ġbut,95130
Ġmy,93941
:Ċ,93499
Ġhas,92726
`,92044
Ġalso,91862
Ġother,91753
Ġmore,91131
Ġ-,89094
Ġsuch,88657
Ġdo,88583
ĠThis,87059
Ġwhich,86730
ĊĊ,86051
NAME,85173
Ġif,85099
Ġany,84725
Ġy,84029
Ġthey,83707
Ġhelp,81669
The,80487
Ġmay,77396
Ġdata,76470
Ġits,75848
Ġhis,75503
Ġme,75472
Ġshe,74881
!,74616
6,73113
Ġabout,72163
't,70599
Ġ|,70156
?,68871
Ġimportant,68322
Ġwould,67770
Ġ',67234
'm,67160
Ġat,66547
Ġo,63349
Ġinformation,62893
Ġen,62699
```Ċ,62697
Ġusing,62474
)Ċ,61858
Ġprovide,61748
Ġmodel,61583
I,60370
Ġhe,60326
Ġnew,59850
Ġlike,59636
/,59469
ĉ,59330
Ġun,58644
Ġself,57876
Ġwe,57687
Ġlanguage,56073
Ġall,55428
8,55351
Ġpara,55092
ĠĠ,54420
Ġmake,53494
7,53494
Ġtime,52955
Ġincluding,51112
Ġthere,51071
ĠA,49742
Ġcould,49293
Ġexample,49288
Ġdi,49287
ĠAI,48991
Ġsome,47251
Ġwho,47227
Ġam,47152
Ġhow,46978
Ġbeen,46781
ĠShe,46585
10,46204
Ġspecific,45979
Ġcode,45702
In,45516
Ġhad,45476
Ġinto,45408
Ġthem,45403
Ġcompany,45374
Ġchemical,44985
Ġfunction,44926
Ġso,44838
Ġone,44614
Ġwhat,43669
ĠÐ¸,43653
Ġup,43489
Ġneed,43342
#,42886
Ġ{Ċ,41644
Ġeach,41533
Ġproducts,41493
Ġhim,40998
ĠYou,40365
Ġway,40331
Ġno,40120
9,39831
Ġknow,39825
Ġquestions,39085
Ġi,38581
ĠĠĠĠĠĠĠĠĠĠĠ,38536
Ġdifferent,38277
Ġout,38263
Ġel,38260
(,37881
Ġtext,36999
Ġfeel,36876
Ġse,36769
ĠIf,36597
```,36266
""":",36204
Ġcreate,36203
Ġwere,35944
Ġ+,35875
Ġrange,35678
Ġnumber,35183
Ġthen,34734
Ġwhen,34628
Ġund,34621
Ġuna,34222
Ġthese,34202
Ġprocess,33706
Ġshould,33470
Ġwell,33385
Ġwant,33204
Ġover,33155
Ġ<,33044
Ġthrough,33040
ĠHe,33011
;Ċ,32978
ĠIn,32971
ĠHowever,32967
",Ċ",32794
Ġfile,32226
ĠHere,32211
ĠThey,31716
're,31618
ĠAs,31615
Ġbest,31542
Ġwhile,31484
"',",31408
Ġjust,31146
""",",31038
Ġbased,30960
Ġpeople,30823
Ġum,30750
Ġhere,30547
Ġbetween,30370
Ġproduction,30253
Ġsystem,30243
Ġworld,29163
Ġwork,29027
Ġhigh,28800
Ġthan,28550
ĠÃ©,28508
Ġour,28504
Ġx,28286
>Ċ,28144
Ġmany,28061
Ġ#,27816
Ġbeing,27802
Ġ[,27774
\n,27579
Ġbody,27186
',27093
Ġes,27065
ĠÐ²,26948
Ġtwo,26886
s,26790
Ġper,26634
Ġet,26607
A,26486
"(""",26294
Ġget,26117
Ġtake,26107
|,26106
Ġvalue,26053
As,25912
Ġmost,25903
20,25815
Ġfirst,25676
Ġset,25644
Ġvarious,25641
Ġindustry,25635
Ġdon,25547
Ġfind,25287
ĠPython,25163
Ġem,25121
Ġname,25106
Ġalways,24878
a,24868
ĠĠĠĠĠ,24742
Ġdie,24708
Ġwhere,24636
Ġpossible,24480
x,24391
Ġuma,24357
It,24187
Ġkey,24154
Ġl,24082
>,24069
Ġmethod,23924
)ĊĊ,23871
Ġdes,23820
Ġboth,23763
"=""",23726
):Ċ,23706
Ġinclude,23660
Ġown,23598
"""Ċ",23521
Ġ|Ċ,23519
Ġknown,23383
This,23269
],23045
"),",23012
Ġreturn,22930
Ġsee,22605
Ġunderstand,22546
Ġlist,22536
Ġable,22479
Ġuser,22474
Ġle,22436
Ġensure,22371
Ġdevelopment,22313
i,22271
Ġdel,22249
Ġonly,22092
ĠC,21937
Ġlet,21932
ĠĊ,21918
Ġda,21869
Ġtype,21811
Ġinput,21581
Ġcomo,21572
Ġgame,21559
Ġlearning,21541
Ġquestion,21499
Ġwide,21426
Ġgood,21392
",""",21141
Ġability,21054
Ġproduct,20903
'll,20901
()Ċ,20851
Ġlife,20819
Ġpotential,20817
