Token,Frequency
<0x0A>,3835286
.,3696434
",",3443047
▁the,2634456
▁and,1822100
▁to,1601266
▁a,1533523
▁,1492603
▁of,1288145
1,1137957
_,1040524
:,893309
▁in,872491
2,847251
▁is,841327
0,824021
',716144
-,681273
▁N,599727
▁that,581013
▁you,568236
AME,567536
▁for,507184
s,496416
▁I,472579
3,466555
"▁""",422188
▁with,420238
▁as,376258
5,368028
▁can,363441
4,355237
▁or,344658
▁de,342428
▁on,341470
▁it,336738
▁are,326940
▁be,319656
),296007
▁The,269942
▁(,258893
"""",250361
▁your,247532
`,238378
?,236395
6,235282
(,223248
▁an,218578
▁have,216047
▁=,214906
▁not,210159
8,197660
▁▁▁,197088
9,194084
7,191037
▁by,181404
▁her,174848
o,173610
ing,166881
*,160920
▁was,160587
▁this,160322
/,158060
t,157328
▁from,155359
<0x09>,151739
a,150851
▁e,150257
▁`,143921
▁me,140545
▁▁▁▁▁▁▁,137453
▁will,135441
▁do,133197
m,131700
▁la,129553
i,129214
NAME,128289
▁their,127766
▁my,125995
▁-,122975
ar,120109
▁has,119275
▁but,119086
▁que,118488
▁more,118470
▁use,117321
▁if,116656
as,116208
▁about,114514
▁|,113370
▁It,111018
``,110851
▁used,110687
▁at,107830
uu,107656
▁which,107465
▁other,107246
▁un,106537
▁any,106493
!,106477
os,104850
▁y,104645
▁also,104632
▁',104546
es,104027
▁they,102328
n,101545
▁This,98440
▁such,96989
y,96387
▁A,96207
▁his,94836
▁she,92316
▁data,92171
▁help,91554
▁en,91225
▁o,89387
re,88490
▁model,86294
▁its,86148
▁▁,85844
The,85609
▁what,85214
▁may,84811
▁would,84804
▁he,83914
▁like,82869
▁all,82705
>,81390
ed,80672
▁we,80159
▁You,79281
▁answer,79186
],78470
▁new,78367
;,77645
""",",76639
▁t,76463
▁information,76085
▁using,75083
I,74443
▁important,74017
▁how,73345
▁text,73329
er,73260
e,72632
▁provide,72005
▁am,70452
▁make,70322
(),70147
in,69997
▁{,69721
▁time,68865
▁one,68073
A,67737
▁self,66967
▁so,66945
en,66781
▁para,66010
▁language,65971
▁there,65927
ic,65713
".""",65692
▁no,65071
""":",64969
▁code,64958
▁up,64861
▁out,64459
▁l,64380
▁C,64276
▁d,64257
▁who,64197
▁di,63512
c,63308
u,62826
x,62613
▁i,62161
▁some,61670
▁into,60506
\,60015
▁c,59920
▁AI,59550
▁them,59545
is,59365
▁и,58236
▁should,58143
▁could,57825
[,57813
p,57537
▁example,57455
▁been,57231
b,57105
▁when,56948
#,56913
ation,56664
al,56370
▁In,56129
h,55918
▁need,55556
▁She,55427
▁including,55267
▁specific,54925
▁[,54867
▁p,54842
▁each,54824
▁had,54738
▁el,54721
▁only,54710
▁company,54656
or,54483
▁chemical,54475
"',",54061
▁If,53651
▁se,53219
▁based,53200
f,52950
In,52905
d,52331
▁know,52297
▁system,51698
▁over,51246
▁▁▁▁▁▁▁▁▁▁▁,50674
▁function,50616
an,50538
▁es,50510
ть,50126
▁him,50020
▁D,49971
▁way,49747
▁B,49625
ate,49545
C,49539
z,49478
ir,49169
it,48865
▁m,48835
S,48748
▁des,48689
▁per,48425
▁S,48096
▁want,48016
▁b,47830
▁then,46989
▁than,46838
▁were,46820
▁questions,46129
▁n,46043
=,45885
▁number,45831
▁different,45710
т,45538
▁As,45236
▁в,45145
▁+,45108
k,45085
id,45033
▁<,44708
▁con,44653
▁products,44592
▁just,44395
D,44214
▁le,44147
▁Here,43875
▁following,43863
▁und,43863
▁f,43710
▁create,43444
B,43322
▁He,43131
▁these,42634
ia,41990
g,41916
▁process,41871
ive,41808
▁em,41799
▁well,41797
▁don,41395
▁M,41372
▁re,41278
▁una,40976
▁feel,40867
r,40721
▁people,40657
G,40493
able,40491
▁best,40426
▁work,40364
▁between,40296
ine,40261
ers,40235
"),",40148
M,40045
▁s,39923
▁say,39781
▁two,39729
▁um,39667
▁на,39354
▁through,39258
▁name,39073
▁G,38801
▁T,38730
▁words,38680
▁while,38670
▁range,38564
are,38504
▁same,38474
▁P,38393
▁first,38383
):,38359
▁What,38336
▁x,38259
ve,38233
▁most,38116
▁must,38072
▁get,37950
▁our,37718
▁file,37336
▁é,37232
|,37048
▁g,36992
▁They,36920
▁here,36812
▁#,36614
ical,36510
▁est,36237
T,36123
▁et,36047
▁being,36043
ize,35993
},35832
ado,35816
▁list,35763
▁L,35699
▁question,35623
il,35537
le,35507
▁many,35391
▁world,35380
▁However,35086
▁where,34975
▁user,34894
á,34841
ant,34779
▁R,34728
am,34715
at,34596
▁v,34574
▁high,33808
).,33791
▁F,33665
▁с,33403
ا,33377
ly,33362
on,33348
▁set,33298
to,33279
▁take,33185
em,32937
▁us,32763
l,32759
P,32662
▁h,32651
▁body,32617
v,32565
ating,32562
▁value,32343
"=""",32334
▁find,32246
▁com,32142
ur,32103
▁industry,32063
▁always,31891
й,31848
H,31688
▁по,31500
▁production,31417
▁person,31384
te,31343
▁die,31283
í,31258
▁How,31215
"(""",31104
us,31089
▁E,31082
▁del,31000
▁good,30974
м,30945
е,30913
é,30835
▁something,30772
▁w,30671
▁al,30474
ch,30407
<,30354
L,30109
yl,29917
▁input,29863
▁possible,29793
ion,29713
▁return,29638
self,29563
et,29545
▁},29519
’,29421
▁uma,29379
▁*,29374
▁da,29267
▁$,29248
ro,29111
▁▁▁▁▁,29024
▁H,28974
▁both,28901
▁see,28893
▁type,28706
▁include,28684
▁game,28584
▁key,28572
ll,28546
ity,28296
▁content,28230
▁Python,28216
%,28201
▁su,28127
