Token,Frequency
",",3566528
.,2913702
Ġthe,2632800
Ġand,1820480
Ġto,1593821
Ġa,1484395
Ġof,1283239
Ġin,836409
Ġis,831499
Ċ,818455
Ġthat,573531
Ġyou,525663
Ġfor,495430
.ĊĊ,471568
Ġwith,418882
Ġas,369739
ĠI,352330
.Ċ,345275
Ġcan,342618
Ġor,340611
Ġon,337242
Ġare,323518
Ġde,320537
ĊĊ,306730
Ġbe,304624
),296128
Ġit,293162
(,292916
"""",281762
ĠThe,253380
Ġyour,247387
Ġ(,234483
ĠNAME_1,224743
Ġhave,215732
Ġ=,214614
Ġan,205145
Ġnot,203500
:,201787
?,199146
Ġby,179297
Ġher,169201
Ġwas,159696
Ġthis,155858
Ġfrom,154924
*,151708
Ġwill,134585
Ġe,130928
`,130456
Ġme,128581
Ġdo,127594
Ġtheir,127562
Ġla,127443
Ġmy,124564
Ġ`,120873
Ġbut,118806
Ġmore,118300
Ġhas,117989
Ġque,117598
Ġuse,116277
Ġif,116029
Ġabout,114347
Ġused,110489
Ġ-,107289
ĊĠĠĠ,107225
Ġwhich,107135
ĠNAME_2,107049
Ġany,106304
!,106014
Ġalso,104620
1,103494
Ġother,102893
Ġthey,98398
Ġat,98368
Ġsuch,96904
ĠThis,96710
Ġhis,94494
2,94036
Ġhelp,90649
Ġshe,88980
Ġdata,86447
Ġits,86146
```,84957
Ġwould,84740
Ġy,84390
Ġmay,84315
ĠIt,83898
Ġ1,82453
;,82231
Ġlike,81932
Ġ,81460
The,80776
3,80085
ĊĠĠĠĠĠĠĠ,78749
Ġen,77581
Ġo,77313
Ġall,76803
Ġwhat,76778
Ġmodel,75066
Ġinformation,74966
Ġusing,74949
Ġhe,74304
Ġnew,72895
Ġimportant,72289
ĉ,72242
Ġprovide,71873
Ġhow,70374
Ġanswer,69868
Ġmake,69826
Ġwe,69227
Ġun,68922
4,67982
Ġtime,66041
Ġpara,65965
-,65559
Ġlanguage,65299
Ġ2,63963
Ġone,63516
Ġ{,62958
Ġno,62689
ĠA,62603
)Ċ,62449
Ġwho,62243
Ġthere,61877
',61729
Ġsome,61600
5,61061
Ġso,60742
Ġcode,60263
Ġinto,60091
Ġ|,59157
ĠYou,58974
Ġthem,58907
Ġ0,58252
Ġshould,58044
Ġam,57733
Ġcould,57723
Ġself,57715
Ġbeen,57224
Ġup,57033
Ġdi,56866
Ġwhen,56770
ĠAI,56082
ĠI'm,56022
Ġneed,55293
Ġhad,54732
Ġeach,54690
Ġchemical,54525
Ġonly,54493
Ġtext,53563
ĠShe,53561
Ġincluding,53512
Ġbased,53165
ĠNAME_3,52825
ĠÐ¸,52692
Ġi,52634
Ġknow,51957
Ġexample,51915
Ġspecific,51443
Ġout,50328
Ġhim,49767
Ġsystem,49266
Ġway,49250
Ġfunction,49162
",Ċ",48959
In,48855
(),48772
Ġwant,47941
Ġel,47317
ĠIf,47314
#,46913
Ġthen,46888
Ġthan,46759
Ġwere,46633
Ġquestions,45520
Ġdifferent,44564
Ġover,44347
Ġproducts,44226
ĊĠ,43904
Ġnumber,43709
Ġ3,43663
Ġ+,43336
Ġse,43214
"Ġ""",43118
Ġjust,42626
Ġthese,42581
Ġcreate,42557
Ġfollowing,41714
ĠIn,41071
Ġfeel,40869
Ġund,40827
Ġuna,40820
I,40558
Ġcompany,40318
Ġbetween,40268
ĠHe,39584
Ġthrough,39084
Ġsay,38909
Ġum,38833
Ġwhile,38667
Ġtwo,38617
Ġit's,38606
Ġpeople,38439
Ġrange,38393
Ġbest,38310
Ġsame,38091
Ġour,37706
Ġwords,37686
Ġfirst,37251
Ġprocess,37232
Ġ},37169
Ġmust,37167
ĠAs,36515
Ġmost,36176
Ġwork,36085
Ġbeing,36032
ĠThey,36015
ĠÐ²,35996
6,35728
Ġmany,35390
},35214
ĠHowever,35080
Ġget,34804
Ġwhere,34660
Ġfile,34645
Ġdon't,33907
ĠÃ©,33067
Ġquestion,33062
NAME_1,33048
"),",32979
Ġet,32930
Ġworld,32850
Ġtake,32831
Ġ5,32752
Ġname,32605
Ġes,32542
Ġlist,32536
Ġ4,32526
Ġper,32460
],32129
Ġalways,31889
ĠNAME_4,31887
's,31837
Ġindustry,31753
Ġfind,31402
Ġproduction,31402
Ġem,31177
