Token,Frequency
",",3568414
.,2914960
Ġthe,2633270
Ġand,1822393
Ġto,1597352
Ġa,1487513
Ġof,1283670
Ġin,842219
Ġis,832538
Ċ,823100
AME_,692268
ĠN,577994
Ġthat,573826
:,533023
Ġyou,526853
Ġfor,499394
.ĊĊ,471598
Ġwith,419779
"""",406370
1,403573
Ġas,371091
ĠI,358603
.Ċ,351448
Ġcan,344019
Ġor,342405
Ġon,340347
Ġde,328049
Ġare,323720
ĊĊ,315320
Ġbe,314370
),296976
Ġit,294143
(,293752
`,262324
ĠThe,253500
Ġyour,247403
2,245878
Ġ(,235592
Ġhave,215784
Ġ=,214734
Ġan,210967
Ġnot,205435
?,201333
Ġby,180604
Ġher,170236
*,161466
"Ġ""",161004
Ġwas,160059
3,159727
Ġthis,156070
Ġfrom,155070
Ġ`,145388
's,144853
Ġe,136491
Ġwill,135417
Ġme,132974
Ġla,131331
Ġdo,130744
Ġtheir,127766
Ġmy,125615
ing,121061
N,120131
Ġbut,119095
Ġmore,118419
Ġhas,118304
Ġque,117948
Ġuse,117294
4,116780
Ġif,116276
-,114486
Ġabout,114354
``,113036
Ġused,110687
Ġ-,109614
ĊĠĠĠ,108162
!,107982
uu,107652
Ġother,107238
Ġwhich,107153
Ġany,106694
Ġalso,104620
Ġ,102493
',102353
Ġat,98943
Ġthey,98719
Ġsuch,97129
ĠThis,96710
Ġun,94892
Ġhis,94561
ed,91384
Ġhelp,91320
5,91032
Ġshe,89911
Ġy,88683
Ġdata,87815
;,87139
Ġ1,86264
Ġits,86148
Ġwould,84855
Ġmay,84619
ĠIt,83874
s,82905
Ġall,82384
The,82153
Ġlike,82143
Ġo,80918
ĊĠĠĠĠĠĠĠ,79526
Ġen,78604
Ġanswer,78182
Ġnew,77796
Ġmodel,77572
Ġhe,77303
Ġwhat,76979
Ġinformation,75248
Ġusing,74955
ĉ,74288
Ġwe,74045
Ġimportant,72789
Ġprovide,71873
ĠA,71092
Ġhow,70708
ĠÐ¸,70399
Ġ2,70193
Ġmake,69899
Ġtime,67674
Ġ{,66435
Ġpara,65977
Ġlanguage,65964
Ġone,65228
Ġ',64957
ĠÐ²,64489
Ġno,63827
)Ċ,63386
Ġso,62519
Ġup,62422
],62345
Ġwho,62317
Ġthere,62141
Ġ|,62128
Ġsome,61651
Ġam,60680
Ġcode,60445
Ġtext,60424
Ġself,60185
Ġinto,60119
ĠYou,59527
Ġ0,59318
ĠAI,59308
Ġthem,59189
Ġshould,58197
Ġcould,57901
Ġdi,57806
Ġbeen,57223
""":",57092
Ġwhen,56802
ĠÑģ,56334
ĠI'm,56021
Ġneed,55703
Ġi,55363
Ġincluding,55267
Ġeach,54824
Ġhad,54708
Ġonly,54707
Ġcompany,54637
Ġchemical,54528
Ġout,54455
Ðµ,54068
6,54016
ĠShe,53650
Ġspecific,53303
Ġbased,53165
Ġknow,52313
Ġexample,51954
In,51727
Ġsystem,51688
Ġhim,49996
",Ċ",49955
Ġway,49430
Ġfunction,49398
#,49361
Ġover,49342
(),49310
Ġel,49227
y,49184
I,48497
Ġwant,48022
i,47624
Ġ3,47623
ĠIf,47301
Ġthen,46980
Ġwere,46816
Ġthan,46798
Ñĥ,46533
ĠIn,46349
Ġse,45598
Ġquestions,45563
ĊĠ,44730
Ġdifferent,44710
Ġnumber,44293
Ġproducts,44216
en,44176
Ġ+,43940
ĠÐ½Ð°,43459
7,43039
Ġcreate,42843
Ġjust,42828
Ġthese,42622
Ġund,42520
ÑĤ,42512
Ġuna,42119
Ġfollowing,41871
Ñı,41758
Ġfeel,40873
},40755
ĠHe,40362
Ġbest,40340
Ġum,40323
_,40314
Ġbetween,40293
Ġwork,39996
ate,39709
Ġtwo,39383
Ġpeople,39261
Ġthrough,39114
Ġsay,39060
Ġ[,38901
Ġwhile,38667
Ġes,38636
Ġit's,38606
Ġprocess,38587
Ġrange,38564
Ġsame,38474
z,38237
ĠÐ¼,38058
Ġfirst,38014
Ġmust,37880
Ġwords,37834
ÐµÑĤ,37797
Ġour,37712
Ġ},37361
ĠAs,37101
es,36237
ĠThey,36199
Ġmost,36165
Ġ4,36150
Ġbeing,36032
Ġ5,36015
Ðº,35919
Ñģ,35797
Ġfile,35720
e,35574
Ð¸,35517
Ġmany,35389
Ġget,35181
ĠHowever,35080
"),",35072
Ġ#,34995
8,34847
ers,34833
Ġwhere,34788
/,34751
Ñħ,34644
Ġper,34623
Ġet,34494
are,34371
Ġquestion,34229
Ġworld,34220
x,34219
Ġdon't,33907
Ġlist,33794
Ġname,33768
Ġem,33301
Ġtake,33165
Ġle,33047
ĠÃ©,32886
A,32879
Ġwell,32617
Ġbody,32604
Ġset,32310
0,32131
Ġfind,32111
Ġindustry,31934
Ġalways,31889
Ġ10,31762
ĊĠĠĠĠĠĠĠĠĠĠĠ,31560
Ġproduction,31417
Ð¼,31391
Ñĭ,31218
?Ċ,30995
Ġdie,30991
ĠÐº,30990
Ġgood,30975
Ð½Ð¸,30897
er,30866
Ð¾Ð²,30827
Ġsomething,30771
Ġdes,30654
