Token,Frequency
",",771585
.,607242
Ġthe,582893
Ġa,314218
Ġand,311346
Ġto,296917
Ġof,245770
Ċ,231160
Ġin,214506
AME_,204943
ĠN,173464
Ġis,172796
:,157374
Ġyou,144608
?,117609
Ġfor,116437
1,107191
"""",106885
Ġwith,106123
Ġthat,90951
.Ċ,86872
Ġare,86409
Ġon,85762
),84039
ĠI,77640
Ġ(,67743
Ġas,67282
Ġ,62030
Ġde,60972
Ġbe,60955
Ġit,60592
Ġan,60412
Ġor,58897
Ġanswer,57880
2,57824
ĊĊ,56267
Ġme,55391
Ġyour,55223
(,54582
Ġnot,52343
"Ġ""",49827
Ġfrom,47543
Ġcan,46478
Ġhave,46343
.ĊĊ,45045
Ġthis,44992
Ġabout,42244
Ġby,41498
Ġdo,40265
ĠThe,39968
Ġwill,38800
3,36102
-,35398
Ġ=,35241
Ġwhat,35134
N,33632
Ġwas,33524
',33325
Ġonly,32615
Ġher,32258
Ġat,32137
ĉ,31691
Ġif,31143
Ġmy,30927
Ġ-,29955
ing,29376
Ġmore,27309
's,27179
Ġwords,27164
Ġsay,26676
Ġ1,25915
Ġhas,25396
Ġall,24737
Ġshould,24714
Ġfollowing,24194
],24112
ĠYou,24031
Ġbut,23777
4,23693
Ġhow,23591
;,23410
Ġtext,23377
Ġmust,23233
Ġlike,23071
Ġno,23028
Ġone,22999
Ġ',22808
s,22735
Ġque,22265
Ġbased,22205
Ġwhen,22177
Ġany,21833
Ġsame,21816
Ġun,21637
Ġla,21625
""":",21508
ed,21093
ĠA,20837
Ġsystem,20754
Ġwhich,20423
Ġe,20344
Ġ2,20278
!,19417
Ġi,19301
Ġhis,19127
Ġtheir,19115
Ġuse,18571
Ġwe,18458
5,18355
Ġinstructions,18333
Ġthan,18263
Ġassistant,18205
Ġhe,18044
Ġthey,17929
Ġcode,17917
ĊĠĠĠ,17897
You,17567
Ġwould,17080
Ġmodel,17037
Ġup,16908
Ġshe,16511
Ġso,16441
Ġmake,16405
Ġ3,15967
Ġ[,15913
Ġ0,15853
ĠWhat,15813
/,15777
Ġ{,15754
Ġwho,15684
Ġen,15661
?Ċ,15602
ĠÐ²,15386
Ġbelow,15200
Ġother,15190
Ġo,15161
.Ġ,15141
Ġtime,15137
Ġcompletion,14959
ĠĊ,14861
Ġwant,14781
ĠÑģ,14749
Ġinto,14710
y,14474
Ġsome,14403
ĊĠĠĠĠĠĠĠ,14117
Ġgive,14073
Write,14061
Ġ5,13906
Ġthem,13880
The,13846
Ġsomething,13744
Ġ:,13713
Ġthere,13709
Ġpython,13614
_,13600
Ġwrite,13592
Ġ|,13586
Ġnew,13561
0,13541
Ġout,13360
Ġeach,13291
I,13285
Ġy,13072
Ġinformation,12953
)Ċ,12879
Ðµ,12871
Ġdata,12806
Ġalso,12765
Ġtwo,12760
Ġquestion,12747
ĠÐ¸,12645
Ġover,12591
Ġusing,12528
ĠÐ½Ð°,12489
Ġknow,12460
Ġfirst,12442
G,12286
Ġthen,12248
Ġstory,12207
Ġneed,12118
Ġname,12064
Ġ10,11864
},11708
Ġjust,11694
6,11431
Ñģ,11165
Ġlist,11042
Ġsentences,11028
Ġ4,10972
Ġnow,10958
[,10932
Ġpara,10895
i,10860
"),",10803
Ñı,10774
Ġam,10760
A,10759
Ġwere,10757
ÑĤ,10737
Ġget,10724
Ñĥ,10714
ĠIf,10714
PT,10696
Ġdocument,10694
1:,10625
",Ċ",10620
Ġuser,10620
\n,10611
ĠAI,10547
es,10486
Ġbeen,10444
Ġmost,10336
Ġits,10300
âĢĿ,10183
ĠÑĤ,10161
Ġprovide,10125
Ġwhere,10120
ĠC,10032
Ġ50,9982
e,9980
Ġbetween,9923
Ġlanguage,9896
Ġnumber,9841
ĠHow,9803
ĠB,9702
B,9651
Ġel,9621
ĠThis,9608
Ġhelp,9589
en,9579
Ġpeople,9555
Ð¸,9520
Ġsummary,9496
Ġchemical,9492
Ġcomplete,9491
Ġresponse,9483
Ð°,9457
Ġdoes,9453
Ġ?,9426
Ġ.,9412
Ġthing,9409
ass,9398
7,9391
Ðº,9362
er,9359
Ġcompany,9275
Ġhad,9261
Ġsend,9255
Ġway,9224
Ġgood,9206
Ġour,9205
no,9175
Ġsentence,9172
Ġallowed,9086
>,9060
ĠIn,9056
ĠS,9035
Ġhim,8999
a,8980
Ġdon't,8970
Ġ},8910
What,8905
ĠIt,8905
Ġvery,8904
).,8899
Ġplease,8853
ate,8790
your,8777
`,8740
.Ġ(,8725
Ñĭ,8702
Ġused,8701
C,8654
user,8626
Ð¹,8543
S,8542
ly,8525
Ġcould,8489
"Ġ,",8443
Ð¾Ð²,8427
Ġfact,8425
Ġthese,8421
Ġwork,8403
Ġrepeat,8395
istant,8373
b,8351
Ġoutput,8341
8,8328
Ġsuch,8327
Ġexamples,8296
If,8293
ers,8265
Ġarticle,8246
Ġbeing,8230
ĠÐº,8214
Ñħ,8159
Ġinput,8159
Ġle,8107
Ġafter,8104
Ġ+,8067
Ġthink,8037
ĠD,7950
ĠÐ¼,7939
Ġum,7933
z,7905
Ġcontent,7877
*,7876
Ġperson,7874
Ġ#,7853
ĠShe,7797
ĠHe,7796
Ġdi,7780
t,7770
p,7722
