token,frequency
.,3689527
",",3436461
 the,2632036
 and,1820332
 to,1594700
 a,1483566
 of,1283331
:,877709
 in,837468
 is,834633
',706124
-,619279
 that,580859
 you,566867
 for,487012
 I,431269
 with,418418
" """,380598
 as,370753
 can,358185
s,357403
 or,340240
 on,337699
 it,334248
 are,326198
 de,320114
 be,307000
),287613
 NAME_1,251455
 (,250404
 The,248717
 your,246488
?,229521
 have,215987
 =,213934
(,208014
 an,204680
 not,203210
"""",189824
 by,179254
 her,169006
 was,159758
 this,158270
 from,154823
/,150975
 will,134655
 e,133383
 `,130994
 me,129001
 do,127767
 their,127561
 la,127287
 my,123051
 NAME_2,121952
 but,118630
 more,118392
 has,117897
 que,117552
 use,116657
t,115049
 -,114826
 about,114466
 used,110673
"
*",109400
 which,107065
 other,106881
 It,106616
 any,106384
 also,104581
 they,102281
 1,101718
!,99210
"
```",98085
 at,97545
 such,96920
 This,96064
 if,95640
`,95134
 his,94563
 ',92314
 she,91734
 help,91106
 data,88578
m,88333
 its,86125
 y,84957
 would,84743
 may,84302
 like,82833
1,82206
 |,82092
 2,81216
 what,79337
 all,79226
 answer,79014
\,78160
 he,78088
 model,77815
 en,77212
 o,77015
 we,76457
 information,76045
;,75679
>,74824
 using,74777
""",",72556
 important,72316
 provide,71838
 un,71284
 how,70022
 make,69666
 new,68902
 one,68031
 time,67645
2,67087
 0,66556
 language,65912
 para,65839
 there,65511
 You,64024
 code,63957
".""",63306
 who,63081
 A,62969
 no,62662
""":",62586
 some,61574
 so,60793
 text,60760
],60527
 into,60085
"
2",59917
 NAME_3,59646
 up,59503
 AI,59307
 them,59295
 {,58765
 should,58109
 could,57675
 example,57392
n,57365
 been,57224
 when,56669
 am,56628
 i,56391
 di,56363
 need,55384
 including,55262
"
3",55202
 each,54735
I,54713
 had,54688
 only,54648
 company,54610
 chemical,54474
 She,54247
 3,53723
 based,53124
 и,52726
 know,52215
"',",51465
 specific,51371
 system,50768
(),50560
0,50485
 out,50365
 him,50005
 function,49876
 way,49634
"

1",49584
re,48294
 want,47953
"
4",47529
 el,47082
 then,46941
 than,46803
 [,46663
 were,46653
 If,46328
 questions,46073
 number,44981
"

The",44659
 products,44579
 different,44554
 over,44470
 +,44032
 following,43831
 se,42827
 these,42624
 just,42546
 ,42517
 create,42343
3,41558
 5,41402
=,40992
 una,40886
 feel,40830
 und,40788
 well,40664
 people,40643
 between,40274
 He,40092
 two,39624
 In,39472
 through,39129
 4,39084
 say,39047
"
5",38576
The,38556
 range,38550
 words,38535
"),",38521
 same,38474
 best,38360
 um,38095
 first,37946
 our,37706
 name,37694
 must,37486
 process,37263
 while,37032
[,36726
 work,36685
 They,36508
):,36392
"

#",36091
 most,36073
 As,36056
 being,36026
 file,35951
 в,35823
