token,frequency
.,736899
",",720728
 the,582080
 a,312641
 and,310531
 to,296240
:,281075
 of,245516
 in,213489
 is,173082
 you,153952
-,147305
',145236
?,135525
 for,114537
" """,107709
 with,105914
 that,92845
 are,86948
 I,86640
 on,85127
),82200
 (,79188
 NAME_1,76327
s,76117
 it,66939
 as,66547
 be,60014
 de,59158
 an,59143
 answer,58374
 or,58232
 your,55144
 me,54261
/,53024
 not,51896
 can,49177
 from,47378
 have,46331
"""",46281
 this,45286
 about,42304
 by,41180
 do,39403
(,39390
 will,38523
 The,38351
 NAME_2,37510
t,37466
 what,35743
 =,34877
 was,33349
 only,32557
 ',32237
 her,31950
 at,31452
 my,30502
 -,29889
 1,28737
 ,28026
 if,27757
 words,27630
 more,27264
 say,26704
""",",26075
 has,25224
 following,24993
 should,24640
 text,24554
;,24196
 all,23999
 You,23937
 but,23602
 one,23430
 like,23204
""":",23131
 must,23111
 how,23093
1,22732
 no,22673
],22579
 based,22166
 que,22123
 when,22108
 2,22061
’,21819
 same,21816
 any,21696
"
",21188
 la,20865
 system,20597
 which,20337
 i,19454
 e,19240
 his,19125
 their,19080
 we,18978
!,18643
 they,18582
\,18403
 use,18356
 code,18352
 instructions,18327
 than,18268
 assistant,18209
 he,18141
 NAME_3,17900
 A,17777
 [,17716
"',",17663
0,17655
2,17534
 would,16973
 she,16922
 model,16889
n,16731
 3,16429
 0,16319
 make,16246
 so,16245
 up,16125
 who,15877
 below,15747
 What,15697
 |,15622
 un,15307
 other,15172
 en,15169
 time,15140
 completion,14957
 want,14749
 into,14684
"
-",14566
 there,14479
You,14462
 some,14366
 o,14235
m,14102
 give,13920
 them,13910
I,13841
 5,13818
 something,13744
 name,13648
 question,13594
 {,13565
 python,13459
 write,13271
 .,13264
re,13249
 each,13208
 information,13162
 data,13049
 new,13001
Write,12885
 two,12780
 also,12744
".""",12743
 :,12741
>,12647
  ,12611
 out,12492
 using,12440
 first,12392
 know,12388
3,12337
" ,",12251
 then,12208
 10,12170
 y,12055
 need,12042
 user,11993
 story,11921
 over,11585
 just,11525
"),",11251
NAME_1,11070
 sentences,10989
 now,10985
 list,10922
 It,10889
 4,10804
=,10797
 para,10786
 were,10709
 get,10571
 AI,10560
5,10527
 document,10526
4,10508
 been,10443
%,10360
 ?,10288
 its,10280
 most,10256
 50,10203
 don,10157
 If,10114
 NAME_4,10110
 provide,10094
 where,10031
 number,9989
 am,9962
).,9957
 between,9904
 language,9862
 people,9823
 в,9520
 chemical,9489
 complete,9479
 summary,9472
 help,9462
 thing,9407
 does,9401
 response,9366
 way,9345
 This,9285
 company,9258
 had,9237
 send,9218
 our,9202
 How,9164
 и,9154
 el,9115
 allowed,9087
 good,9027
no,9012
 him,9006
"

",8956
 sentence,8917
a,8898
 very,8893
your,8739
 used,8696
 examples,8634
 please,8608
 $,8570
What,8432
 these,8422
 could,8384
 output,8381
 repeat,8370
 such,8290
 article,8246
 being,8224
[,8206
 content,8117
 example,8114
 +,8101
 C,8065
 think,7978
 after,7959
 format,7946
 “,7883
 person,7854
 input,7850
"=""",7838
 work,7761
 She,7756
" 
",7748
 B,7707
i,7666
00,7661
 um,7636
 step,7624
" ""[",7623
 He,7570
 given,7547
A,7531
 repeating,7476
 character,7467
 di,7452
don,7447
""".",7414
"
1",7409
"]""",7396
 In,7351
 many,7321
 well,7303
 tell,7256
 le,7253
 year,7204
	,7199
 without,7189
 6,7174
 на,7164
The,7104
 best,7089
 may,7077
 questions,7027
 always,7011
 while,6890
 said,6889
 se,6865
 take,6751
 type,6720
 una,6675
 long,6668
 years,6652
 Please,6626
 prompt,6581
 go,6581
"
2",6576
 Can,6545
 /,6510
 l,6507
 et,6500
 consistent,6467
 industry,6425
No,6413
 proper,6385
 create,6349
 die,6345
 d,6322
If,6319
 generate,6319
 NAME_5,6312
 different,6295
 see,6288
 und,6275
 task,6256
 <,6236
"
user",6234
 da,6191
 value,6149
 factually,6145
 description,6145
 find,6142
 per,6113
 because,6110
 old,6107
 #,6094
 world,6089
 right,6089
 through,6089
 before,6083
 em,6079
"
NAME_1",6065
",""",6059
 anything,6033
 going,6021
6,6007
 three,5986
"
""",5975
 word,5973
 why,5971
 Do,5958
"
assistant",5954
 No,5940
_,5915
 human,5901
 much,5895
Yes,5894
 man,5870
+,5860
':,5848
 des,5833
 short,5829
):,5810
 *,5759
 day,5754
 next,5712
 outputs,5694
 toxic,5639
 set,5607
 back,5579
 con,5574
(),5569
 es,5559
 x,5553
 game,5526
"
A",5516
 context,5498
10,5488
 Write,5474
 ask,5462
 function,5447
".,",5440
8,5426
 specific,5424
 explain,5420
 even,5419
"
The",5404
e,5392
 above,5380
d,5380
it,5375
...,5374
Give,5325
 20,5321
 start,5316
 possible,5305
what,5298
7,5270
 We,5242
 single,5236
 end,5208
 &,5186
 last,5174
 For,5164
 8,5161
 à,5147
 7,5138
 here,5102
 introduction,5087
 both,5084
 did,5075
 life,5062
);,5057
 down,5011
 conversation,5010
 include,5009
 uma,5002
 200,5001
 del,4999
C,4968
 les,4955
 They,4946
},4942
9,4925
 every,4893
 play,4893
 better,4889
 rate,4872
 body,4865
|,4846
 como,4831
 continue,4826
 du,4824
 file,4815
 é,4811
 add,4791
 made,4788
 12,4776
 com,4771
 date,4734
 self,4733
 Your,4708
 table,4696
 As,4688
 show,4684
 line,4684
 never,4668
 der,4650
 sure,4629
 role,4609
 off,4607
ll,4602
