token,frequency
.,737856
",",721351
 the,582235
 a,312814
 and,310651
 to,296366
:,282177
 of,245532
 in,213652
 is,173307
 you,154056
-,147398
',146056
?,136026
 for,114575
" """,108093
 with,105914
 that,92976
 are,87105
 I,86954
 on,85264
),82785
 (,79338
s,78179
 NAME_1,76327
 it,66985
 as,66648
 be,60062
 de,59317
 an,59267
 answer,58419
 or,58358
 your,55143
 me,54304
/,53340
 not,51920
 can,49711
 from,47424
"""",46982
 have,46331
 this,45395
 about,42348
 by,41194
(,40323
 do,39397
 will,38523
 ,38372
 The,38369
t,38063
 NAME_2,37510
 what,35895
 =,34927
"
",34253
 was,33381
 only,32584
 ',32263
 her,31967
 at,31813
 my,30664
 -,30062
 1,28881
 if,27808
 words,27630
 more,27277
  ,26870
 say,26721
""",",26374
 has,25239
 following,24993
 should,24648
 text,24584
;,24383
 all,24094
 You,24072
1,23827
 but,23610
 one,23430
""":",23430
 how,23265
 like,23215
 must,23113
],22962
 no,22707
 2,22255
 based,22166
 que,22139
 when,22114
’,22015
 same,21814
 any,21762
 la,20894
n,20724
 system,20619
 which,20337
\,19753
 i,19549
 e,19519
 his,19139
 their,19080
	,19052
 we,18985
!,18824
 they,18619
 code,18408
 use,18355
 he,18347
 instructions,18327
 than,18268
0,18226
2,18213
 assistant,18205
"',",18070
 [,18024
 A,18011
 NAME_3,17936
 she,17038
 would,16973
 model,16898
 3,16593
 0,16447
 so,16320
 make,16266
 up,16132
 What,15956
 who,15881
 below,15747
 un,15735
 |,15616
 en,15242
 other,15172
 time,15152
m,15094
You,14968
 completion,14959
"
-",14839
 want,14749
 into,14684
I,14565
 there,14553
"

",14520
 o,14444
 some,14382
 5,14047
re,13983
 give,13968
 them,13940
 something,13744
 {,13707
 name,13664
 question,13594
 python,13459
".""",13374
 write,13357
 .,13295
 each,13212
>,13184
 information,13174
 data,13072
 new,13017
 :,12955
Write,12865
3,12815
 two,12801
 also,12763
 out,12514
 10,12497
 using,12447
 first,12421
 know,12418
" ,",12303
 then,12245
 y,12230
 need,12042
 user,12015
 story,11921
 over,11624
 just,11558
"),",11446
NAME_1,11135
 sentences,11023
=,11010
 now,10992
5,10971
 list,10932
4,10920
 It,10908
 4,10904
 para,10785
 were,10709
 AI,10637
 get,10609
%,10568
 document,10542
 been,10443
 ?,10336
 its,10280
 most,10252
 50,10209
 don,10167
).,10156
 If,10153
 NAME_4,10127
 provide,10094
 am,10037
 where,10031
 number,9989
a,9911
 between,9904
 language,9862
 people,9817
" 
",9811
 в,9645
 does,9586
 chemical,9490
 complete,9488
 summary,9480
 help,9462
 thing,9407
 way,9394
 response,9380
 This,9308
 company,9278
 had,9231
 send,9230
 How,9229
 el,9227
 и,9211
 our,9202
no,9122
 allowed,9087
 good,9027
 him,9004
 sentence,8948
 very,8893
i,8806
your,8802
[,8722
 please,8701
 used,8696
 $,8677
 C,8654
 examples,8634
What,8611
 these,8422
 could,8408
 output,8378
 repeat,8370
 such,8288
 article,8246
 being,8224
 +,8198
A,8151
 content,8129
 example,8123
 B,8037
_,8032
"=""",8003
 “,7985
 think,7978
 after,7959
 format,7946
00,7920
 person,7852
 input,7849
 She,7764
 work,7763
 um,7687
" ""[",7635
 step,7624
"
1",7619
 He,7614
 given,7553
""".",7501
 di,7495
 character,7484
 repeating,7476
don,7467
 In,7413
 6,7377
"]""",7373
 se,7349
 many,7321
The,7321
 tell,7315
 well,7303
 le,7258
 на,7248
 year,7204
 without,7189
 best,7101
 may,7077
 questions,7027
 always,7011
 while,6890
 said,6889
 Please,6771
 take,6751
 type,6733
e,6720
 l,6718
 long,6688
 una,6675
 years,6652
"
2",6650
 Can,6647
 go,6626
 et,6588
 prompt,6581
"
user",6562
 d,6541
 /,6508
No,6478
 consistent,6467
If,6454
6,6446
 industry,6425
 create,6409
 proper,6385
 generate,6374
 die,6352
 <,6335
 NAME_5,6322
 task,6302
 different,6295
 see,6287
 und,6273
 da,6266
",""",6212
 per,6194
d,6169
"
NAME_1",6163
 value,6149
 factually,6145
 description,6145
 #,6139
"
A",6135
 find,6134
 em,6117
 because,6110
 old,6107
 right,6094
 world,6089
 through,6089
 before,6083
"
""",6080
 anything,6033
 going,6021
 Do,6008
+,6001
 word,5993
 three,5986
 why,5971
 No,5962
"
assistant",5954
Yes,5949
 human,5941
':,5941
what,5907
8,5902
 much,5895
10,5890
 man,5889
 short,5875
):,5871
 *,5816
 day,5799
 des,5790
 next,5755
 x,5747
 con,5699
 outputs,5694
 toxic,5637
 back,5622
 set,5616
(),5579
...,5579
7,5569
 es,5568
 Write,5564
 8,5544
it,5542
 game,5526
 context,5513
"
The",5489
 function,5483
 explain,5470
9,5460
 ask,5456
".,",5456
Give,5449
 specific,5429
 even,5418
 above,5380
 20,5378
S,5374
 start,5317
},5310
 possible,5304
 We,5273
C,5259
 single,5236
 7,5231
 end,5226
 last,5202
 For,5188
 &,5185
 here,5174
o,5162
 à,5147
 continue,5122
 \,5098
 introduction,5087
 both,5084
B,5083
);,5078
 did,5078
 life,5062
x,5055
 conversation,5049
 del,5042
|,5029
c,5028
 include,5009
 down,5007
 200,5004
 uma,5002
y,4986
 12,4978
 les,4959
 They,4946
 every,4931
in,4908
 play,4903
 better,4889
 rate,4872
 como,4867
 é,4864
 body,4863
 add,4828
 du,4825
 file,4822
 100,4822
 com,4820
 made,4788
 self,4786
 As,4774
 date,4737
 Your,4721
”,4718
 line,4713
"
3",4706
 table,4693
 show,4691
 never,4668
ll,4657
 class,4654
 role,4653
 der,4650
 sure,4639
 off,4631
000,4629
 product,4611
"
C",4593
 9,4556
 order,4552
 high,4551
Please,4550
 determine,4521
write,4520
"
    ",4470
b,4469
 part,4456
 por,4449
p,4442
ve,4439
 c,4436
How,4411
 descriptive,4357
 things,4329
 act,4320
"
B",4307
 2000,4286
 come,4284
*,4283
 open,4267
 15,4264
 provided,4263
 image,4250
 around,4246
 query,4234
 2023,4226
 option,4200
://,4185
 another,4182
com,4173
 let,4162
"
	",4158
 including,4151
 key,4146
"],",4139
 love,4131
 il,4110
g,4101
 woman,4086
 message,4086
 under,4078
 NAME_6,4055
 try,4048
 girl,4036
 style,4013
 important,3997
 feel,3986
f,3976
"?""",3971
 point,3968
D,3962
 form,3954
 los,3952
 responses,3951
 follow,3951
 change,3951
 non,3942
 too,3941
 program,3928
"(""",3925
.\,3915
，,3866
 someone,3846
"
[",3842
20,3841
 action,3835
 n,3825
Given,3820
 respond,3815
 с,3815
 us,3812
 E,3807
 state,3801
 plan,3799
 characters,3791
 process,3791
 still,3777
 D,3777
as,3770
 DAN,3769
r,3763
 understand,3731
 return,3728
 names,3728
 home,3727
u,3725
 Who,3724
 describe,3723
 little,3713
 during,3709
 S,3700
h,3698
 called,3684
ed,3674
 current,3674
 own,3671
 team,3670
 main,3667
 within,3655
 today,3654
 business,3653
 options,3648
 detailed,3644
 correct,3637
 real,3625
 details,3619
 letter,3613
how,3592
 white,3588
 And,3587
 tool,3587
"
4",3570
ing,3555
 able,3554
 behavior,3532
 look,3525
 30,3525
 не,3518
 black,3515
12,3509
es,3497
 room,3476
 string,3476
 true,3472
 named,3465
 large,3459
 top,3456
 os,3454
"

The",3448
 JSON,3442
 project,3441
11,3440
 command,3427
 free,3415
 na,3410
self,3409
 script,3400
 place,3399
on,3390
 ###,3382
 making,3378
 second,3378
 those,3377
 found,3377
 s,3374
en,3366
N,3364
 chat,3362
 job,3345
 answers,3338
 result,3328
 Let,3323
E,3323
 test,3323
 m,3321
 So,3299
 small,3284
 again,3283
ly,3282
 b,3277
NAME_2,3274
 friends,3270
is,3265
 experience,3265
 si,3264
"
}",3256
k,3254
 problem,3244
"
D",3234
 When,3229
 keep,3225
 request,3219
 others,3218
 water,3212
 Is,3207
 related,3206
Hello,3206
z,3206
l,3203
 But,3202
F,3201
 support,3199
 N,3195
 English,3195
 Here,3190
<,3189
 models,3186
 talk,3184
 sex,3182
 group,3181
 left,3180
 results,3176
 really,3174
 against,3174
hi,3168
 knowledge,3165
 pour,3159
M,3156
 reply,3156
 doing,3151
 object,3122
 las,3117
01,3110
"
S",3109
er,3105
 writing,3100
 put,3098
 products,3097
 service,3097
 great,3096
""",""",3090
 search,3086
 une,3085
 choose,3085
 family,3081
 che,3076
 al,3073
 similar,3070
 full,3070
 T,3063
R,3061
 learning,3060
].,3058
 points,3058
 access,3054
 final,3054
 ChatGPT,3052
 customer,3049
 social,3047
 else,3046
 detail,3044
 wrong,3043
 rules,3037
 Yes,3037
Hi,3036
 11,3033
"
5",3032
 numbers,3032
 whether,3029
 level,3021
v,3013
id,3007
G,3001
hello,2994
 big,2986
"
        ",2979
"
I",2977
&,2977
 video,2976
 M,2974
an,2973
"

[",2973
 means,2967
 case,2963
 O,2961
w,2958
 car,2957
 might,2954
 das,2952
T,2948
"

Summary",2942
 needs,2942
 L,2937
"
NAME_2",2931
 positive,2923
 food,2914
text,2910
 NAME_7,2908
 что,2907
 negative,2902
 original,2900
 less,2900
 school,2899
name,2895
 power,2895
or,2891
 book,2889
 present,2886
 mean,2885
 range,2885
 по,2884
the,2883
 Python,2880
30,2874
 cannot,2873
 days,2873
 Give,2863
2023,2861
""")",2860
..,2860
Can,2859
 simple,2857
 looking,2856
 Answer,2853
 got,2853
"
        self",2851
{,2849
O,2845
"

Document",2843
 etc,2842
 F,2838
 explanation,2838
 control,2833
H,2829
 yourself,2823
 country,2812
 working,2809
 times,2800
 My,2799
L,2792
 There,2786
 check,2784
to,2784
 event,2778
 email,2776
 title,2775
 users,2773
 doesn,2772
25,2762
 R,2761
 для,2760
 bad,2759
 ,2755
 son,2743
"
  ",2742
 call,2738
 –,2728
    ,2725
 kind,2723
 sobre,2720
"
(",2713
23,2704
 run,2704
 topic,2704
 ist,2702
 18,2702
 w,2702
 female,2695
 lot,2694
 available,2692
"
You",2689
 research,2687
 t,2683
15,2682
 Use,2676
 total,2672
 sentiment,2672
Say,2662
 software,2659
 tu,2658
"
 ",2656
"
```",2654
 P,2653
Question,2651
 actions,2642
 13,2640
 face,2639
 scene,2638
 14,2634
 H,2629
 few,2628
 having,2618
 women,2610
 size,2606
 est,2596
os,2587
""":""",2583
P,2582
 since,2580
 history,2580
 sexual,2577
Y,2574
：,2569
 analysis,2566
 multiple,2562
22,2560
 read,2550
type,2549
 ou,2549
 required,2546
`,2541
 training,2540
 dialogue,2518
 G,2518
 development,2517
 design,2516
 events,2512
 statement,2511
j,2507
 friend,2504
"
•",2495
In,2486
 asked,2481
"
            ",2480
 mit,2466
 ich,2465
 relevant,2461
 needed,2458
 male,2457
 app,2456
 China,2450
 field,2449
 instruction,2448
 identify,2447
 until,2444
 tools,2441
50,2441
 hours,2434
"
{",2427
 future,2425
"
P",2424
 16,2421
 known,2420
 zu,2418
 extremely,2417
 To,2413
        ,2413
W,2409
 together,2406
V,2402
$,2402
 away,2399
 values,2384
 Input,2382
 hand,2380
 json,2376
 machine,2374
(',2367
 V,2363
 amount,2358
 inside,2356
 five,2355
"
    """,2355
 care,2354
 getting,2354
 city,2348
。,2345
 art,2345
 share,2344
 everything,2344
 2022,2341
 temperature,2340
#,2327
un,2321
ar,2321
 25,2319
 money,2317
14,2315
"
NAME_3",2315
 wants,2309
" 

",2308
 score,2299
 version,2297
 method,2296
at,2295
 student,2294
 red,2286
 den,2286
16,2285
K,2283
::,2282
</,2277
 account,2275
 te,2274
 potential,2273
 improve,2272
 news,2272
 yes,2270
 paragraph,2270
 young,2269
"!""",2266
 stop,2265
 quality,2265
18,2264
 `,2261
"

Is",2257
 color,2256
 p,2254
 price,2254
 explicit,2250
 k,2250
 ser,2248
U,2247
al,2246
 special,2242
 computer,2240
 instead,2240
 post,2240
 choice,2238
 necessary,2232
 due,2230
"
*",2229
 light,2227
 suitable,2227
 strong,2224
 U,2223
13,2220
 personal,2218
 men,2217
 su,2216
 normal,2212
Your,2211
 space,2209
 age,2207
 eine,2202
'.,2200
div,2199
21,2197
 clear,2193
 eyes,2193
 expert,2191
 tasks,2190
 f,2187
 services,2186
 build,2182
 often,2182
 says,2181
 head,2177
 side,2171
 least,2169
05,2168
 contains,2166
can,2165
Z,2164
 unique,2158
 features,2158
 select,2155
 je,2151
 mais,2148
 K,2147
 Now,2145
 already,2144
 public,2144
 extract,2142
 health,2140
 address,2135
 skills,2133
 hair,2130
 takes,2129
 performance,2127
"
import",2118
 market,2115
 ты,2114
X,2109
 terms,2108
 error,2107
 goal,2107
 von,2104
 That,2103
 nothing,2102
04,2100
 okay,2097
est,2095
GPT,2094
 Which,2094
 area,2091
" {""",2091
 general,2090
 dans,2090
 ),2085
17,2078
 United,2076
 ein,2076
 mind,2075
 u,2075
 source,2074
 lo,2072
 However,2071
 previous,2071
 j,2070
 move,2068
 page,2067
 various,2067
'),2065
 entity,2063
 steps,2060
 Don,2059
am,2058
 application,2058
 taking,2056
100,2054
 solution,2053
end,2052
 structure,2044
 meaning,2044
 reason,2040
 systems,2039
 Co,2039
 internet,2039
 00,2036
ia,2034
 r,2034
 four,2033
 exactly,2028
"
M",2026
 evaluate,2026
 40,2024
 makes,2023
 position,2023
 physical,2021
 não,2019
 cost,2019
 idea,2014
 children,2013
 trying,2010
 patient,2010
 uses,2009
 according,2008
 web,2008
 import,2008
 base,2008
 reasons,2008
 front,2007
 как,2006
 done,2006
 ideas,2003
 texto,2002
 hard,2002
 further,2001
user,2001
 relationship,1996
？,1995
 week,1992
 contain,1988
