token,frequency
.,2952726
",",2715803
 the,2049953
 and,1509740
 to,1298455
 a,1170843
 of,1037815
 is,661517
 in,623945
:,596654
',561050
 that,488017
-,472001
 you,412918
 for,372434
 I,344711
 with,312504
 can,309060
 as,304199
 or,282058
s,281535
" """,272904
 it,267310
 de,260891
 on,252490
 be,246934
 are,239253
 The,210327
),205528
 your,191344
 =,178991
 NAME_1,175108
 (,171184
 have,169656
(,168661
 not,151315
 an,145346
"""",143596
 by,138082
 her,137002
 `,128568
 was,126419
 e,114100
 this,112994
 their,108481
 from,107471
"
*",107128
 la,106430
 used,101977
 use,98278
/,97953
 will,96132
 It,95719
 que,95440
"
```",95431
 but,95034
?,94160
`,92779
 has,92683
 my,92322
 also,91837
 other,91709
 more,91130
 such,88624
 do,88196
 This,86785
 which,86728
 -,85022
 any,84723
 NAME_2,84442
 they,83707
 help,81644
!,80596
t,77551
 may,77225
 its,75845
 data,75522
 his,75441
 me,74923
 she,74805
m,74559
 1,73014
 y,72893
 about,72163
 important,68319
 if,67873
 would,67770
 |,66271
 at,66046
 information,62884
 o,62653
 using,62337
>,62254
 en,62002
 provide,61744
 model,60927
 ',60037
 he,59954
\,59679
 like,59635
 2,59059
1,58964
 we,57447
 language,56050
 un,55964
 new,55823
 all,55189
 para,55053
 make,53420
"
2",53275
 time,52501
;,51446
 including,51112
 there,51038
".""",50826
"
3",50602
 0,50325
2,50061
 could,49291
 example,49281
 di,48859
 AI,48739
"

1",48237
 who,47215
 some,47208
 how,46945
 been,46781
 am,46575
""",",46492
 She,46491
 specific,45940
 code,45622
 had,45442
 into,45401
 them,45393
 company,45374
 {,45216
 chemical,44985
(),44966
 A,44956
 one,44601
 so,44510
 function,44431
"
4",44012
 what,43594
 и,43557
 up,43372
 need,43342
 NAME_3,41820
 each,41527
 products,41482
I,41275
"

The",41210
 him,40997
n,40841
 way,40306
 You,40081
 no,39917
 know,39825
""":",39462
 questions,39046
 different,38259
 el,37998
 out,37838
],37738
 3,37365
 i,36939
 feel,36844
 If,36214
 text,36202
"
5",36029
 se,36009
 create,35977
 were,35944
 +,35918
 range,35665
 number,34992
re,34961
 then,34734
 when,34564
 und,34499
"

#",34389
 una,34211
 these,34202
"',",33881
