token,frequency
",",3376067
Ġthe,2632918
.,2455338
Ġand,1821458
Ġto,1596037
Ġa,1487294
Ġof,1283871
Ġ,1141606
Ġin,840283
Ġis,836699
_,731198
1,645495
:,627203
Ġthat,581006
Ċ,572104
Ġyou,567118
ĠNAME,558588
Ġfor,496527
.ĊĊ,466770
2,443477
ĠI,436368
Ġwith,419418
"Ġ""",412396
Ġas,372042
Ġcan,359479
.Ċ,350494
Ġor,341204
Ġon,338782
Ġit,334641
Ġare,326541
's,323618
Ġde,321457
Ġbe,308484
3,282245
ĠThe,253586
Ġ(,252745
Ġyour,247375
Ġhave,216033
Ġ=,214351
Ġan,206244
Ġnot,203941
4,197346
ĠĠĠ,187783
?,185684
-,183854
),181028
Ġby,179693
0,175462
"""",169901
Ġher,169657
5,169628
Ġthis,160249
Ġwas,160084
Ġfrom,155220
*,151889
Ġe,136883
ĠĠĠĠĠĠĠ,135361
Ġwill,134817
Ġ`,131564
Ġme,130062
Ġdo,128684
Ġla,127872
Ġtheir,127561
:Ċ,126550
Ġmy,124835
Ġ-,122110
Ġbut,118953
Ġmore,118461
Ġhas,118092
Ġque,117823
Ġuse,117032
ĊĊ,116618
Ġif,116282
NAME,116087
Ġabout,114511
:ĊĊ,113881
Ġused,110687
ĠIt,107482
Ġwhich,107152
Ġother,106940
Ġany,106490
Ġalso,104630
Ġthey,102326
Ġ',102235
ĉ,101889
't,101589
6,99561
Ġat,99187
Ġy,97556
Ġsuch,96988
ĠThis,96710
`,95917
The,95331
Ġhis,94752
Ġshe,91944
Ġhelp,91214
!,91159
Ġdata,89726
/,87495
Ġ|,87152
Ġits,86149
Ġwould,84771
Ġmay,84524
Ġlike,82881
Ġwhat,79879
Ġall,79797
I,79183
Ġanswer,79119
Ġhe,78992
Ġo,78843
Ġmodel,78706
Ġen,78622
)Ċ,78553
Ġwe,77035
'm,76962
Ġinformation,76082
Ġun,75200
8,75098
Ġusing,75007
7,73911
Ġnew,73281
Ġimportant,72343
Ġprovide,71873
ĠA,71142
Ġhow,70552
Ġmake,69900
Ġtime,68229
Ġone,68065
10,67072
Ġself,66696
