token,frequency
",",2675157
Ġthe,2050045
.,1935113
Ġand,1510068
Ġto,1299135
Ġa,1173069
Ġof,1037976
Ġ,716386
Ġis,662763
Ġin,625684
_,510341
Ġthat,488030
1,466934
.ĊĊ,421910
Ġyou,412923
Ċ,402245
:,395201
ĠNAME,390596
Ġfor,380294
ĠI,347259
2,329113
Ġwith,313165
Ġcan,309746
Ġas,305011
"Ġ""",292638
Ġor,282573
Ġit,267519
's,264383
.Ċ,263452
Ġde,261818
Ġon,253358
Ġbe,248029
Ġare,239398
ĠThe,213527
3,206755
Ġyour,192176
Ġ=,179333
Ġ(,172738
Ġhave,169660
Ġnot,151854
ĠĠĠ,151803
4,149615
Ġan,146604
*,145164
Ġby,138277
Ġher,137468
Ġ`,128960
"""",127493
5,126807
Ġwas,126582
-,123897
),119116
Ġe,115928
Ġthis,114407
0,112740
ĠĠĠĠĠĠĠ,110209
Ġtheir,108481
Ġfrom,107580
Ġla,106805
:ĊĊ,103694
Ġused,101986
Ġuse,98544
ĠIt,96208
Ġwill,96205
Ġque,95569
Ġbut,95243
Ġmy,94080
:Ċ,93600
`,93165
Ġhas,92786
Ġalso,91862
Ġother,91755
Ġmore,91131
Ġ-,89061
Ġdo,88915
Ġsuch,88684
ĠThis,87102
Ġwhich,86730
ĊĊ,86443
NAME,85219
Ġif,85132
Ġany,84725
Ġy,84173
Ġthey,83707
Ġhelp,81696
The,80457
Ġmay,77418
Ġdata,76470
Ġits,75848
Ġhis,75552
Ġme,75486
!,75083
Ġshe,74881
6,73022
Ġabout,72163
't,70599
Ġ|,70444
?,68925
Ġimportant,68322
Ġwould,67770
Ġ',67488
'm,67160
Ġat,66930
Ġo,64008
Ġen,62996
Ġinformation,62893
```Ċ,62697
Ġusing,62474
)Ċ,61957
Ġprovide,61748
Ġmodel,61612
I,60662
Ġhe,60468
/,60399
Ġnew,60006
Ġlike,59636
ĉ,58658
Ġun,58567
Ġself,57924
Ġwe,57902
Ġlanguage,56073
Ġall,55543
Ġpara,55141
8,54901
ĠĠ,54422
Ġmake,53494
7,53430
Ġtime,52970
Ġincluding,51111
Ġthere,51049
ĠA,50676
Ġdi,49870
Ġcould,49293
Ġexample,49288
ĠAI,48960
Ġam,47616
Ġsome,47251
Ġwho,47227
Ġhow,46978
Ġbeen,46781
ĠShe,46674
10,46204
Ġspecific,46022
Ġcode,45720
In,45681
Ġhad,45476
Ġinto,45408
Ġthem,45403
Ġcompany,45374
Ġso,45084
Ġchemical,45025
Ġfunction,44926
Ġone,44614
ĠÐ¸,43642
Ġwhat,43595
Ġup,43591
Ġneed,43342
(,43086
#,42876
Ġ{Ċ,41644
Ġeach,41532
Ġproducts,41493
Ġhim,41000
9,40381
ĠYou,40365
Ġway,40331
Ġno,40317
Ġknow,39825
Ġquestions,39085
Ġi,38883
Ġout,38574
