token,frequency
",",3370233
Ġthe,2633009
.,2460696
Ġand,1821568
Ġto,1596335
Ġa,1488475
Ġof,1283960
Ġ,1140298
Ġin,840864
Ġis,836885
_,728717
1,645464
:,626266
Ġthat,581006
Ċ,572329
Ġyou,567098
ĠNAME,558588
Ġfor,497193
.ĊĊ,467322
2,443422
ĠI,436782
Ġwith,419418
"Ġ""",412798
Ġas,372291
Ġcan,359817
.Ċ,350140
Ġor,341247
Ġon,339064
Ġit,334588
Ġare,326521
's,323618
Ġde,322688
Ġbe,309546
3,282149
ĠThe,253934
Ġ(,252540
Ġyour,247376
Ġhave,216033
Ġ=,214326
Ġan,206949
Ġnot,205100
4,197346
-,191181
ĠĠĠ,187799
?,184834
),180811
Ġby,179938
0,175462
"""",175241
Ġher,170107
5,169628
Ġthis,160249
Ġwas,160020
*,159329
Ġfrom,155242
Ġ`,138539
Ġe,137509
ĠĠĠĠĠĠĠ,135316
Ġwill,134815
Ġme,130092
Ġdo,128861
Ġla,128064
Ġtheir,127561
:Ċ,127478
Ġmy,125289
Ġ-,122009
Ġbut,118953
Ġmore,118446
Ġhas,118139
Ġque,117815
Ġuse,117024
Ġif,116400
ĊĊ,116153
NAME,115973
Ġabout,114511
:ĊĊ,113913
Ġused,110687
ĠIt,107482
Ġother,107238
Ġwhich,107152
Ġany,106387
Ġalso,104630
Ġthey,102326
Ġ',102041
't,101589
`,101013
6,99561
Ġat,99366
Ġy,97990
Ġsuch,96988
ĠThis,96710
The,95483
Ġhis,94818
ĉ,93140
Ġshe,92140
!,91600
Ġhelp,91323
Ġdata,89674
Ġ|,87382
Ġits,86149
Ġwould,84785
Ġmay,84524
/,82996
Ġlike,82881
Ġwhat,79879
Ġall,79720
Ġo,79282
)Ċ,79174
Ġhe,79155
Ġanswer,79119
Ġmodel,78959
Ġen,78853
I,78315
Ġwe,77520
'm,76962
Ġun,76613
Ġinformation,76069
Ġusing,75007
8,74928
7,73911
Ġnew,73183
ĠA,73130
Ġimportant,72343
Ġprovide,71873
Ġhow,70611
Ġmake,69900
Ġtime,68135
Ġone,68065
10,67072
Ġself,66772
Ġpara,66032
Ġlanguage,65964
(,65919
Ġthere,65541
ĠYou,65522
Ġtext,64324
```Ċ,64292
Ġcode,64212
Ġno,63343
Ġwho,63173
Ġso,62896
ĠĠ,61755
Ġsome,61600
Ġup,60150
Ġinto,60115
Ġam,60101
s,59897
ĠAI,59617
Ġthem,59312
Ġi,59077
""":",59016
Ġshould,58118
Ġdi,57960
Ġcould,57699
Ġexample,57434
Ġbeen,57229
Ġwhen,56802
9,56799
Ġneed,55486
Ġincluding,55266
ĠShe,54845
Ġeach,54761
Ġhad,54733
Ġonly,54679
Ġcompany,54647
Ġchemical,54520
uuuu,53628
Ġbased,53165
ĠÐ¸,53009
Ġknow,52219
Ġout,51781
Ġspecific,51776
""",",51699
',51630
Ġ{Ċ,51189
Ġsystem,51044
In,50774
a,50760
ĠĊ,50630
Ġfunction,50562
Ġhim,50019
Ġway,49694
ĠĠĠĠĠĠĠĠĠĠĠ,49628
#,48857
Ġwant,47967
Ġel,47565
ĠIf,47314
"',",47177
Ġthen,46981
Ġthan,46838
Ġwere,46718
Ġover,46130
Ġquestions,46121
Ġ[,45673
Ġnumber,45210
Ġse,45007
i,44957
Ġdifferent,44618
Ġproducts,44586
Ġ+,44514
Ġfollowing,43862
",Ċ",43761
Ġjust,43164
ĠIn,42940
Ġcreate,42845
Ġthese,42624
're,42569
Ġ<,42448
;Ċ,41982
ĠHe,41298
Ġund,41067
Ġuna,41026
Ġfeel,40867
Ġwell,40772
Ġpeople,40665
A,40463
Ġbetween,40293
],40240
Ġum,39977
Ġtwo,39709
Ġsay,39257
Ġthrough,39113
Ġname,39017
Ġbest,38729
Ġwords,38682
Ġwhile,38667
Ġrange,38564
Ġsame,38474
>,38427
```,38184
Ġfirst,38135
ĠÐ²,37921
Ġprocess,37884
Ġour,37713
Ġmust,37690
Ġget,37548
Ġfile,37329
ĠAs,37239
Ġwork,36909
ĠThey,36878
Ġx,36705
Ġmost,36521
ĠC,36382
Ġ#,36057
Ġbeing,36032
Ġdon,35746
Ġhere,35597
20,35537
ĠHere,35501
Ġquestion,35488
Ġmany,35390
202,35314
Ġworld,35256
ĠHowever,35080
ĠÃ©,34901
Ġwhere,34788
\n,34770
Ġuser,34767
Ġper,34493
[,34113
x,33867
"),",33864
Ġlist,33859
>Ċ,33850
Ġes,33743
Ġhigh,33492
Ġl,33318
Ġet,33313
You,33063
|,33058
Ġtake,32866
Ġem,32528
Ġset,32501
Ġvalue,32341
Ġbody,32309
Ġindustry,32062
Ġalways,31889
"=""",31715
Ġdes,31700
Ġfind,31500
Ġproduction,31417
Ġle,31410
Ġdie,31217
ĠB,31010
?Ċ,30952
ĠĠĠĠĠ,30941
"(""",30800
Ġsomething,30771
"""Ċ",30770
ing,30765
ĠWhat,30703
n,30674
Ġgood,30523
12,30092
Ġpossible,29794
Ġinput,29729
Ġreturn,29606
Ġd,29524
Ġuma,29368
Ġ$,29338
)ĊĊ,28971
Ġsee,28894
Ġboth,28855
Ġtype,28693
Ġinclude,28682
Ġda,28432
As,28362
Ġkey,28346
=,28291
ĠPython,28104
Ġdel,27842
".""",27824
100,27778
Ġcontent,27713
Ġvarious,27709
):Ċ,27451
ĠHow,27390
Ġgame,27298
Ġown,27270
",""",27198
;,27113
p,27018
Ġ*,27004
Ġperson,26856
ar,26856
o,26809
Ġlet,26730
It,26541
Ġcomo,26437
Ġmethod,26349
Ġunderstand,26342
Ġcon,26325
200,26318
This,26195
en,26136
Ġable,26038
B,25919
e,25919
Ġlife,25881
Ġknown,25808
ed,25782
Ġproduct,25757
Ġbefore,25523
Ġday,25455
\_,25340
ĠFor,25326
Ġdoes,25311
C,25221
Ġhuman,25129
Ġoutput,25072
es,24913
Ġdevelopment,24832
Ġgenerate,24793
Ġgive,24777
'll,24756
Ġ|Ċ,24749
Ġil,24719
D,24700
Ġplease,24667
Ġnow,24665
Ġlearning,24600
Ġresponse,24523
Ġstory,24387
y,24230
Ġensure,24216
000,24214
Ġles,24173
Ġassistant,23892
Ġsure,23889
Ġdown,23875
b,23857
00,23816
Ġder,23712
os,23602
Ġsupport,23450
Ġaround,23415
Ġ/,23341
Ġlong,23307
as,23301
11,23256
Ġpotential,23092
Ġcontext,23088
()Ċ,23056
ĠÐ½Ð°,23009
Ġmade,23001
Ġpersonal,22974
Ġwithout,22943
c,22940
Ġback,22909
Ġlos,22885
Ġexperience,22867
Ġeven,22791
Ġability,22753
import,22751
Ġwide,22705
</,22693
Ġinstructions,22616
d,22551
Ġlove,22507
ĠÃł,22502
in,22266
ĠWe,22240
Ġ:,21970
Ġcontrol,21925
Ġaccess,21888
Ġclass,21725
).,21680
Ġcom,21616
Ġche,21598
Hello,21594
15,21497
Ġstart,21493
Ġsorry,21470
""",Ċ",21440
Ġlarge,21372
50,21331
Ġassist,21314
201,21261
Ġdocument,21259
Ġtry,21256
To,21241
Ġyears,21101
Ġvariety,21088
Ġcome,21069
Ġneeds,20965
Ġanything,20958
%,20874
m,20872
Ġmaking,20785
Ġpor,20784
Ġnever,20769
Ġservices,20683
Ġothers,20499
ĠS,20490
Ġapplications,20479
Ġafter,20463
Ġ.,20456
Ġcurrent,20441
Ġwrite,20393
".""ĊĊ",20375
Ġzu,20369
Ġright,20365
âĢ¢,20279
Ġquality,20231
(self,20225
Ġman,20195
Ġcommand,20163
Ġresearch,20102
ĠD,20061
Ġstill,19982
Ġnext,19927
Ġsummary,19921
Ġoften,19888
Ġbecause,19825
Here,19783
Ġsaid,19741
Ġtraining,19627
Ġpower,19568
Ġopen,19556
S,19483
ĠĊĊ,19465
Ġseveral,19370
':,19344
å®ĥ,19343
Ġteam,19299
er,19294
25,19261
Ġimprove,19206
Ġgo,19150
Ġvalues,19109
Ġnon,19104
Ġbetter,19092
ĠP,19083
Ġask,19078
Ġperformance,19029
Ġform,19025
t,19015
Ġimage,19002
ĠT,18999
Ġstring,18992
Ġcustomer,18911
z,18892
u,18866
]Ċ,18852
Ġtoday,18792
Ġ//,18760
Ġsize,18746
13,18739
Ġcharacter,18700
Ġend,18616
f,18525
);Ċ,18411
Ġservice,18342
Ġstrong,18306
an,18293
Ġcannot,18255
Ġvery,18191
Ġelse,18075
Ġmodels,18070
Ġsoftware,18067
If,18064
+,18054
Ġgiven,17983
Ġstep,17982
Ġbelow,17966
Ġpour,17942
Ġtogether,17934
Ġsocial,17911
Ġfound,17899
Ġobject,17894
Ġou,17890
Ġdef,17876
Ġwater,17857
Ġprogram,17815
Ġhand,17811
Ġtasks,17745
30,17722
Ġnote,17708
Ġthink,17604
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,17602
Ġ\,17589
Ġmight,17582
Ġenergy,17558
Ġprovided,17478
Ġfactors,17461
Ġfree,17446
Ġsense,17420
Ġcontinue,17413
Ġexamples,17410
h,17350
Ġresult,17331
Ġfew,17273
><,17226
()`,17190
Ġchange,17035
Ġavailable,17001
Ġknowledge,16985
Ġ}Ċ,16981
Ġus,16928
Ġsteps,16928
ĠLet,16915
Ġadd,16893
Ġpart,16889
Ġstate,16887
Ġb,16872
ĠÑģ,16840
Ġoff,16837
Ġfocus,16837
Ġmuch,16831
Ġn,16817
Ġresponses,16783
Ġser,16772
Ġsystems,16696
Ġproject,16670
Ġos,16661
Ġgroup,16660
(',16561
(),16548
Ġagainst,16537
Ġnatural,16526
Ġword,16513
Ġsentence,16466
Ġsmall,16463
Ġdas,16460
Ġfeatures,16422
Ġgoing,16393
it,16392
python,16392
ĠThese,16351
Ġorder,16340
ĠPlease,16328
Ġbusiness,16312
ĠF,16295
Ġdesigned,16253
ĠL,16243
ĠN,16218
div,16198
Ġline,16177
Ġappropriate,16079
ĠM,16070
Ġmain,16033
Ġthings,15997
Ġmessage,15996
Ġinvolves,15975
Ġest,15957
Ġhealth,15955
Ġtable,15952
Ġcomplex,15947
16,15943
Ġeyes,15932
21,15873
Ġcustomers,15867
Ġc,15862
Ġimpact,15846
""".",15845
ĠR,15844
Ġcalled,15834
Ġhelpful,15806
Ġ{,15756
".""Ċ",15747
14,15706
...,15681
Ġcomplete,15639
Ġkeep,15639
Ġformat,15630
P,15627
Ġcompletion,15625
Ġcorrect,15624
Ġrole,15606
Ġuses,15596
Ġunique,15584
ĠMy,15579
Ġusers,15578
Ġenvironment,15568
Ġplace,15549
user,15546
've,15467
are,15455
ado,15423
k,15405
ĠBut,15400
Ġphysical,15400
Ġmeans,15391
What,15380
Ġmachine,15372
ĠÐ´Ð»Ñı,15359
M,15353
Ġ``,15353
ĠUse,15324
Ġfield,15321
Ġevery,15286
Ġunderstanding,15285
Ġknew,15271
ĠTo,15233
Ġtoo,15221
Ġlooking,15212
Ġduring,15194
Ġcase,15185
ĠG,15169
ĠO,15169
r,15163
Ġplay,15160
Ġpython,15134
Ġallows,15058
Ġprovides,15015
Ġtechnology,14918
Ġpoint,14897
Ġproviding,14879
Ġreal,14870
Ġdu,14863
Ġidea,14859
Ġist,14851
Ġfeeling,14842
Ġprint,14832
18,14798
Write,14747
Ġlas,14674
".,",14649
assistant,14642
ĠE,14637
Ġgreat,14589
Ġrun,14583
Ġanother,14561
Ġtask,14529
ĠNo,14524
}Ċ,14524
Ġhappy,14502
Ġplan,14397
H,14370
Ġsexual,14346
Ġbehavior,14343
F,14331
ic,14328
ĠÃ¨,14327
al,14321
Ġyear,14266
Ġnetwork,14214
?ĊĊ,14211
Ġwithin,14210
ĠK,14161
on,14124
Ġ==,14124
Ġsu,14104
Ġthose,14084
th,14079
ĠÐ½Ðµ,14076
Ġhope,14065
l,14063
Ġtest,14046
Ġdate,14025
Ġscript,14017
Ġface,13986
no,13970
Ġgeneral,13967
Ġweb,13911
Ġthing,13865
Ġresources,13861
ĠCan,13858
Ġdetermine,13852
Ġhome,13795
Ġsafety,13793
is,13750
Ġcause,13745
ĠThere,13732
Ġpositive,13722
ĠH,13706
Ġfood,13697
Ġtell,13675
Ġtrained,13666
Ġmaterials,13664
Please,13626
Ġfuture,13623
Ġlevel,13622
Ġprompt,13621
Ġlook,13620
Ġtrue,13614
ĠIs,13612
ĠAdditionally,13596
Ġconsider,13588
Ġshow,13556
print,13545
Ġarticle,13528
ĠvocÃª,13513
Ġskills,13507
Ġna,13504
Ġthree,13499
Ġsimple,13486
T,13480
Ġrate,13458
Ġagain,13412
Ġlearn,13411
Ġnumbers,13363
Ġoptions,13351
Ġpublic,13346
Overall,13346
ers,13337
Ġsomeone,13333
Ġal,13288
Ġfurther,13260
Ġpopular,13255
Ġmind,13232
g,13224
Ġtakes,13218
Ġrequest,13207
am,13167
Ġlead,13148
Ġindividuals,13143
Ġfinal,13115
()ĊĊ,13115
Ġcouldn,13104
://,13100
Ã©,13061
Ġsi,13051
Ġpode,13045
Ġclear,13032
Ġwoman,13014
Ġp,13011
Ġk,13009
Ġtypically,13009
Ġversion,12989
"Ġ,",12979
Ġtools,12960
Ġapplication,12954
Ġworking,12951
Ġbuilding,12944
Ġtool,12929
Ġunder,12904
Ġincludes,12900
Ġs,12871
v,12857
Ġcity,12849
or,12843
ĠAnd,12826
Ġsentences,12809
Ġf,12796
Ġchemicals,12791
Ġfollow,12773
ia,12766
Ġsignificant,12717
id,12716
Ġdifficult,12711
ly,12677
Ġcheck,12659
Ġtypes,12639
Ġsend,12629
Ġapp,12624
Yes,12572
Ġcomputer,12565
Ġlittle,12556
Ġdesign,12497
ĠSome,12484
Ġways,12469
Ġmeet,12464
Ġpleasure,12461
Ġsingle,12456
Ġbecome,12435
ĠASSISTANT,12431
Ġdid,12424
if,12413
Ġmarket,12413
Ġwhy,12411
Ġfelt,12401
19,12379
Ġm,12330
Ġimport,12330
Ġnecessary,12290
Ġcare,12289
ĠV,12258
Ġune,12238
Ġamount,12203
L,12202
Ġstatement,12202
Ġproblem,12181
Ġcolor,12171
Ġmanagement,12171
at,12168
ate,12150
Ġcharacters,12144
""")Ċ",12139
Ġlast,12131
Ġsearch,12122
Ġrelated,12107
Ġhistory,12103
Ġresults,12072
Ġreaction,12069
ĠÑĩÑĤÐ¾,12068
N,12052
Ġvon,12048
V,12033
Ġ?,12030
Ġconsistent,12029
Ġdifficulty,12020
Ġcertain,12010
j,11988
Ġtrying,11972
Ġsobre,11939
Ġanalysis,11923
ada,11914
Ġacid,11900
G,11891
\,11878
Ġprogramming,11859
Ġv,11821
ĠCreate,11811
Ġcommon,11807
Ġt,11787
Ġroom,11777
Ġallowed,11773
Ġsafe,11753
},11725
Ġleft,11714
Ġaddition,11713
Ġhead,11707
st,11703
Ġmultiple,11695
Ġcompound,11675
Ġold,11673
17,11661
w,11657
li,11637
Ġtop,11635
