Token,Frequency
",",696251
Ġthe,582708
.,519015
Ġ,423673
Ġa,314043
Ġand,311418
Ġto,296762
Ġof,245761
:,230091
_,218133
Ġin,214449
1,178439
Ġis,173835
Ċ,168782
ĠNAME,167867
Ġyou,154175
"Ġ""",119597
Ġfor,116278
?,115922
2,114327
Ġwith,106227
Ġthat,92963
ĠI,89057
Ġare,87113
.Ċ,86740
Ġon,85433
Ġ(,79768
3,75436
Ġit,67071
Ġas,66926
0,62719
),60429
Ġbe,60420
-,59717
Ġde,59711
Ġan,59545
's,59234
Ġor,58557
Ġanswer,58423
Ġyour,55200
Ġme,54574
Ġnot,52153
Ġcan,49751
4,47720
Ġfrom,47622
Ġhave,46366
Ġthis,45839
.ĊĊ,44793
5,42799
Ġabout,42347
"""",41674
Ġby,41374
ĠThe,40073
Ġdo,39773
ĉ,38640
Ġwill,38581
Ġwhat,36282
ĠĠĠ,35980
Ġ=,34984
Ġ',34523
Ġwas,33430
Ġ-,32988
:Ċ,32837
Ġonly,32585
Ġher,32231
Ġat,32176
Ġif,31156
't,30990
NAME,30770
Ġmy,30705
ĊĊ,29531
ĠĊ,28771
Ġwords,27655
Ġmore,27308
Ġsay,26740
6,26524
Ġhas,25303
ĠĠĠĠĠĠĠ,25149
ĠYou,25148
Ġfollowing,25018
Ġtext,24805
Ġshould,24648
Ġall,24127
/,24052
Ġbut,23708
Ġhow,23510
Ġone,23449
Ġlike,23245
Ġmust,23147
Ġno,22871
""":",22790
Ġque,22234
Ġbased,22202
Ġwhen,22175
Ġsame,21816
Ġany,21694
Ġla,21058
Ġe,20888
10,20866
Ġsystem,20660
""",",20644
7,20473
Ġwhich,20411
ĠA,20328
Ġi,20181
8,20111
Ġhis,19206
Ġwe,19142
Ġtheir,19072
Ġthey,18613
Ġuse,18477
Ġcode,18438
Ġhe,18412
Ġinstructions,18333
Ġthan,18278
Ġassistant,18209
Ġ[,17900
I,17639
You,17605
9,17250
Ġmodel,17119
Ġshe,17074
Ġwould,17012
ĠWhat,16802
Ġ|,16698
)Ċ,16574
Ġso,16552
Ġmake,16406
Ġun,16372
Ġup,16254
202,16159
Ġwho,15944
!,15861
Ġbelow,15749
?Ċ,15746
"',",15734
Ġen,15608
a,15321
Ġtime,15216
Ġother,15190
Ġcompletion,14958
200,14868
The,14781
Ġwant,14763
Ġo,14728
Ġinto,14704
],14650
(,14608
s,14560
Ġthere,14506
Ġsome,14379
',14297
;,14127
Ġgive,14074
Write,14000
Ġthem,13916
Ġname,13911
Ġsomething,13744
Ġquestion,13676
Ġpython,13624
Ġwrite,13595
A,13402
Ġy,13287
Ġeach,13229
Ġdata,13218
Ġnew,13180
Ġinformation,13172
n,13102
Ġtwo,12821
Ġalso,12765
Ġout,12709
Ġ.,12533
Ġusing,12529
Ġfirst,12461
Ġknow,12395
Ġuser,12292
00,12258
Ġthen,12247
50,12246
Ġ:,12064
Ġneed,12059
"Ġ,",11965
Ġstory,11930
Ġover,11858
Ġjust,11645
ĠIt,11273
Ġget,11192
Ġlist,11150
ĠĠĠĠĠĠĠĠĠĠĠ,11140
Ġnow,11043
Ġsentences,11024
're,10951
Ġpara,10897
ĠC,10854
",Ċ",10776
ĠIf,10717
Ġwere,10712
Ġdocument,10678
ĠAI,10640
"),",10609
i,10455
Ġbeen,10443
Ġam,10429
Ġmost,10339
Ġits,10299
Ġdon,10198
:ĊĊ,10151
Ġprovide,10125
Ġwhere,10119
ĠÐ²,10106
ĠB,10102
Ġnumber,10023
Ġbetween,9921
What,9904
Ġlanguage,9893
Ġpeople,9838
B,9836
ĠHow,9812
'm,9802
20,9721
100,9706
12,9668
Ġ?,9648
ĠThis,9604
Ġ$,9585
Ġ{Ċ,9545
Ġhelp,9525
Ġsummary,9496
Ġchemical,9495
Ġcomplete,9491
Ġresponse,9483
Ġdoes,9421
Ġthing,9407
no,9383
Ġway,9375
Ġ<,9374
%,9288
Ġcompany,9274
Ġsend,9254
ĠÐ¸,9253
Ġhad,9251
Ġel,9240
Ġour,9209
C,9209
Ġsentence,9163
Ġgood,9087
Ġallowed,9086
[,9083
Ġhim,9014
Ġvery,8895
Ġplease,8853
your,8779
Ġself,8734
