token,frequency
",",2673844
Ġthe,2050152
.,1941584
Ġand,1510150
Ġto,1299531
Ġa,1174373
Ġof,1038081
Ġ,716591
Ġis,663005
Ġin,626346
_,510458
Ġthat,488030
1,466919
.ĊĊ,422523
Ġyou,412923
Ċ,403547
:,396174
ĠNAME,390596
Ġfor,380882
ĠI,347725
2,329084
Ġwith,313165
Ġcan,310062
Ġas,305347
"Ġ""",293201
Ġor,282682
Ġit,267513
's,264383
.Ċ,263394
Ġde,262977
Ġon,253612
Ġbe,249120
Ġare,239396
ĠThe,213842
3,206705
Ġyour,192176
Ġ=,179342
Ġ(,172716
Ġhave,169660
*,153036
Ġnot,152938
ĠĠĠ,151819
4,149615
Ġan,147394
Ġby,138544
Ġher,137869
Ġ`,135790
"""",133567
-,131457
5,126807
Ġwas,126582
),120359
Ġe,116621
Ġthis,114407
0,112740
ĠĠĠĠĠĠĠ,110167
Ġtheir,108481
Ġfrom,107613
Ġla,107006
:ĊĊ,103762
Ġused,101986
Ġuse,98543
`,98266
Ġwill,96234
ĠIt,96208
Ġque,95581
Ġbut,95243
:Ċ,94617
Ġmy,94584
Ġhas,92832
Ġother,92048
Ġalso,91862
Ġmore,91129
Ġdo,89088
Ġ-,89021
Ġsuch,88684
ĠThis,87102
Ġwhich,86730
ĊĊ,86622
Ġif,85242
NAME,85202
Ġy,84703
Ġany,84693
Ġthey,83707
Ġhelp,81798
The,80697
Ġmay,77418
Ġdata,76449
Ġits,75848
!,75739
Ġhis,75612
Ġme,75518
Ġshe,75065
6,73022
Ġabout,72163
Ġ|,70684
't,70599
?,68912
Ġimportant,68322
Ġwould,67770
Ġ',67518
Ġat,67180
'm,67160
Ġo,64554
Ġen,63245
Ġinformation,62892
```Ċ,62697
)Ċ,62600
Ġusing,62474
Ġmodel,61839
Ġprovide,61748
Ġhe,60743
I,60676
Ġun,60241
Ġnew,60003
Ġlike,59636
/,58932
Ġwe,58376
Ġself,58037
Ġlanguage,56068
Ġall,55590
Ġpara,55135
8,54816
ĉ,54500
ĠĠ,54371
Ġmake,53494
7,53430
uuuu,53096
Ġtime,52913
ĠA,52795
(,51311
Ġincluding,51111
Ġthere,51032
Ġdi,50178
Ġam,49672
Ġcould,49291
Ġexample,49288
ĠAI,48973
Ġwho,47223
Ġsome,47219
Ġhow,47100
Ġbeen,46781
ĠShe,46705
In,46476
Ġso,46344
Ġspecific,46322
10,46204
Ġcode,45774
Ġhad,45476
Ġinto,45408
Ġthem,45395
Ġcompany,45373
s,45332
Ġchemical,45025
Ġfunction,44914
Ġone,44614
Ġup,43892
ĠÐ¸,43756
Ġwhat,43595
#,43556
Ġneed,43424
Ġ{Ċ,41644
Ġeach,41532
Ġproducts,41491
Ġhim,41005
Ġno,40472
ĠYou,40374
Ġway,40319
Ġknow,39824
9,39548
Ġtext,39519
Ġquestions,39085
Ġout,39072
Ġi,38895
ĠĠĠĠĠĠĠĠĠĠĠ,38488
Ġel,38325
Ġdifferent,38295
Ġse,37730
',37332
Ġfeel,36876
```,36740
ĠIf,36597
Ġ+,36362
Ġcreate,36317
""":",36226
Ġwere,35991
Ġrange,35676
a,35438
Ġnumber,35184
ĠIn,34828
Ġthen,34734
Ġund,34711
Ġwhen,34625
i,34498
Ġuna,34296
Ġover,34269
Ġthese,34202
Ġprocess,34027
;Ċ,33503
Ġshould,33470
Ġwell,33442
ĠHe,33236
Ġwant,33204
Ġ<,33072
Ġthrough,33039
",Ċ",32985
ĠHowever,32967
Ġfile,32349
ĠHere,32202
ĠAs,32153
Ġum,32090
ĠThey,31716
're,31618
Ġbest,31569
Ġjust,31518
Ġwhile,31484
"',",31443
>,31185
""",",31055
Ġbased,30960
Ġpeople,30826
Ġhere,30468
Ġsystem,30382
Ġbetween,30370
Ġproduction,30253
ĠÃ©,29702
Ġx,29665
Ġworld,29149
Ġwork,29092
Ġhigh,28919
Ġthan,28550
Ġour,28504
>Ċ,28192
Ġmany,28061
Ġes,27908
Ġper,27862
ĠÐ²,27815
Ġbeing,27802
Ġ#,27769
Ġ[,27754
Ġbody,27375
\n,27367
A,27058
Ġtwo,26886
|,26809
Ġet,26749
"(""",26683
Ġset,26551
Ġget,26356
Ġem,26216
As,26181
Ġmost,26176
Ġtake,26107
Ġvalue,26053
x,25819
20,25815
Ġl,25698
Ġfirst,25665
Ġvarious,25641
Ġindustry,25635
],25588
Ġdon,25548
ĠC,25528
Ġdes,25446
)ĊĊ,25420
\_,25340
Ġfind,25311
ĠPython,25189
Ġname,25106
[,25030
Ġalways,24878
Ġdie,24812
ĠĠĠĠĠ,24725
Ġwhere,24668
It,24581
Ġpossible,24480
Ġuma,24355
Ġkey,24107
Ġmethod,24008
):Ċ,23824
Ġle,23805
Ġboth,23763
"=""",23750
ing,23704
Ġinclude,23660
Ġown,23598
"""Ċ",23559
Ġ|Ċ,23519
This,23433
Ġknown,23383
"),",23246
Ġreturn,22930
Ġlist,22709
Ġdel,22621
Ġsee,22605
Ġunderstand,22591
Ġable,22479
Ġuser,22475
Ġensure,22381
Ġdevelopment,22313
Ġda,22091
Ġonly,22091
Ġlet,22074
Ġd,21976
ĠĊ,21852
Ġquestion,21811
Ġtype,21811
Ġgame,21689
Ġinput,21671
Ġcomo,21569
ar,21561
Ġlearning,21515
Ġgood,21436
Ġwide,21426
",""",21060
Ġability,21054
Ġproduct,21034
ĠB,20907
'll,20901
()Ċ,20874
Ġpotential,20817
Ġlife,20812
Ġanswer,20696
Ġ*,20689
Ġpersonal,20686
en,20507
Ġil,20493
Ġcon,20473
=,20440
Ġvariety,20429
12,20420
Ġsorry,20387
Ġassist,20315
Ġsupport,20244
".""",20195
import,20047
p,19995
ĠFor,19902
o,19851
</,19772
Ġ$,19753
Ġday,19636
Ġexperience,19599
Ġcontent,19528
To,19524
es,19437
Ġbefore,19436
Ġapplications,19385
å®ĥ,19343
Ġsure,19250
ed,19201
Ġhuman,19178
Ġaround,19169
202,19153
Ġles,19120
".""ĊĊ",19063
Ġcontrol,19046
Ġder,18985
Ġlos,18926
Ġperson,18871
Ġfollowing,18842
Ġdown,18831
Ġaccess,18778
os,18578
Ġservices,18497
Ġche,18458
Hello,18361
Ġlove,18348
Ġgenerate,18319
Ġmade,18201
100,18072
(self,18044
Ġneeds,18021
Ġquality,17965
Ġzu,17912
Ġlarge,17903
y,17833
as,17761
Here,17748
Ġoften,17705
ĠHow,17578
n,17571
Ġcontext,17544
e,17470
Ġseveral,17454
Ġresearch,17413
Ġmaking,17406
Ġeven,17366
ĠÃł,17347
Ġothers,17280
()`,17190
000,17186
Ġback,17134
Ġtraining,17075
Ġsomething,17027
Ġtry,17003
Ġclass,16962
D,16953
Ġimprove,16928
Ġperformance,16898
Ġcome,16784
Ġvalues,16720
Ġcommand,16703
Ġcurrent,16668
Ġpower,16667
Ġsame,16658
ĠWe,16633
âĢ¢,16596
Ġ/,16565
Ġcom,16553
Ġfactors,16548
Ġlong,16517
Ġoutput,16513
Ġnote,16393
Ġpor,16248
Ġstill,16197
><,16192
Ġsize,16107
Ġnever,16100
B,16083
Ġstrong,16079
C,16012
Ġstart,15981
in,15947
ĠÐ½Ð°,15932
Ġdoes,15889
""",Ċ",15873
Ġcustomer,15826
python,15824
b,15815
Ġplease,15814
c,15783
Ġ//,15782
Ġwithout,15743
Ġdef,15704
Ġteam,15629
Ġsense,15594
Ġenergy,15578
Ġtasks,15542
Ġtogether,15525
Ġhand,15492
You,15458
Ġinvolves,15429
Ġsoftware,15408
Ġcannot,15382
Ġstring,15366
Ġou,15298
Ġservice,15240
?Ċ,15206
Ġopen,15196
Ġnon,15160
Ġtoday,15138
11,15130
Ġfocus,15074
Ġresponse,15040
d,15039
Ġanything,14923
Ġmodels,14880
Ġform,14870
Ġdesigned,14869
ĠThese,14859
);Ċ,14856
Ġsteps,14842
Ġsocial,14834
Ġ``,14827
Ġcomplex,14756
Ġpour,14732
z,14725
Ġimage,14660
Ġsystems,14657
Ġfew,14643
Ġwater,14627
Ġmight,14623
Ġhelpful,14573
Ġknew,14565
Ġnatural,14556
ĠD,14546
Ġmust,14542
Ġobject,14535
Ġfound,14514
Ġelse,14485
Ġappropriate,14466
Ġcustomers,14449
Ġyears,14444
Ġser,14436
m,14417
25,14355
ĠP,14344
er,14342
Ġavailable,14309
ĠS,14278
Ġfeatures,14259
div,14226
Ġright,14216
Ġbetter,14174
Ġnext,14173
Ġimpact,14172
Ġman,14130
Ġallows,14092
(',14027
S,13992
Ġfree,13975
(),13960
Ġprogram,13925
ĠWhat,13901
Ġenvironment,13887
).,13834
ĠT,13828
Ġknowledge,13803
Ġhealth,13801
t,13798
15,13794
an,13759
Ġresult,13755
Ġeyes,13721
Ġ}Ċ,13704
Ġbecause,13694
':,13679
Ġ\,13653
Ġunderstanding,13643
Ġnow,13621
Ġask,13616
Ġuses,13579
Ġproviding,13499
Ġdas,13495
Ġgroup,13445
ĠLet,13439
Ġprovides,13420
Ġunique,13407
u,13380
Ġphysical,13365
Ġagainst,13363
Ġos,13294
201,13289
Ġprovided,13206
Ġsmall,13184
Ġproject,13183
Ġfeeling,13150
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,13145
Overall,13138
Ġtechnology,13086
Ġhope,13082
Ġchange,13058
Ġstate,13005
Ġmachine,12996
;,12985
Ġest,12984
Ġhappy,12979
Ġend,12968
Ġus,12902
Ġsaid,12842
Ġidea,12842
Ġprint,12837
ĠAdditionally,12836
Ġresponses,12829
Ġsafety,12828
Ġfield,12820
are,12806
Ġusers,12798
print,12792
f,12768
Ġmaterials,12755
+,12713
ĠTo,12703
Ġresources,12663
Ġbusiness,12639
ĠMy,12633
ĠÃ¨,12596
ĠÐ´Ð»Ñı,12589
Ġchemicals,12574
Ġtypically,12535
ĠUse,12535
Ġsay,12517
ĠÑģ,12493
Ġgo,12485
Ġafter,12480
Ġtrained,12465
Ġstory,12457
ado,12445
ĠASSISTANT,12431
Ġmeans,12421
Ġkeep,12409
Ġcouldn,12409
've,12367
Ġlooking,12354
Ġnetwork,12334
Ġpart,12323
Ġmain,12281
h,12270
Ġcontinue,12233
Ġn,12208
Ġ==,12204
()ĊĊ,12203
Ġindividuals,12160
Ġcalled,12150
Ġplace,12144
Ġconsider,12140
Ġoff,12123
Ġist,12121
13,12046
Ġpode,12030
ĠBut,12028
Ġcase,12025
Ġcause,12022
Ġcorrect,11981
Ġpopular,11929
Ġadd,11920
