token,frequency
",",3377294
Ġthe,2633114
.,2436672
Ġand,1821753
Ġto,1597216
Ġa,1495187
Ġof,1284478
Ġ,1137070
Ġin,846255
Ġis,836928
_,709794
1,645464
:,632175
Ġthat,581006
Ċ,573403
Ġyou,567116
ĠNAME,558569
Ġfor,499228
.ĊĊ,467485
2,443422
ĠI,436933
Ġwith,419439
"Ġ""",412202
Ġas,373424
Ġcan,360084
.Ċ,351169
Ġor,341892
Ġon,339211
Ġit,334967
Ġare,326661
Ġde,326085
's,323618
Ġbe,310690
3,282149
ĠThe,253477
Ġ(,252683
Ġyour,247379
-,224199
Ġhave,216030
Ġ=,214143
Ġan,208991
Ġnot,206494
4,197346
ĠĠĠ,187656
?,186033
),184111
"""",181336
Ġby,180309
0,175462
Ġher,170602
5,169628
Ġthis,160249
Ġwas,159901
*,158148
Ġfrom,155250
Ġe,138589
ĠĠĠĠĠĠĠ,135282
Ġ`,135253
Ġwill,135201
Ġme,131276
Ġdo,129377
NAME,128732
Ġla,128257
:Ċ,127653
Ġtheir,127559
Ġmy,125549
Ġ-,121933
Ġbut,119069
Ġmore,118446
Ġhas,118120
Ġque,117992
Ġuse,116900
Ġif,116222
ĊĊ,116003
Ġabout,114511
:ĊĊ,113818
Ġused,110687
uu,107615
ĠIt,107412
Ġother,107242
Ġwhich,107153
Ġany,106412
Ġalso,104630
Ġthey,102326
Ġat,102046
't,101589
Ġ',101127
`,100286
6,99561
Ġy,97951
Ġsuch,96956
ĠThis,96710
The,95944
Ġhis,94818
ĉ,92988
Ġshe,92028
Ġhelp,91585
!,91240
Ġdata,89953
Ġ|,86991
Ġits,86137
Ġwould,84785
Ġmay,84648
/,83793
Ġlike,82864
I,82527
Ġen,82515
Ġun,81097
Ġall,80887
Ġo,80584
Ġwhat,79884
Ġmodel,79831
Ġanswer,79128
Ġhe,79042
)Ċ,78488
a,77158
'm,76962
Ġwe,76911
Ġinformation,76083
Ġnew,76003
Ġusing,75007
8,74928
ĠÐ²,74714
7,73911
i,73730
ĠA,73604
``,73093
Ġimportant,72792
',72290
Ġprovide,71873
ar,71768
Ġhow,70708
Ġmake,69881
Ġtime,68216
Ġone,68061
10,67072
Ġself,66759
s,66648
Ġpara,65985
Ġlanguage,65964
ĠYou,65660
Ġthere,65588
`Ċ,65587
Ġcode,64440
Ġno,63757
Ġtext,63605
Ġso,63298
Ġwho,63218
ĠÐ¸,63029
o,62769
Ġam,62364
ĠĠ,61686
Ġsome,61653
Ġup,60277
Ġinto,60113
Ðµ,59459
Ġthem,59348
""":",59331
ĠAI,59322
Ġdi,59185
Ġi,58769
Ð¸,58435
Ġshould,58118
Ġcould,57712
Ġexample,57434
Ġbeen,57225
Ġwhen,56802
9,56799
Ð°,56792
Ġneed,55393
Ġincluding,55267
Ġeach,54824
Ġonly,54707
Ġhad,54707
Ġcompany,54647
ĠShe,54623
Ġchemical,54475
Ġbased,53165
Ġspecific,53083
Ġout,52477
Ġknow,52247
Ñĥ,51512
""",",51430
In,51414
Ġ{Ċ,51189
Ġsystem,50985
ĠĊ,50697
Ġfunction,50575
Ġhim,50019
as,49920
Ġway,49710
ĠĠĠĠĠĠĠĠĠĠĠ,49592
Ġel,48697
#,48620
ĠÑģ,48059
Ġwant,48015
ing,47761
Ġover,47338
ĠIf,47304
os,47159
Ġthen,46981
Ġthan,46838
Ġwere,46658
Ġse,46658
"',",46515
Ġquestions,46119
Ġ[,45964
ĠIn,45877
A,45663
Ñĭ,45565
Ġnumber,45210
Ġdifferent,44875
",Ċ",44622
Ġproducts,44592
es,44475
Ġ+,44346
Ġl,43932
Ġfollowing,43862
Ġjust,43766
Ð¾,43448
Ġcreate,42749
Ġthese,42624
're,42569
Ġes,42521
Ð¾Ð²,42465
Ġund,42320
Ġ<,42295
Ð½,41647
],41601
ĠHe,41347
;Ċ,41132
Ġuna,40894
Ġfeel,40864
e,40819
Ġwell,40769
Ġpeople,40656
(,40633
Ġum,40407
Ġbetween,40293
ÑĢ,40062
Ġtwo,39705
Ġprocess,39474
Ġsay,39302
Ġbest,39200
ĠC,39199
Ġthrough,39115
Ġname,39029
Ġwords,38682
Ġwhile,38667
ĠÐ¼,38586
Ġrange,38551
Ġsame,38466
```,38364
\n,38179
Ġfirst,38153
Ġmust,37822
Ġour,37714
Ġper,37667
Ġdes,37508
Ġwork,37389
Ġfile,37293
en,37212
ĠAs,37212
ĠÃ©,37160
Ġget,36936
ĠThey,36878
Ġx,36520
Ġmost,36228
Ġdon,36224
Ġbeing,36032
Ġ#,35997
[,35841
Ġd,35742
Ġhere,35689
20,35537
Ġquestion,35529
ĠHere,35482
Ġmany,35390
202,35314
Ġworld,35275
ĠHowever,35080
y,34819
|,34790
n,34730
Ġwhere,34730
x,34689
Ġuser,34503
Ġet,34488
Ġle,34473
Ġlist,34101
>,33895
You,33878
u,33750
Ġem,33719
"),",33684
>Ċ,33670
Ġhigh,33503
in,33446
Ð´,33110
Ġtake,33068
ĠB,32684
"""Ċ",32664
Ġbody,32581
Ġvalue,32340
Ġindustry,32055
Ġset,31995
Ġalways,31889
Ð»,31784
?Ċ,31477
Ġproduction,31417
Ġfind,31388
Ð²,31323
"=""",31281
Ġdie,31276
ĠÐ½Ð°,31198
Ñģ,30959
ĠĠĠĠĠ,30817
Ġsomething,30771
ĠWhat,30689
Ġgood,30509
p,30199
Ġcon,30196
12,30092
ÐµÑĤ,29964
Ġperson,29956
Ġpossible,29786
Ġinput,29702
Ġreturn,29609
z,29606
"(""",29553
Ġuma,29365
Ġ$,29083
ĠÑĤ,28925
Ġsee,28894
Ġboth,28855
Ġinclude,28682
Ġtype,28642
As,28612
Ġkey,28504
Ġda,28374
Ġdel,28374
Ð¼,28237
".""",28215
Ġcontent,28159
ĠPython,28101
are,28071
100,27778
Ġvarious,27709
ĠHow,27362
Ġgame,27362
)ĊĊ,27342
Ġown,27270
",""",27246
):Ċ,27241
G,26922
ÐµÐ½,26905
Ġ*,26856
Ġc,26795
b,26617
Ġlet,26616
It,26595
;,26563
Ð¾Ð¼,26552
er,26543
h,26499
Ġcomo,26435
ÑĤ,26433
Ġhuman,26379
C,26354
Ġmethod,26345
Ã©,26331
Ġunderstand,26330
200,26318
ado,26308
ĠÑĥ,26263
ed,26248
Ñı,26235
This,26056
Ġable,26034
B,26016
Ġlife,26013
D,25996
Ð°ÑĤÑĮ,25822
Ġknown,25808
Ġcom,25766
Ġproduct,25733
Ġday,25563
Ñħ,25555
Ġbefore,25514
d,25451
ĠÐ¿,25383
Ġil,25338
Ġdoes,25311
ĠG,25193
PT,25143
c,25131
Ġoutput,25129
an,25119
ĠFor,24982
Ð¾ÑĢ,24915
Ġdevelopment,24832
Ġgenerate,24793
'll,24756
Ġ|Ċ,24749
Ġgive,24713
Ġnow,24698
Ġplease,24667
=,24655
Ġlearning,24600
Ġresponse,24510
Ġs,24503
Ġest,24436
Ġn,24431
Ġstory,24415
Ġlong,24374
Ġensure,24216
000,24214
ĠÑĢ,24184
Ġles,24167
ĠÐº,24123
Ġt,24095
ĥ,24092
Ġpersonal,24075
ĠL,23997
Ġback,23956
Ġcontext,23921
Ðº,23891
Ġsure,23889
Ġassistant,23887
Ġder,23876
Ġdown,23861
Ð¾Ð³,23829
00,23816
ÑĮ,23801
Ġsupport,23771
ia,23770
Ġaround,23415
11,23256
ir,23251
import,23101
Ġmade,23092
Ġpotential,23091
ĠS,23068
it,23029
Ġ/,23015
()Ċ,23007
Ġwithout,22942
Ġcontrol,22899
).,22875
Ġexperience,22867
Ġlos,22864
Ġeven,22799
Ġability,22753
ĠÐ½,22745
ic,22709
Ġwide,22700
Ġinstructions,22616
Ġman,22573
Ġclass,22555
ĠÃł,22502
Ġlove,22407
ĠWe,22320
ĠD,22299
is,22183
re,22168
ĠÐ´,22149
m,21957
S,21957
Ġassist,21919
Ġche,21829
Hello,21788
ÑĪ,21780
Ġaccess,21771
ÐµÑĢ,21748
å®,21633
Ġdocument,21608
Ġb,21602
Ġcome,21534
15,21497
""",Ċ",21472
Ġsorry,21470
Ġstart,21468
Ġ:,21431
Ġlarge,21372
50,21331
Ð¸Ð¼,21262
201,21261
Ð½Ð¾,21253
Ġtry,21227
</,21205
Ġyears,21101
Ġvariety,21088
Ġpor,21051
Ñĸ,21006
Ġf,20983
t,20978
Ġneeds,20965
Ġanything,20958
ada,20908
f,20853
Ġmaking,20784
Ġnever,20779
Ġservices,20683
Ġafter,20611
%,20570
Ġ.,20553
ine,20543
ate,20524
al,20516
Ġm,20505
Ġothers,20499
Ġapplications,20479
To,20443
Ð°Ð½,20427
Ġform,20415
Ġwrite,20391
Ġcommand,20308
".""ĊĊ",20292
âĢ¢,20262
Ġprogram,20255
Ġright,20254
Ġquality,20231
(self,20225
Ġcurrent,20160
Ġopen,20147
Ġresearch,20125
ÐµÐ¼,20072
Ġzu,20068
Ġstill,19983
Ġnext,19963
Ġsummary,19921
Ġoften,19888
ĠĊĊ,19861
Ġbecause,19825
Here,19812
Ġpower,19743
Ġsaid,19741
Ġtraining,19630
on,19604
Ġseveral,19370
Ġteam,19357
Ġnon,19327
or,19289
Ġus,19271
25,19261
Ð¾ÑĤ,19235
':,19207
Ġimprove,19206
Ġgo,19204
Ġask,19130
Ġrole,19129
Ġvalues,19109
ĠT,19097
Ġbetter,19095
Ġend,19075
Ġstring,19067
Ġperformance,19029
Ñİ,19009
Ð¸ÑĤ,18904
Ġv,18896
Ñĩ,18895
Ġcustomer,18888
Ġimage,18870
ĠE,18849
ĠN,18839
Ġtoday,18792
Ġdef,18763
Ġsize,18746
13,18739
Ġ//,18711
Ð¿,18702
Ġcharacter,18701
Ð¸Ð½,18660
]Ċ,18549
ĠÐ¾,18460
Ġobject,18445
Ġsocial,18403
Ġre,18388
Ġou,18388
Ġser,18381
k,18375
+,18366
Ġservice,18336
If,18329
ĠÐ½Ðµ,18315
Ġpour,18309
Ġcannot,18255
Ġwater,18224
\_,18214
Ġstrong,18213
Ġvery,18192
Ð¾Ð¹,18178
ĠP,18159
Ġp,18088
Ġelse,18075
Ġmodels,18070
Ġsoftware,18067
Ġgiven,17983
Ġbelow,17966
Ġhand,17966
ÐºÐ¸,17958
Ġstep,17931
Ġtogether,17912
Ġfound,17905
Ð·,17887
Ġal,17834
Ġ\,17812
aciÃ³n,17768
Ġtasks,17744
Ġconsider,17741
30,17722
Ð¾Ð»,17701
iculty,17643
Ġchange,17612
Ġthink,17607
Ġmight,17582
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,17577
Ġenergy,17563
Ġnote,17532
);Ċ,17520
Ġsense,17484
r,17478
Ġprovided,17477
Ġfactors,17461
Ġcontinue,17426
Ð¾Ð½,17414
Ġexamples,17410
Ġfree,17410
Ġresult,17397
Ġpart,17365
Ġfew,17350
div,17293
()`,17186
st,17182
Ġtest,17163
><,17094
Ġos,17044
Ð¸ÑĤÑĮ,17021
Ġoff,17010
Ġavailable,17002
Ġknowledge,16985
Ġ}Ċ,16981
Ġsteps,16967
Ķ,16928
Ġmuch,16914
Ġstate,16912
ĠLet,16890
Ġcomplex,16875
am,16852
Ġfocus,16837
ĠÑı,16828
ĠÐ³,16816
ĠF,16806
Ġgroup,16804
Ġcorrect,16791
ÐµÐ¹,16785
Ġresponses,16783
Ã¡,16763
Ġword,16705
Ġsystems,16696
Ġadd,16666
Ġnatural,16618
Ġimpact,16608
io,16586
ica,16555
Ġchat,16554
Ġproject,16545
Ġagainst,16537
em,16521
Ġsentence,16477
Ġsmall,16477
Ġdas,16475
Ġg,16450
Ð±,16445
ĠÐ¿ÑĢ,16439
ol,16424
Ġfeatures,16422
ĠÐ¾Ð±,16418
python,16417
g,16396
Ġgoing,16391
Ġr,16390
M,16386
ĠThese,16351
Ġbusiness,16340
ĠPlease,16328
Ġorder,16323
Ġfact,16310
ĠK,16273
Ġdesigned,16253
""".",16251
ĠM,16249
Ð»Ð¸,16223
us,16190
Ġline,16189
ant,16158
th,16127
L,16114
Ġappropriate,16079
Ġ{,16056
Ġthings,15997
Ġmessage,15987
Ġreal,15986
Ġinvolves,15975
le,15973
Ġhealth,15954
id,15944
16,15943
ro,15937
Ġeyes,15912
Ġtable,15910
21,15873
Ġcustomers,15867
Ġcalled,15834
(',15823
Ð°ÑĤ,15821
Ġmain,15819
Ã§Ã£o,15818
Ġhelpful,15801
...,15797
H,15708
14,15706
ere,15675
user,15663
".""Ċ",15649
Ġkeep,15640
Ġcomplete,15639
Ġuses,15596
Ġformat,15595
ĠTo,15594
Ġplay,15593
Ġunique,15584
Ġusers,15578
ĠO,15576
Ġenvironment,15568
What,15531
ĠIs,15517
ĠR,15514
Ġsu,15509
yl,15498
(),15497
Ġplace,15493
've,15467
ÃŃ,15407
Ġphysical,15400
Ġmeans,15391
".,",15385
Ġmachine,15372
ĠMy,15364
ĠÐ´Ð»Ñı,15359
ĠUse,15334
v,15310
ĠBut,15307
Ġfield,15299
Ġevery,15294
Ġunderstanding,15285
\,15280
Ġknew,15271
T,15249
Ġtoo,15223
Ġlooking,15212
ie,15194
Ġduring,15194
Ġcase,15185
Ġist,15181
ĠH,15155
if,15141
l,15126
Ġpython,15122
Ī,15072
Ġallows,15058
Ġplan,15044
Ġprovides,15015
at,15013
Ġcompletion,14959
Ġtechnology,14918
Ġpoint,14898
Ġproviding,14879
Ġidea,14864
Ġfeeling,14842
18,14798
Ġprint,14786
Ã³,14771
Ġsexual,14755
Ġ``,14748
Ġgeneral,14744
ĠNo,14712
assistant,14688
Ġdu,14680
so,14675
et,14611
Ġgreat,14589
O,14584
Ġk,14583
ando,14564
Ġanother,14561
Ġlas,14558
Ã£o,14541
Ġtask,14531
Ġhappy,14501
Ġrun,14444
ÑģÑĤ,14381
P,14360
Ġyear,14357
Ġbehavior,14343
w,14332
ĠÃ¨,14327
Ð¸Ð²,14262
ato,14222
ers,14218
Ġnetwork,14216
Ġwithin,14210
Ġhope,14194
?ĊĊ,14183
Ð³,14181
ly,14161
ĠÐ·,14154
}Ċ,14137
Ġweb,14135
Ġ==,14088
Ġthose,14084
Ġh,14076
Ġface,14023
Ð°Ðº,14019
Ġscript,13983
Ġdate,13979
Write,13957
ÐµÐ»,13951
Ġimport,13938
Please,13935
no,13904
Ġpublic,13887
Ġhome,13871
IST,13866
Ġthing,13865
Ġresources,13861
Ġfinal,13853
Ġdetermine,13852
Ġsafety,13793
ĠÐ°,13780
Ġtell,13771
Ġfood,13754
ĠThere,13750
ĠCan,13745
Ġcause,13745
Ġpositive,13716
ĠvocÃª,13681
Ð¾Ð´,13675
Ġtrained,13666
Ġmaterials,13664
Ġtrue,13629
ÐµÐ½Ð¸Ñı,13629
Ġfuture,13623
Ġprompt,13618
Ġte,13613
ĠAdditionally,13596
Ð¾Ð±,13580
Ð½Ð¸,13568
Ġna,13567
Ġlevel,13567
Ġarticle,13528
Ġz,13518
Ġthree,13498
Ġskills,13488
li,13459
Ġrate,13457
Ġlearn,13456
ANT,13433
Ġapp,13425
Ġlook,13412
Ġagain,13411
Ġsimple,13401
Ġcheck,13394
ados,13370
Ġnumbers,13363
Į,13357
Ġoptions,13350
Ġsomeone,13333
Ġshow,13331
Ġmind,13294
V,13278
Ùħ,13276
Ġpopular,13254
Ġfurther,13236
Ġtakes,13218
print,13215
Ġsi,13199
Ġversion,13199
ĠÐ±,13192
F,13184
Ġrequest,13177
Ġlead,13144
Ġindividuals,13142
Overall,13138
Ġunder,13135
j,13124
Ġcouldn,13104
able,13061
://,13052
Ġwoman,13050
Ġpode,13045
Ð¹,13041
Ġcity,13040
()ĊĊ,13030
Ġclear,13012
Ġtypically,13009
ÙĬ,12989
N,12982
Ġapplication,12952
Ġworking,12951
Ġbuilding,12944
el,12933
ico,12932
"Ġ,",12929
Ġtools,12929
Ġincludes,12900
Ġdifficult,12886
ch,12880
Ġproblem,12871
ung,12860
ĠÐ¾ÑĤ,12857
Ġtypes,12843
ÑĨ,12841
Ġtool,12830
te,12827
Ġfollow,12826
.game,12815
ur,12814
Ġsentences,12809
ĠÐ¿Ð¾,12800
ĠV,12759
ation,12738
ĠASS,12723
Ġsignificant,12717
Ġmarket,12695
ĠAnd,12682
il,12660
Ġsend,12646
ðŁ,12637
Yes,12636
ale,12599
Ġlittle,12583
¤,12581
Ġchemicals,12574
Ġcomputer,12565
Ġpre,12548
Ġune,12520
E,12518
¨,12518
ÐµÐº,12502
Ġw,12494
Ġdesign,12478
