token,frequency
",",2676022
Ġthe,2050128
.,1922056
Ġand,1510258
Ġto,1300154
Ġa,1179272
Ġof,1038484
Ġ,712974
Ġis,662974
Ġin,630464
_,497195
Ġthat,488030
1,466919
.ĊĊ,422600
Ġyou,412923
Ċ,402216
:,397041
ĠNAME,390594
Ġfor,382642
ĠI,347511
2,329084
Ġwith,313187
Ġcan,310222
Ġas,306087
"Ġ""",292572
Ġor,283167
Ġit,267748
Ġde,265542
's,264383
.Ċ,263669
Ġon,253560
Ġbe,249962
Ġare,239503
ĠThe,213499
3,206705
Ġyour,192176
Ġ=,179226
Ġ(,172812
Ġhave,169658
-,156468
Ġnot,154159
*,152017
ĠĠĠ,151700
4,149615
Ġan,148599
Ġby,138854
Ġher,138198
"""",136693
Ġ`,132580
5,126807
Ġwas,126470
),121127
Ġe,117430
Ġthis,114407
0,112740
ĠĠĠĠĠĠĠ,110150
Ġtheir,108480
Ġfrom,107610
Ġla,107126
uu,106484
:ĊĊ,103679
Ġused,101986
Ġuse,98463
`,97530
Ġwill,96504
ĠIt,96157
Ġque,95674
Ġbut,95300
:Ċ,94697
Ġmy,94639
NAME,93120
Ġhas,92817
Ġother,92051
Ġalso,91862
Ġmore,91129
Ġdo,89360
Ġ-,88978
Ġsuch,88657
ĠThis,87102
Ġwhich,86730
ĊĊ,86442
Ġif,85094
Ġany,84693
Ġy,84513
Ġthey,83707
Ġhelp,81958
The,80654
Ġmay,77529
Ġdata,76710
Ġme,76397
Ġits,75837
Ġhis,75612
!,75392
Ġshe,74968
6,73022
Ġabout,72163
``,70617
't,70599
Ġ|,70328
Ġat,69092
?,68950
Ġimportant,68743
Ġwould,67770
'm,67160
Ġ',66711
Ġen,66328
Ġo,65370
`Ċ,63760
Ġun,63107
I,63054
Ġinformation,62893
Ġnew,62645
Ġmodel,62542
Ġusing,62474
)Ċ,61939
Ġprovide,61748
Ġhe,60630
ar,60137
Ġlike,59631
Ġself,57991
Ġwe,57782
ĠÐ²,56994
Ġall,56440
/,56403
i,56350
Ġlanguage,56068
a,55400
Ġpara,55096
8,54816
ĠĠ,54350
ĉ,54260
',53944
Ġmake,53480
7,53430
Ġtime,52963
ĠA,52605
ĠÐ¸,51658
Ġam,51243
Ġincluding,51112
Ġdi,51043
Ġthere,51037
s,49791
Ġcould,49293
Ġexample,49288
ĠAI,48776
o,48614
Ġspecific,47525
Ġsome,47250
Ġwho,47234
Ġhow,47117
Ġbeen,46779
In,46630
ĠShe,46553
Ġso,46430
10,46204
Ġcode,45941
Ġhad,45457
Ġinto,45406
Ġthem,45403
Ġcompany,45373
Ġchemical,44985
Ġfunction,44919
Ġone,44613
Ðµ,44037
Ġup,43950
Ġwhat,43595
Ġneed,43341
#,43071
Ġ{Ċ,41644
Ġeach,41533
Ġproducts,41493
Ġhim,41005
Ġno,40749
Ð°,40720
ĠYou,40470
Ġway,40306
Ġknow,39822
Ġout,39587
9,39548
Ġel,39093
Ġquestions,39083
Ð¸,39063
as,38917
Ġse,38879
Ñĥ,38695
Ġtext,38677
Ġi,38593
Ġdifferent,38488
ĠĠĠĠĠĠĠĠĠĠĠ,38460
os,37569
ĠIn,37216
Ġfeel,36875
```,36757
ĠIf,36588
""":",36296
Ġcreate,36235
Ġ+,36147
Ġwere,35943
Ġrange,35671
Ġund,35613
Ġes,35512
Ġprocess,35445
ĠÑģ,35297
Ġover,35197
Ġnumber,35184
Ġthen,34733
Ġwhen,34625
ing,34312
Ġuna,34204
Ġthese,34202
Ġl,33965
Ġshould,33470
es,33459
Ġwell,33441
",Ċ",33402
Ñĭ,33275
ĠHe,33274
Ġwant,33233
Ġthrough,33039
ĠHowever,32967
Ġ<,32930
;Ċ,32823
Ġum,32446
Ġfile,32321
ĠHere,32186
ĠAs,32185
Ġjust,31888
Ġbest,31863
ĠThey,31716
're,31618
Ġwhile,31484
Ð¾,31401
ĠÃ©,31255
Ð¾Ð²,31177
Ġbased,30960
"',",30851
Ġpeople,30823
Ð½,30754
""",",30705
A,30578
ĠÐ¼,30462
Ġhere,30439
(,30386
Ġbetween,30370
Ġsystem,30301
Ġproduction,30253
Ġdes,30164
Ġper,30101
Ġx,29490
Ġwork,29482
ÑĢ,29261
Ġworld,29140
e,28840
Ġhigh,28797
en,28584
Ġthan,28550
Ġour,28505
>Ċ,28068
Ġmany,28061
Ġbeing,27802
Ġ[,27722
Ġ#,27710
\n,27661
Ġet,27601
Ġbody,27567
|,27212
Ġem,26969
ĠC,26949
Ġtwo,26883
x,26633
],26600
>,26492
As,26361
Ġtake,26243
Ġset,26065
Ġle,26053
Ġvalue,26053
y,25946
Ġmost,25878
Ġdon,25866
Ġd,25856
20,25815
Ġget,25787
"(""",25740
Ġfirst,25665
Ġvarious,25641
Ġindustry,25635
Ġfind,25205
ĠPython,25189
Ġname,25111
"""Ċ",25066
Ð´,25002
Ġalways,24878
Ġdie,24842
ĠĠĠĠĠ,24624
Ġwhere,24620
[,24614
It,24572
Ġpossible,24473
Ġuma,24354
Ġkey,24160
in,24096
are,24005
Ġmethod,24004
u,23972
)ĊĊ,23917
Ġboth,23763
):Ċ,23676
Ġinclude,23660
Ġown,23598
"=""",23521
Ġ|Ċ,23519
Ġcon,23404
Ġknown,23383
This,23250
Ð»,23179
"),",23081
z,23024
Ġdel,22963
Ġreturn,22931
Ġlist,22860
Ð²,22859
Ġsee,22605
Ġunderstand,22580
ĥ,22494
Ġable,22475
Ġensure,22381
Ġdevelopment,22313
Ġuser,22277
Ñģ,22273
ĠÐ½Ð°,22248
Ġonly,22092
ĠB,22079
Ġda,22058
Ġlet,21970
ÐµÑĤ,21952
ĠĊ,21844
Ġquestion,21843
Ġtype,21765
Ġgame,21691
Ġinput,21629
Ġcomo,21569
Ġpersonal,21568
Ġlearning,21515
p,21488
Ġgood,21425
Ġwide,21421
Ġperson,21325
å®,21275
ado,21260
",""",21077
Ġability,21054
Ġproduct,21015
Ġil,20982
Ð¼,20957
Ġlife,20905
'll,20901
()Ċ,20834
Ġpotential,20816
Ġassist,20787
Ġanswer,20702
Ġ*,20591
Ġsupport,20553
Ġvariety,20429
12,20420
Ġsorry,20387
import,20363
Ġest,20289
Ð°ÑĤÑĮ,20274
Ġhuman,20218
".""",20154
ĠÑĥ,20129
Ġcom,20048
Ã©,19993
Ġcontent,19954
Ġcontrol,19929
Ð¾Ð³,19837
ÐµÐ½,19830
Ġday,19716
ĠFor,19602
Ġexperience,19599
Ġ$,19571
Ð¾Ð¼,19489
Ġbefore,19428
Ġapplications,19385
ÑĤ,19308
ĠÑĤ,19263
Ġsure,19249
Ġaround,19169
202,19153
er,19148
Ġles,19115
Ġder,19113
Ñħ,19074
".""ĊĊ",19012
Ñı,18934
Ġlos,18905
Ġfollowing,18842
Ġdown,18812
To,18734
an,18668
Ġaccess,18667
Ġche,18616
ir,18582
Ġservices,18497
</,18485
ed,18444
Hello,18442
ĠG,18390
Ġgenerate,18319
Ġmade,18278
Ġlove,18265
Ð¾ÑĢ,18260
n,18242
Ġcontext,18216
\_,18214
ĠÐ¿,18129
100,18072
(self,18044
h,18041
Ġneeds,18021
Ġquality,17965
ia,17946
Ġlarge,17903
Here,17750
b,17742
Ġoften,17705
Ġback,17701
Ġzu,17651
ic,17640
ĠHow,17556
Ġclass,17519
=,17491
Ġc,17488
Ġseveral,17454
Ġs,17453
Ġt,17441
ĠÐº,17424
Ġresearch,17418
Ġmaking,17405
iculty,17375
Ġeven,17373
Ġlong,17360
ĠÃł,17347
Ġothers,17280
ĠL,17240
()`,17186
000,17186
Ġcome,17159
ada,17158
Ġtraining,17078
D,17056
ĠÑĢ,17046
Ġsomething,17027
Ġtry,16988
Ġimprove,16928
Ġperformance,16898
ine,16865
Ġcommand,16803
Ġpower,16721
Ġvalues,16720
ĠWe,16690
ĠÐ½,16661
Ġsame,16658
Ð¸Ð¼,16639
c,16596
âĢ¢,16577
Ġfactors,16548
Ġoutput,16512
Ġcurrent,16434
Ġn,16411
Ġpor,16411
Ðº,16391
Ġ/,16328
d,16298
ate,16288
Ġdef,16248
Ġnote,16246
Ġstill,16198
re,16158
><,16147
Ġsize,16107
Ġnever,16106
ÑĮ,16084
ĠD,16076
Ġstrong,15989
Ġprogram,15974
Ġstart,15964
Ġman,15954
ÑĪ,15949
Ġform,15900
Ġdoes,15889
Ġconsider,15889
""",Ċ",15887
Ġplease,15814
python,15809
Ġcustomer,15808
ĠÐ´,15777
Ġ//,15761
Ġser,15745
Ġwithout,15743
Ġteam,15655
Ġou,15643
ĠS,15638
Ġsense,15628
Ġenergy,15578
You,15562
Ġcomplex,15551
Ġtasks,15542
?Ċ,15538
Ð½Ð¾,15517
Ġtogether,15506
C,15505
Ġopen,15472
Ġhand,15455
Ġstring,15441
Ġinvolves,15429
Ġsoftware,15408
Ġcannot,15382
aciÃ³n,15321
Ġsocial,15271
B,15259
Ġservice,15233
ÐµÑĢ,15229
Ġnon,15213
is,15168
Ġtoday,15138
11,15130
Ġfocus,15074
Ġf,15034
Ġresponse,15032
Ġpour,15032
Ġobject,15003
ÐµÐ¼,14993
Ġus,14939
Ġanything,14923
Ġwater,14880
Ġmodels,14880
Ġsteps,14876
Ġdesigned,14869
ĠThese,14859
div,14846
Ġimpact,14818
it,14799
).,14791
Ġb,14770
t,14721
Ġfew,14671
Ġsystems,14657
Ġnatural,14626
Ġmight,14623
Ð¾ÑĤ,14610
Ġmust,14602
Ġhelpful,14570
Ġknew,14565
al,14565
Ð¸Ð½,14539
PT,14538
Ġimage,14536
Ñĸ,14522
or,14516
Ġfound,14514
Ġelse,14485
Ð°Ð½,14483
Ġappropriate,14466
Ġcustomers,14449
Ġyears,14444
25,14355
Ñİ,14328
Ġavailable,14310
Ġfeatures,14259
Ġ``,14205
Ġbetter,14175
Ġnext,14168
G,14135
);Ċ,14131
Ġright,14126
Ġallows,14092
Ð¸ÑĤ,14083
f,14043
S,13982
ĠÐ½Ðµ,13967
Ġfree,13954
ĠWhat,13898
Ġenvironment,13887
ĠÐ¾,13884
Ġresult,13808
Ġknowledge,13803
Ġhealth,13801
15,13794
m,13776
Ġeyes,13708
Ġ}Ċ,13704
Ġbecause,13694
Ġnow,13653
Ġunderstanding,13643
Ġask,13624
Ġchange,13614
Ð¸ÑĤÑĮ,13604
':,13584
Ġuses,13579
Ġ\,13571
ĠÑı,13552
Ġgroup,13551
Ġdas,13509
Ġproviding,13499
yl,13479
ĠT,13475
ica,13469
Ġos,13459
Ġv,13459
Ġre,13430
Ġm,13424
Ġal,13421
Ġprovides,13420
ĠLet,13417
Ġunique,13407
ĠN,13398
Ð¾Ð»,13380
(',13380
Ġphysical,13365
Ġagainst,13363
ĠÐ¾Ð±,13348
201,13289
Ð·,13288
ÐºÐ¸,13279
Ġend,13269
Ñĩ,13264
Ġprovided,13206
Ġhope,13201
Ġsmall,13184
Ġfeeling,13150
Overall,13138
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ,13130
(),13091
ol,13088
Ð¾Ð½,13087
Ġtechnology,13086
Ġproject,13083
io,13060
Ġstate,13045
Ã§Ã£o,13011
Ġmachine,12996
ĠP,12986
Ġhappy,12979
IST,12950
Ġcorrect,12914
ĠTo,12911
ere,12862
Ġidea,12846
Ġsaid,12842
ĠAdditionally,12836
Ġresponses,12829
Ġsafety,12828
Ġfield,12811
ÐµÐ¹,12803
Ġusers,12798
Ġprint,12794
Ġtest,12789
Ġmaterials,12755
Ð¿,12746
r,12746
Ġsu,12736
Ã¡,12706
k,12700
Ð¾Ð¹,12666
Ġbusiness,12666
Ġresources,12663
ANT,12659
ĠE,12655
+,12649
Ġpart,12611
Ġafter,12604
ĠÃ¨,12596
ĠÐ´Ð»Ñı,12589
Ġchemicals,12574
ĠUse,12545
Ġsay,12543
Ġtypically,12535
ro,12534
print,12525
Ġrole,12515
Ġgo,12485
Ġgeneral,12483
Ġp,12483
Ġstory,12469
am,12468
ĠASS,12467
Ġtrained,12465
so,12438
Ġmeans,12421
Ġkeep,12409
Ġcouldn,12409
;,12399
.game,12396
ÃŃ,12387
've,12367
Ġlooking,12354
Ġnetwork,12335
Ġist,12320
ĠMy,12261
Ġoff,12245
Ġcontinue,12234
Ġ==,12181
us,12175
Ġindividuals,12159
Ġcalled,12150
em,12143
()ĊĊ,12139
le,12130
ĠÐ³,12126
st,12116
Ġmain,12112
Ã³,12099
Ġplace,12096
Ġreal,12060
Ð±,12053
13,12046
Ġpode,12030
Ġcase,12025
Ġcause,12022
Ð»Ð¸,12020
ĠF,12020
Ġsexual,12013
ĠK,12011
th,11999
Ġweb,11981
ĠIs,11981
ĠBut,11959
ĠÐ¿ÑĢ,11952
Ķ,11935
Ġpopular,11928
21,11888
ĠvocÃª,11858
if,11847
Ġmessage,11838
Ġdifficult,11752
li,11734
Ġorder,11721
Ġadd,11713
".""Ċ",11687
Ġrun,11680
Ġcompound,11675
ato,11674
Ġthings,11668
Ġlead,11653
Ã£o,11631
id,11624
ant,11613
Ġlearn,11610
Ġdifficulty,11608
Ġr,11600
Ð°ÑĤ,11574
L,11571
Ġreaction,11570
ĠSome,11568
00,11558
Ġpleasure,11548
Ġimport,11518
"`,",11497
ĠO,11491
Ġgreat,11486
Ġduring,11481
200,11450
Ġfelt,11436
Ġlas,11430
Ġincludes,11423
Ġskills,11364
Ġface,11332
30,11317
Ġline,11299
Ġsynthesis,11283
Ġtoo,11283
Ġbuilding,11270
Ġsignificant,11269
Ġfurther,11254
ĠUSER,11238
Ġmind,11215
Ġcharacter,11208
Ġacid,11198
Ġfuture,11192
ados,11138
Ġtable,11116
ÐµÐ½Ð¸Ñı,11105
Ġtakes,11089
%,11070
Ġg,11062
Ġwords,11027
Ġplan,11025
Ġimportante,11004
Ġmuch,10983
Ġtypes,10975
ie,10965
ando,10949
}Ċ,10925
Ġways,10922
Ġdocument,10922
Ġapplication,10895
Ġpoint,10886
Ġpublic,10848
Ġversion,10845
ĠThere,10831
v,10826
]Ċ,10826
Ġbehavior,10809
Ġclear,10798
Ġpositive,10793
Ġfood,10792
Ġsafe,10780
Ġapologize,10777
ĠĊĊ,10775
M,10751
Ġmeet,10741
Ġthose,10707
.size,10696
ers,10667
Ġcity,10656
Ġgive,10652
Ġte,10639
Ġapp,10633
Ġfinal,10628
ĠR,10611
ĠM,10608
ÑģÑĤ,10608
ĠSure,10595
T,10592
Ġscript,10578
Ġexperiences,10577
Ġwithin,10550
Ġcertain,10549
Ġmarket,10541
Ġsimple,10540
Ġlevel,10536
H,10526
Ġcheck,10523
g,10523
ðŁ,10518
Ġaddition,10517
Ġword,10516
...,10516
Ġtools,10489
Ġbecome,10475
Ġhelps,10470
Ġpharmaceutical,10455
""")Ċ",10442
Ġindividual,10439
Ġsummary,10425
Ġplay,10422
Ġgiven,10408
Ġz,10397
Ġevery,10384
