token,frequency
",",3384480
Ġthe,2632970
.,2460152
Ġand,1821318
Ġto,1596021
Ġa,1487899
Ġof,1283881
Ġ,1146368
Ġin,839738
Ġis,836867
_,734716
1,647128
:,632771
Ġthat,581210
Ċ,576961
Ġyou,567235
ĠNAME,558588
Ġfor,496540
.ĊĊ,466720
2,444917
ĠI,436419
Ġwith,419418
"Ġ""",412669
Ġas,372114
Ġcan,359534
.Ċ,351324
Ġor,341195
Ġon,338746
Ġit,334602
Ġare,326480
's,323618
Ġde,321417
Ġbe,308545
3,284461
ĠThe,253675
Ġ(,253079
Ġyour,247375
Ġhave,216033
Ġ=,214447
Ġan,206284
Ġnot,204017
4,198125
ĠĠĠ,187872
-,187651
?,186637
),185673
Ġby,179629
0,175941
5,170244
"""",170057
Ġher,169629
Ġthis,160249
Ġwas,160085
Ġfrom,155220
*,152354
Ġe,137157
ĠĠĠĠĠĠĠ,135586
Ġwill,134783
Ġ`,131105
Ġme,130338
Ġdo,128508
Ġla,128032
Ġtheir,127561
:Ċ,126537
Ġmy,124954
Ġ-,122849
Ġbut,119006
Ġmore,118461
ĊĊ,118257
Ġhas,118129
Ġque,117821
Ġuse,117032
NAME,116495
Ġif,116282
Ġabout,114511
:ĊĊ,113768
ĉ,111164
Ġused,110687
ĠIt,107400
Ġwhich,107152
Ġother,106938
Ġany,106574
Ġalso,104630
Ġ',103206
Ġthey,102326
6,101710
't,101589
Ġat,99146
Ġy,97784
Ġsuch,96988
ĠThis,96710
The,96138
`,95314
Ġhis,94752
/,92865
Ġshe,91944
Ġhelp,91214
!,91199
Ġdata,89726
Ġ|,87013
Ġits,86149
Ġwould,84771
Ġmay,84524
Ġlike,82881
I,80904
Ġwhat,80482
Ġall,79773
Ġanswer,79119
Ġhe,79019
Ġmodel,78672
Ġo,78659
Ġen,78582
)Ċ,78501
8,77413
Ġwe,77042
'm,76962
Ġun,76858
Ġinformation,76082
7,76033
Ġusing,75007
Ġnew,73261
Ġimportant,72343
ĠA,72014
Ġprovide,71873
Ġhow,70552
Ġmake,69900
Ġtime,68229
Ġone,68065
10,67072
Ġself,66696
Ġpara,66009
Ġlanguage,65970
Ġthere,65691
ĠYou,65510
```Ċ,64303
Ġcode,64189
Ġwho,63180
Ġno,63166
ĠĠ,61871
Ġtext,61837
Ġsome,61656
Ġso,61444
9,60649
Ġinto,60115
ĠAI,59798
Ġup,59797
""":",59694
Ġthem,59428
Ġi,59026
Ġshould,58118
Ġam,57924
Ġcould,57712
Ġdi,57468
Ġexample,57432
