token,frequency
",",2676869
Ġthe,2050059
.,1936356
Ġand,1509948
Ġto,1299096
Ġa,1173203
Ġof,1037970
Ġ,717723
Ġis,662764
Ġin,625239
_,511498
Ġthat,488035
1,467754
.ĊĊ,421800
Ġyou,412941
Ċ,403262
:,395923
ĠNAME,390596
Ġfor,380279
ĠI,347228
2,329953
Ġwith,313165
Ġcan,309656
Ġas,304998
"Ġ""",292627
Ġor,282547
Ġit,267482
's,264383
.Ċ,263577
Ġde,261619
Ġon,253285
Ġbe,247995
Ġare,239345
ĠThe,213574
3,208099
Ġyour,192176
Ġ=,179330
Ġ(,172785
Ġhave,169660
Ġnot,151903
ĠĠĠ,151816
4,149889
Ġan,146471
*,145302
Ġby,138219
Ġher,137437
Ġ`,128509
-,127276
5,127086
Ġwas,126583
"""",125779
),121035
Ġe,115950
Ġthis,114407
0,112902
ĠĠĠĠĠĠĠ,110213
Ġtheir,108481
Ġfrom,107580
Ġla,106895
:ĊĊ,103540
Ġused,101986
Ġuse,98544
Ġwill,96186
ĠIt,96139
Ġque,95565
Ġbut,95249
Ġmy,94090
:Ċ,93600
Ġhas,92820
`,92525
Ġalso,91862
Ġother,91753
Ġmore,91131
Ġ-,89257
Ġdo,88737
Ġsuch,88684
ĠThis,87102
Ġwhich,86730
ĊĊ,86527
NAME,85353
Ġif,85132
Ġany,84738
Ġy,84189
Ġthey,83707
Ġhelp,81696
The,80545
Ġmay,77418
Ġdata,76470
Ġits,75848
Ġme,75671
Ġhis,75552
!,74964
Ġshe,74881
6,74294
Ġabout,72163
't,70599
Ġ|,70192
?,69134
Ġimportant,68322
Ġwould,67770
Ġ',67527
'm,67160
Ġat,66836
Ġo,63726
ĉ,63472
Ġen,62955
Ġinformation,62893
```Ċ,62697
Ġusing,62474
/,62115
)Ċ,61906
Ġprovide,61748
Ġmodel,61583
I,61400
Ġhe,60393
Ġnew,59987
Ġlike,59636
Ġun,59604
Ġself,57924
Ġwe,57868
8,56089
Ġlanguage,56073
Ġall,55521
Ġpara,55102
7,54470
ĠĠ,54420
Ġmake,53494
Ġtime,52970
Ġincluding,51112
Ġthere,51071
ĠA,51056
Ġdi,49662
Ġcould,49293
Ġexample,49288
ĠAI,48991
Ġam,47395
Ġsome,47251
Ġwho,47227
Ġhow,46978
Ġbeen,46781
ĠShe,46635
10,46204
Ġspecific,46022
In,45825
Ġcode,45721
Ġhad,45476
Ġthem,45457
Ġinto,45408
Ġcompany,45374
Ġchemical,44985
Ġso,44970
Ġfunction,44926
Ġone,44614
Ġwhat,43669
ĠÐ¸,43653
Ġup,43563
Ġneed,43342
#,43091
9,41710
Ġ{Ċ,41644
Ġeach,41533
Ġproducts,41493
Ġhim,40998
(,40568
ĠYou,40365
Ġway,40331
Ġno,40270
Ġknow,39825
Ġquestions,39085
Ġi,38713
ĠĠĠĠĠĠĠĠĠĠĠ,38558
Ġout,38536
Ġel,38506
Ġdifferent,38308
Ġse,37136
Ġtext,37063
Ġfeel,36876
ĠIf,36597
""":",36269
```,36266
Ġcreate,36233
Ġwere,35944
Ġ+,35907
Ġrange,35678
Ġnumber,35183
Ġund,34895
Ġthen,34734
Ġwhen,34628
Ġuna,34274
Ġthese,34202
Ġprocess,33721
ĠIn,33645
Ġover,33548
Ġshould,33470
Ġwell,33385
ĠHe,33216
Ġwant,33204
Ġ<,33090
s,33044
Ġthrough,33040
;Ċ,33012
ĠHowever,32967
",Ċ",32807
Ġfile,32226
ĠHere,32210
ĠAs,31724
ĠThey,31716
're,31618
Ġbest,31581
"',",31535
Ġwhile,31484
Ġjust,31260
""",",31109
Ġbased,30960
Ġum,30938
Ġpeople,30823
Ġhere,30572
Ġbetween,30370
Ġsystem,30254
Ġproduction,30253
a,29715
Ġworld,29163
Ġwork,29044
Ġhigh,28800
ĠÃ©,28749
',28552
Ġthan,28550
Ġx,28546
Ġour,28504
>Ċ,28261
Ġmany,28061
Ġ[,27876
Ġ#,27874
Ġbeing,27802
A,27617
\n,27610
Ġbody,27305
Ġes,27302
ĠÐ²,27193
Ġper,27029
Ġtwo,26886
Ġet,26726
i,26687
"(""",26523
|,26509
Ġget,26296
Ġtake,26136
Ġvalue,26053
As,26002
Ġmost,25919
20,25815
Ġset,25785
Ġfirst,25676
Ġvarious,25641
Ġindustry,25635
Ġdon,25630
Ġl,25312
Ġfind,25287
x,25275
Ġem,25262
ĠPython,25189
>,25131
Ġname,25106
Ġalways,24878
ĠĠĠĠĠ,24742
Ġdie,24708
Ġwhere,24636
Ġpossible,24480
Ġuma,24357
Ġdes,24347
It,24284
Ġkey,24206
)ĊĊ,23980
Ġmethod,23962
"=""",23820
ĠC,23800
Ġboth,23763
):Ċ,23725
"""Ċ",23677
Ġinclude,23660
],23602
Ġown,23598
Ġ|Ċ,23519
Ġknown,23383
This,23281
"),",23098
Ġle,23000
Ġreturn,22930
Ġsee,22605
Ġlist,22576
Ġunderstand,22546
Ġable,22479
Ġuser,22474
Ġdel,22393
Ġensure,22381
Ġdevelopment,22313
Ġonly,22092
Ġda,21937
Ġlet,21932
ĠĊ,21921
