rank,word,count,frequency_pct
1,the,14554090,5.581
2,and,8948750,3.4315
3,to,7852572,3.0112
4,a,7031552,2.6964
5,of,6235169,2.391
6,in,4292752,1.6461
7,is,4111562,1.5766
8,you,3006467,1.1529
9,that,2814525,1.0793
10,for,2584026,0.9909
11,i,2112599,0.8101
12,with,2107124,0.808
13,as,2052418,0.787
14,it,1915907,0.7347
15,can,1711160,0.6562
16,on,1654776,0.6345
17,or,1631591,0.6257
18,are,1624500,0.6229
19,be,1500794,0.5755
20,this,1342131,0.5147
21,your,1332362,0.5109
22,name_1,1330108,0.5101
23,have,1024736,0.393
24,not,1019107,0.3908
25,an,983043,0.377
26,by,914583,0.3507
27,her,878553,0.3369
28,if,877718,0.3366
29,from,841771,0.3228
30,was,777763,0.2982
31,but,709384,0.272
32,my,701299,0.2689
33,she,678132,0.26
34,name_2,675651,0.2591
35,will,674656,0.2587
36,they,668126,0.2562
37,their,661504,0.2537
38,use,635817,0.2438
39,me,614535,0.2357
40,what,610313,0.234
41,has,578066,0.2217
42,more,577637,0.2215
43,he,574448,0.2203
44,about,563138,0.2159
45,do,546854,0.2097
46,which,534912,0.2051
47,also,524966,0.2013
48,used,523125,0.2006
49,any,516848,0.1982
50,at,506646,0.1943
51,how,502384,0.1926
52,other,501926,0.1925
53,his,481647,0.1847
54,we,468758,0.1798
55,such,466751,0.179
56,answer,451888,0.1733
57,help,442565,0.1697
58,its,436440,0.1674
59,data,425309,0.1631
60,like,414202,0.1588
61,may,404751,0.1552
62,one,399585,0.1532
63,would,396011,0.1519
64,using,388895,0.1491
65,there,387234,0.1485
66,all,386678,0.1483
67,it's,380750,0.146
68,some,377068,0.1446
69,make,372401,0.1428
70,model,371401,0.1424
71,information,360193,0.1381
72,new,354224,0.1358
73,no,353124,0.1354
74,provide,351418,0.1348
75,i'm,347965,0.1334
76,so,347507,0.1333
77,when,345628,0.1325
78,important,341300,0.1309
79,who,339210,0.1301
80,time,333981,0.1281
81,name_3,332034,0.1273
82,here,313702,0.1203
83,language,311155,0.1193
84,code,307240,0.1178
85,chemical,304510,0.1168
86,these,301953,0.1158
87,them,301826,0.1157
88,into,298633,0.1145
89,each,294003,0.1127
90,example,291592,0.1118
91,could,291138,0.1116
92,up,290663,0.1115
93,text,289581,0.111
94,should,287819,0.1104
95,based,287761,0.1103
96,only,284673,0.1092
97,user,282615,0.1084
98,been,279637,0.1072
99,then,275141,0.1055
100,am,274589,0.1053
