rank,word,count,frequency_pct
1,the,6830180,5.2791
2,and,3920169,3.0299
3,to,3694678,2.8556
4,of,3297431,2.5486
5,a,2932616,2.2666
6,in,2334004,1.804
7,is,1614234,1.2476
8,for,1505245,1.1634
9,you,1232760,0.9528
10,that,1209340,0.9347
11,with,1108353,0.8567
12,on,986102,0.7622
13,it,926563,0.7161
14,i,883113,0.6826
15,are,826001,0.6384
16,this,802124,0.62
17,as,796470,0.6156
18,be,748387,0.5784
19,your,724377,0.5599
20,or,648497,0.5012
21,at,608223,0.4701
22,have,596642,0.4611
23,from,579036,0.4475
24,we,568327,0.4393
25,by,539509,0.417
26,was,533350,0.4122
27,will,518030,0.4004
28,can,506579,0.3915
29,an,474089,0.3664
30,not,453196,0.3503
31,all,394431,0.3049
32,but,392927,0.3037
33,our,379131,0.293
34,has,358364,0.277
35,if,356974,0.2759
36,they,348544,0.2694
37,more,330611,0.2555
38,their,322672,0.2494
39,one,319958,0.2473
40,my,304243,0.2352
41,so,298346,0.2306
42,which,277046,0.2141
43,about,275065,0.2126
44,also,266751,0.2062
45,when,265393,0.2051
46,he,258301,0.1996
47,time,243435,0.1882
48,what,243309,0.1881
49,up,242836,0.1877
50,out,242514,0.1874
51,there,239898,0.1854
52,new,237778,0.1838
53,his,226301,0.1749
54,do,224007,0.1731
55,some,206278,0.1594
56,who,205397,0.1588
57,like,205006,0.1585
58,other,204863,0.1583
59,been,196065,0.1515
60,how,194105,0.15
61,get,191860,0.1483
62,just,190568,0.1473
63,any,190036,0.1469
64,these,183540,0.1419
65,them,179835,0.139
66,were,178911,0.1383
67,would,178627,0.1381
68,no,171147,0.1323
69,had,169637,0.1311
70,into,169323,0.1309
71,its,168589,0.1303
72,make,168093,0.1299
73,may,167897,0.1298
74,most,162277,0.1254
75,than,160416,0.124
76,it's,158000,0.1221
77,people,156625,0.1211
78,use,156512,0.121
79,first,156136,0.1207
80,us,155758,0.1204
81,only,154732,0.1196
82,work,146477,0.1132
83,her,146444,0.1132
84,over,146235,0.113
85,me,144106,0.1114
86,many,143149,0.1106
87,well,140881,0.1089
88,after,138405,0.107
89,very,138096,0.1067
90,need,134939,0.1043
91,now,132341,0.1023
92,then,130219,0.1006
93,through,128150,0.099
94,two,123413,0.0954
95,best,123408,0.0954
96,she,123388,0.0954
97,see,121488,0.0939
98,way,121018,0.0935
99,good,119480,0.0923
100,even,117862,0.0911
